Cre01.g000050	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)	
Cre09.g394251	Central pair associated protein	Central pair associated protein
Cre09.g394325	A homolog of ELIP (early light-inducible protein) gene which was originally identified as transiently expressed during the early phase of greening in etiolated pea seedlings [PMID: 6692824]. It has three TMH, whose sequences are closely related to LHC pro	A homolog of ELIP (early light-inducible protein) gene which was originally identified as transiently expressed during the early phase of greening in etiolated pea seedlings [PMID: 6692824]. It has three TMH, whose sequences are closely related to LHC pro
Cre09.g394350	Similar to nuclear pore protein NUP155	
Cre09.g394450	Has guanine nucleotide dissociation inhibitory activity, specific for the GTP form of Ran; also functions to stimulate Ran GTPase activating protein(GAP)-mediated GTP hydrolysis by Ran.  Acclimation to changing CO2 concentrations and light intensities was	
Cre09.g394473	Low-CO2 inducible protein, containing starch-binding domain of CBM_20 (pfam00686) found in glycoside hydrolases. Because Chlamydomonas cells develop pyrenoids under low-CO2 conditions, which are surrounded by a typical starch sheath, Lci9 may function in	Low-CO2 inducible protein, containing starch-binding domain of CBM_20 (pfam00686) found in glycoside hydrolases. Because Chlamydomonas cells develop pyrenoids under low-CO2 conditions, which are surrounded by a typical starch sheath, Lci9 may function in
Cre09.g394550	Ribose-phosphate pyrophosphokinase (RPPK) = phosphoribosylpyrophosphate synthetase (P-Rib-PP synthetase) (PRPP synthetase); normally a highly regulated enzyme; PRPP is an essential precursor for purines and for histidine	
Cre09.g394584	Probable methyltransferase activity; related to glucose inhibited division protein	Probable methyltransferase activity; related to glucose inhibited division protein
Cre09.g394658	Contains Aldo/keto reductase family (pfam00248.12). This family includes a number of K+ ion channel beta chain regulatory domains - these are reported to have oxidoreductase activity. Low-CO2 inducible gene revealed by cDNA array analyses. Acclimation to	Contains Aldo/keto reductase family (pfam00248.12). This family includes a number of K+ ion channel beta chain regulatory domains - these are reported to have oxidoreductase activity. Low-CO2 inducible gene revealed by cDNA array analyses. Acclimation to
Cre09.g394732	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre09.g394750	Chloroplast Ribosomal Protein S1, imported to chloroplast; Chloroplast Small Ribosomal Subunit Protein S1.  This is a polyribonucleotide nucleotidyltransferase (see PNK series)	
Cre09.g394800	Possible ADP,ATP carrier protein.  Previously annotated as MITC16	
Cre09.g394850	LrgB-like protein, mitochondrial localization assumed; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]	
Cre09.g395100	Dual-specificity protein phosphatase.  Previously annotated as MPK4	
Cre09.g395150	Dual-specificity protein phosphatase.  Previously annotated as MKP3	
Cre09.g395250	Alanine rich protein, found in flagellar proteome [PMID: 15998802]; MOT5; identified by comparative genomics as being present only in organisms having motile (MOT) cilia	
Cre09.g395288	Sodium:hydrogen antiporter NhaD.  Previously annotated as NHAD1	Sodium:hydrogen antiporter NhaD.  Previously annotated as NHAD1
Cre09.g395350	Putative mitochondrial ATP synthase associated protein 9; found in mitochondrial membrane proteome (ObsMass=998 kDa) and in soluble fraction (< 25kDa) by Atteia et al; appears resistant to NaOH and NaCl extraction; N-terminal Met removed, N-terminally ace	
Cre09.g395806	Putative zeaxanthin epoxidase.  This overlaps with FAP177 gene model from v3	Putative zeaxanthin epoxidase.  This overlaps with FAP177 gene model from v3
Cre09.g395950	Alternative oxidase, mitochondrial precursor see gi|9027543|gb|AAC05743.2|[9027543], [PMID: 11405094]	
Cre09.g396000	High affinity nitrite transporter and low affinity nitrate transporter (system III).  Previously annotated as NAR5 [PMID: 11289304]	
Cre09.g396065	Aurora-like kinase	Aurora-like kinase
Cre09.g396100	Pherophorin-C15 (PHC15) [PMID: 16367971]; partial sequence similar to extracellular matrix protein (cell wall protein) pherophorin-C2 [Genbank entry DQ196108], which belongs to the large pherophorin-family, a family of glycoproteins with a central hydroxy	
Cre09.g396213	Oxygen-evolving enhancer protein 1, chloroplast precursor (OEE1); 33 kDa subunit of oxygen evolving complex of photosystem II [PMID: 3556163, GI:18160].  The mutant fud44 mutant has a TOC1 (Transposon Of Chlamydomonas) atypical long-terminal repeat (LTR)	Oxygen-evolving enhancer protein 1, chloroplast precursor (OEE1); 33 kDa subunit of oxygen evolving complex of photosystem II [PMID: 3556163, GI:18160].  The mutant fud44 mutant has a TOC1 (Transposon Of Chlamydomonas) atypical long-terminal repeat (LTR)
Cre09.g396250	Phosphatidate cytidylyltransferase.  Related to VTE5 in Arabidopsis (PMID: 16361393).  Phytol kinase-related protein	
Cre09.g396252	Glutathione reductase (GR) (Grase).  Previously annotated as GSHR2	Glutathione reductase (GR) (Grase).  Previously annotated as GSHR2
Cre09.g396300	Protoporphyrinogen oxidase, chloroplast precursor (PPO I) [GI:3928794; PMID: 9862501; PMID: 16306143]; Protoporphyrinogen IX oxidase isozyme I (PPX I); similar to Bacillus subtilis HEMY type protoporphyrinogen oxidase; [PMID: 1459957, PMID: 7928957].  Pre	
Cre09.g396350	Mitochondrial substrate carrier protein.  Previously annotated as MITC3	
Cre09.g396363	TIM14, subunit of the presequence translocase-associated protein import complex (TIM23), which drives the completion of protein transport into the mitochondrial matrix. Also named PAM18	TIM14, subunit of the presequence translocase-associated protein import complex (TIM23), which drives the completion of protein transport into the mitochondrial matrix. Also named PAM18
Cre09.g396400	Post-translationally modifies protein to tag them for proteasome-mediated degradation, internalization etc..; contains two ubiquitin domains in tandem	
Cre09.g396401	Siroheme synthase [Includes: Uroporphyrin-III C-methyltransferase (Urogen III methylase) (SUMT) Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase; Sirohydrochlorin ferrochelatase]; formerly SUMT1--renamed UPM1 by the advice of Sam Beale.	Siroheme synthase [Includes: Uroporphyrin-III C-methyltransferase (Urogen III methylase) (SUMT) Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase; Sirohydrochlorin ferrochelatase]; formerly SUMT1--renamed UPM1 by the advice of Sam Beale.
Cre09.g396450	Acid phosphatase.  Previously annotated as GOX15 as a galactose oxidase, for which there is some structural similarlity	
Cre09.g396600	Chloroplast Fe-hydrogenase (= HYDA2); corresponds to GI:18026272 [PMID: 12823545]	
Cre09.g396650	Putative phosphate acetyltransferase (EC 2.3.1.8); phosphotransacetylase; similarity to prokaryotic phosphate acetyltransferase (e.g., Desulfovibrio GenBank AAS97500). Acclimation to changing CO2 concentrations and light intensities was studied by Yamano	
Cre09.g396700	Acetate Kinase; Acetokinase; Potential N-terminal organelle targeting sequence	
Cre09.g396950	Sodium-dependent phosphate transporter, major facilitator superfamily.  Green-lineage conserved expressed protein.  Previously annotated as CGL15	
Cre09.g396994	Cytochrome P450, CYP3 superfamily.  The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in a	Cytochrome P450, CYP3 superfamily.  The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in a
Cre09.g397031	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an
Cre09.g397068	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an
Cre09.g397142	Transient potential receptor channel	Transient potential receptor channel
Cre09.g397200	T-complex protein 1, zeta subunit (TCP-1-zeta) (CCT-zeta) (TCPF); subunit of cytosolic chaperonin complex	
Cre09.g397216	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an	Cytochrome P450, CYP3 superfamily. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2 synthase in an
Cre09.g397250	Delta-9 desaturase, possible stearoyl-CoA 9-desaturase.  Previously annotated as FAD5A	
Cre09.g397327	ATM/ATR-related hosphatidylinositol 3-kinase.  May be DNA-PKcs, catalytic subunit of a nuclear DNA-dependent serine/threonine protein kinase (DNA-PK). The second component is the autoimmune antigen Ku. On its own, the catalytic subunit of DNA-PK is inacti	ATM/ATR-related hosphatidylinositol 3-kinase.  May be DNA-PKcs, catalytic subunit of a nuclear DNA-dependent serine/threonine protein kinase (DNA-PK). The second component is the autoimmune antigen Ku. On its own, the catalytic subunit of DNA-PK is inacti
Cre09.g397697	Cytosolic 80S ribosomal protein L4; Cytosolic 60S large ribosomal subunit protein L4	Cytosolic 80S ribosomal protein L4; Cytosolic 60S large ribosomal subunit protein L4
Cre09.g397734	Cytochrome P450, CYP3 superfamily, CYP3A family. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2	Cytochrome P450, CYP3 superfamily, CYP3A family. The CYP711 clan includes CYP711A1 of Arabidopsis (MAX1). This gene product makes a carotenoid-derived branch inhibiting hormone. The CYP744 family has best BLAST hits to CYP5 family members (thromboxane A2
Cre09.g397956	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre09.g397993	Similar to Flagellar Associated Protein FAP201 that is found in the flagellar proteome [PMID: 15998802].  This gene models overlaps with FAP201 from v3	
Cre09.g397993	Similar to Flagellar Associated Protein FAP201 that is found in the flagellar proteome [PMID: 15998802].  This gene models overlaps with FAP201 from v3	
Cre09.g398067	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPiase) (Rotamase); possibly cytosolic (by homology to :At3g25230 = FKBP62); contains probably 3 FKBP domains and C-terminal TPR repeats [PMID: 15701785]	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPiase) (Rotamase); possibly cytosolic (by homology to :At3g25230 = FKBP62); contains probably 3 FKBP domains and C-terminal TPR repeats [PMID: 15701785]
Cre09.g398150	Haloacid dehalogenase-like hydrolase required for the presence of eyespots.  Mutation results in eyespots being absent.  Previously annotated as Chlamy Eye Absent.	
Cre09.g398252	Short-chain dehydrogenase/reductase.  Similar to Tic32 from Pisum sativum (AAS38575); belongs to the classical family of short chain dehydrogenases [PMID: 15180984]	Short-chain dehydrogenase/reductase.  Similar to Tic32 from Pisum sativum (AAS38575); belongs to the classical family of short chain dehydrogenases [PMID: 15180984]
Cre09.g398400	C-terminal 350 AA similar to transient receptor potential Ca2+ channel, involved in Ca2+ homeostasis, but N-terminal region has no similarity in databases; additional transmembrane helix at pos 1189-1211; member of a family of at least 8 TRP proteins	
Cre09.g398700	Cyclopropane-fatty-acyl-phospholipid synthase.  Plant-lineage-and-diatoms conserved expressed protein related to putative coclaurine N-methyltransferase; this protein is found in the eyespot proteome.  Previously annotated as CPLD27	
Cre09.g398900	Vegetative cell wall protein gp1, chaotrope-soluble [PMID: 11258910, Genbank entry AF309494].  Previously annotated as GP1	
Cre09.g398993	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27); (4HPPD) (HPD) (HPPDase)	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27); (4HPPD) (HPD) (HPPDase)
Cre09.g399030	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4HPPD) (HPD) (HPPDase)	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4HPPD) (HPD) (HPPDase)
Cre09.g399178	Similar to COP signalosome subunit CSN5	Similar to COP signalosome subunit CSN5
Cre09.g399250	Related to a series of bacterial genes among which is a putative Ketosteroid isomerase-related protein of Ralstonia; however, it is impossible to find a similarity with the well-characterized delta5-3-ketosteroid isomerase of Pseudomonas putida or Comamon	
Cre09.g399300	FKBP-type peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8) (PPIase) (Rotamase); probably directed to thylakoid lumen (bipartite cTP) but not orthologous to AtFKBP17-1	
Cre09.g399350	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre09.g399400	Triacylglycerol lipase.  This gene model overlaps a bit with FAP199 (Flagellar Associated Protein) from v3	
Cre09.g399400	Triacylglycerol lipase.  This gene model overlaps a bit with FAP199 (Flagellar Associated Protein) from v3	
Cre09.g399402	Cytochrome P450, CYP3 superfamily, CYP3A family.  Previously annotated as CYP768A1	Cytochrome P450, CYP3 superfamily, CYP3A family.  Previously annotated as CYP768A1
Cre09.g399402	Cytochrome P450, CYP3 superfamily, CYP3A family.  Previously annotated as CYP768A1	
Cre09.g399552	Myb-DNA binding transcriptional factor induced under low CO2 stress condition [PMID: 15155888]; regulates CO2-responsive genes, Cah1, Lci1, and Lci6; regulated by CCM1 [PMID: 15235119]	Myb-DNA binding transcriptional factor induced under low CO2 stress condition [PMID: 15155888]; regulates CO2-responsive genes, Cah1, Lci1, and Lci6; regulated by CCM1 [PMID: 15235119]
Cre09.g399663	FixL like homolog 7 (FXL). PAS region shows high identity to Rhizobial FixL proteins.	FixL like homolog 7 (FXL). PAS region shows high identity to Rhizobial FixL proteins.
Cre09.g399663	FixL like homolog 7 (FXL). PAS region shows high identity to Rhizobial FixL proteins.	
Cre09.g399911	CDC20 homolog. Activator and specificity subunit for anaphase promoting complex. Subunit 1 of Anaphase Promoting Complex. Cell cycle regulated E3 ubiquitin ligase. Related to fizzy/cdh1 proteins	CDC20 homolog. Activator and specificity subunit for anaphase promoting complex. Subunit 1 of Anaphase Promoting Complex. Cell cycle regulated E3 ubiquitin ligase. Related to fizzy/cdh1 proteins
Cre09.g400330	Aurora-like kinase	Aurora-like kinase
Cre09.g400330	Aurora-like kinase	
Cre09.g400367	Homologue of S. cerevisiae RCL1, which is an RNA terminal phosphate cyclase-like protein involved in the 35S pre-rRNA precursor processing at sites A0, A1, and A2; Yeast Rcl1 does not possess detectable RNA cyclase activity.	Homologue of S. cerevisiae RCL1, which is an RNA terminal phosphate cyclase-like protein involved in the 35S pre-rRNA precursor processing at sites A0, A1, and A2; Yeast Rcl1 does not possess detectable RNA cyclase activity.
Cre09.g400550	NO-associated; carries a GTPase domain, homologue in Arabidopsis appears necessary for synthesis of nitric oxide, but does not carry out the reaction (PMID: 17030145)	
Cre09.g400553	Homologue of TOR, a PI3K-like protein kinase with a role in the regulation of protein synthesis and cellular organization.  Ataxia telangiectasia mutated (ATR) -related.  Characterized by Diaz-Troya et al. 2008 [PMID: 18039939, 18670193]	
Cre09.g400553	Homologue of TOR, a PI3K-like protein kinase with a role in the regulation of protein synthesis and cellular organization.  Ataxia telangiectasia mutated (ATR) -related.  Characterized by Diaz-Troya et al. 2008 [PMID: 18039939, 18670193]	
Cre09.g400650	Cytosolic 80S ribosomal protein S6; Cytosolic 40S small ribosomal subunit protein S6	
Cre09.g400750	Belongs to AMT1 family (Amt1;5 or Amt1.5) two different splicing variants have been found for this gene, this one is AMT5b, the shorter one with additional intron (AY588243); was AMT1Eb; belongs to AMT1 family (Amt1;5 or Amt1.5); two different splicing va	
Cre09.g400775	SufA/IscA homolog; similar to HesB/YadR/YfhF.  Previously annotated as ISCA1	
Cre09.g400850	Putative polycystin cation channel.  Contains C-type lectin domain responsible for carbohydrate binding activity (PMID: 16336259)	
Cre09.g400923	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre09.g401000	UDP-N-acetylglucosamine/UDP-glucose 4-epimerase.  An NAD-dependent epimerase/dehydratase; belongs to a family of proteins which utilise NAD as a cofactor and use nucleotide-sugar substrates for a variety of chemical reactions.  Previously annotated as SNE	
Cre09.g401293	Sulfate transporter.  Previously annotated as SULTR3	Sulfate transporter.  Previously annotated as SULTR3
Cre09.g401330	Phosphoglycolate phosphatase, possible phosphoglucomutase	Phosphoglycolate phosphatase, possible phosphoglucomutase
Cre09.g401500	3-beta-hydroxy-delta5-steroid dehydrogenase	
Cre09.g401886	L-ascorbate peroxidase, heme-containing.  Previously annotated as CCPR1 for cytochrome c peroxidase	L-ascorbate peroxidase, heme-containing.  Previously annotated as CCPR1 for cytochrome c peroxidase
Cre09.g402219	Regulated by CCM1 [PMID: 15235119]. Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al. 2008 [PMID: 18322145].	Regulated by CCM1 [PMID: 15235119]. Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al. 2008 [PMID: 18322145].
Cre09.g402219	Regulated by CCM1 [PMID: 15235119]. Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al. 2008 [PMID: 18322145].	
Cre09.g402300	Putative mitochondrial ATP synthase associated protein 8	
Cre09.g402500	Vacuolar proton pump subunit 1; Vacuolar H+-ATPase V0 sector, subunit A	
Cre09.g402515	Contains PTS1 canonical sequence	Contains PTS1 canonical sequence
Cre09.g402552	Mitochondrial NADH-ubiquinone oxidoreductase (Complex I) subunit, mitochondrial; 4L.gi|28932861|gb|AAO61142.1|; NADH-ubiquinone oxidoreductase subunit 4L/subunit 11/chain K (=NAD4L, NUOK [PMID: 15710684; PMID: 15450959]	Mitochondrial NADH-ubiquinone oxidoreductase (Complex I) subunit, mitochondrial; 4L.gi|28932861|gb|AAO61142.1|; NADH-ubiquinone oxidoreductase subunit 4L/subunit 11/chain K (=NAD4L, NUOK [PMID: 15710684; PMID: 15450959]
Cre09.g402750	Conserved Hypothetical Protein. Similar to COG2, component of oligomeric golgi complex 2, involved in vesicle tethering and other Golgi functions	
Cre09.g402950	Conserved protein of unknown function	
Cre09.g403000	Putative non-canonical Poly(A) polymerase (PAP), COG5260, TRF4, DNA polymerase sigma	
Cre09.g403050	Dual-specificity protein phosphatase; probably chloroplast targeted	
Cre09.g403200	Conserved uncharacterized Flagellar Associated Protein; cytochrome b5-like domain in the N terminal part of the protein; found in the flagellar proteome [PMID: 15998802]; identified in the flagellar basal body proteome [PMID: 15137946]; upregulated by def	
Cre09.g403200	Conserved uncharacterized Flagellar Associated Protein; cytochrome b5-like domain in the N terminal part of the protein; found in the flagellar proteome [PMID: 15998802]; identified in the flagellar basal body proteome [PMID: 15137946]; upregulated by def	
Cre09.g403293	Putative 5-Formyltetrahydrofolate cycloligase (5,10-methenytetrahydrofolate synthetase), probably mitochondrial protein, metabolism of tetrahydrofolate-bound one-carbon units.  Possibly mitochondrial	Putative 5-Formyltetrahydrofolate cycloligase (5,10-methenytetrahydrofolate synthetase), probably mitochondrial protein, metabolism of tetrahydrofolate-bound one-carbon units.  Possibly mitochondrial
Cre09.g403800	Flagellar outer arm dynein heavy chain beta.  An ATPase/microtubule motor.  Matsuo et al.'s (2008) roc30 and roc54 (rhythm of chloroplast) circadian rhythm mutant loci map here.  Previously annotated as ODA4	
Cre09.g403900	Flagellar Associated Coiled-Coil Protein, found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400]	
Cre09.g404500	Related to yeast spindle pole body protein SFI1. Contains at least 19 recognizable SFI repeat sequences, which in the yeast protein act as centrin-binding sequences.	
Cre09.g404750	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912);speract/scavenger receptor cysteine-rich (SRCR) family protein, transmembrane glycoprotein	
Cre09.g405050	V-ATPase D subunit; Vacuolar proton pump D subunit; Vacuolar H+-ATPase V1 sector, subunit D	
Cre09.g405150	RNA pseudouridine synthase-like protein, putative precursor form possibly targeted to the mitochondria.	
Cre09.g405200	Putative mitochondrial ribosomal protein L13, imported to mitochondria	
Cre09.g405400	Prefoldin molecular chaperone, subunit 1-related protein (beta-type).  KE2-like protein.  Previously annotated as PFP3	
Cre09.g405550	Mitochondrial import inner membrane translocase subunit of 21 kDa	
Cre09.g405600	Intra-Golgi Qc-SNARE protein, Gs15/Sft1 family (Qc.II).  Expressed protein. Class Qc.II SNARE, involved in intra-Golgi vesicle trafficking  (PMID: 17596510).  Previously annotated as SFT1	
Cre09.g405750	Beta-type carbonic anhydrase. Characterized by Ynalvez et al. 2008 [PMID: 18405332], who found it to be constituitively expressed. The inorganic carbon-concentrating mechanism has been reviewed by Spalding (2008) [PMID: 17597098].	
Cre09.g405850	NADH:ubiquinone oxidoreductase 49 kD subunit, mitochondrial. gi|34328792|gb|AAQ63700.1|; NADH:ubiquinone oxidoreductase (Complex I) subunit. =nad7. gi|34328792|gb|AAQ63700.1| [PMID: 15710684; PMID: 15450959]	
Cre09.g406000	Biotin-acetyl-CoA-carboxylase ligase, biotin/lipoate A/B protein ligase.  Biotin--[propionyl-CoA-carboxylase [ATP-hydrolyzing]] ligase (Holocarboxylase synthetase)	
Cre09.g406050	CTP synthase (UTP-ammonia lyase); CTPS or PYRG; URA7 and URA8 in yeast; contains a stretch of 9 His residues	
Cre09.g406200	Prolyl-tRNA synthetase.  Organellar class II (G, H, P and S) aminoacyl tRNA synthetase.  Previously annotated as ProRS1 or PRORS1 but renamed in tRNA synthetase series	
Cre09.g406400	P-type ATPase superfamily, membrane protein, related to copper transporting P-type ATPases (HMA)	
Cre09.g406800	Hypothetical Conserved Protein. Similar to the catalytic 18 kDa subunit of the ER signal peptidase. Involved in processing signal peptides from ER-targeting proteins	
Cre09.g407250	Hypothetical Flagellar Associated Protein with ankyrin repeats, found in the flagellar proteome [PMID: 15998802]	
Cre09.g407250	Hypothetical Flagellar Associated Protein with ankyrin repeats, found in the flagellar proteome [PMID: 15998802]	
Cre09.g407700	Cysteine endopeptidases (EC 3.4.22), C1A family (papain-type); similar to protease component of protease-inhibitor complex of Zea mays BAA88898.1; contains N-terminal cathepsin propeptide inhibitor domain (I29) and C-terminal granulin (Cys-rich) domain	
Cre09.g408200	Serine/arginine rich (SR) protein.  Similar to Arabidopsis splicing factor RSZp22 (RSZP22); contains Pfam profiles PF00076: RNA recognition motif. (RRM, RBD, or RNP domain) and PF00098: Zinc knuckle. Belongs to human 9G8 protein family.  Previously annota	
Cre09.g409100	Uroporphyrinogen-III synthase, putative chloroplast precursor [PMID: 15849308]; UROS; hemD; hem4; predicted transit peptide 1-39; converts the linear tetrapyrrole hydroxymethyl bilane to the cyclic tetrapyrrole uroporphyrinogen III.  Previously annotated	
Cre09.g409150	Subunit 10 of mitochondrial Complex III (ubiquinol:cytochrome c oxidoreductase) [PMID: 15710684]; homolog of human QCRXI, bovine subunit 6.4 kD and yeast QCR10)	
Cre09.g409250	Glycosyltransferase	
Cre09.g409350	Essential Fe-S protein required for ribosome biogenesis and translation initiation. ABC-type ATPase.	
Cre09.g409750	CAX family of Cation antiporters, membrane protein. Putative Ca2+/H+ antiporter [PMID: 15710683], related to fungi and plants Ca2+/H+ antiporters (CAX); related to yeast VCX1 (or Manganese resistance 1)	
Cre09.g410650	Performs the first step in the histidine biosynthesis pathway, the condensation of ATP with PRPP to form phosphoribosyl-ATP.  Presumably, the HIS1 gene contains within one of its internal introns a gene for a protein phosphatase 2C, encoded on the other s	
Cre09.g410650	Performs the first step in the histidine biosynthesis pathway, the condensation of ATP with PRPP to form phosphoribosyl-ATP.  Presumably, the HIS1 gene contains within one of its internal introns a gene for a protein phosphatase 2C, encoded on the other s	
Cre09.g410650	Performs the first step in the histidine biosynthesis pathway, the condensation of ATP with PRPP to form phosphoribosyl-ATP.  Presumably, the HIS1 gene contains within one of its internal introns a gene for a protein phosphatase 2C, encoded on the other s	
Cre09.g410700	NADP-dependent  malate dehydrogenase [EC: 1.1.1.82]; GI:19069739.  Found in the flagellar proteome [PMID: 15998802] (but this may be due to similarities with MDH2).  Component of the redox valve for nitrate and clustered with nitrate assimilation genes (i	
Cre09.g410750	Nitrite reductase structural gene (Nii1) [GI:3776043, PMID: 9737004]	
Cre09.g410800	High affinity nitrate transporter (system II).  Previously annotated as NAR4.  Needs Nar2 to function in vitro [PMID: 11289304]	
Cre09.g410950	Nitrate reductase (1.6.6.3), converts nitrate to nitrite, the first step in nitrate assimilation; this cytosolic enzyme contains a molybdopterin (MoCo) binding domain, a dimerization domain, a cytochrome B5, a FAD-binding and a NAD-binding domain [PMID: 2	
Cre09.g411100	Cytosolic 80S ribosomal protein S10; Cytosolic 40S small ribosomal subunit protein S10	
Cre09.g411100	Cytosolic 80S ribosomal protein S10; Cytosolic 40S small ribosomal subunit protein S10	
Cre09.g411200	Rieske [2Fe-2S] domain containing protein; putative, chloroplast location proposed; Present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]. Acclimation to changing CO2 concentrations and light intensitie	
Cre09.g411400	PF13 protein required for dynein inner/outer arm assembly in the cytoplasm.  Contains a PIH (protein interacting with HSP90) domain.  Identified by comparative genomics as being present only in organisms having motile (MOT) cilia.  Previously annotated as	
Cre09.g411450	Pre-rRNA processing protein with Pfam PIH1/Nop17 domain.  May be required either for nucleolar retention or correct assembly of the C/D box snoRNP.  Previous gene model MOT45, identified by comparative genomics as being present only in organisms having mo	
Cre09.g411900	Glycine/serine hydroxymethyltransferase-like protein (by homology to Arabidopsis gene AT4G32520)	
Cre09.g412100	Plastocyanin binding subunit	
Cre09.g412300	TIM16, subunit of the presequence translocase-associated protein import complex (TIM23), which drives the completion of protein transport into the mitochondrial matrix. Also named PAM16	
Cre09.g412600	Guanylate cyclase domain similar to that of NPR2 protein [Homo sapiens]	
Cre09.g413200	Serine/Threonine protein kinase.  Previously annotated as STPK22	
Cre09.g413200	Serine/Threonine protein kinase.  Previously annotated as STPK22	
Cre09.g414200	Expressed Protein. Similar to VPS26, a component of Retromer Coat complex involved in endosomal to Golgi trafficking.	
Cre09.g414900	Exostosin-like glycosyltransferases.  Combines two overlapping models ELG32 and ELG33 from v3	
Cre09.g415100	Exostosin-like glycosyltransferases	
Cre09.g415500	Required for translation of the chloroplast petA RNA (see PMID: 11560891, PMID: 17494733).  Characterized by Loiselay et al. 2008 [PMID: 18573878].	
Cre09.g415550	Mitochondrial ATP synthase associated protein 2; unknown evolutionary origin [PMID: 11744727, PMID: 15710684]	
Cre09.g415700	Carbonic anhydrase, carbonate dehydratase (EC 4.2.1.1) precursor, alpha type; located in thylakoid lumen (TAT pathway); identical to CRU73856; PSII associated, involved in photosynthesis and CO2 concentration; [PMID: 9482718]. Originally described as CA,	
Cre09.g415750	General substrate transporter, major facilitator superfamily	
Cre09.g415850	NADH:ubiquinone oxidoreductase (Complex I) subunit related to gamma carbonic anhydrase; identical to AY463241 (GCLP1) and identical to AY538681(mitochondrial complex I subunit).	
Cre09.g415900	Triose phosphate transporter .  Identified by comparative genomics as being present only in organisms having motile (MOT) cilia.  Previously annotated as OT20	
Cre09.g415950	Chloroplast ribosomal protein L6, imported to chloroplast; Chloroplast large ribosomal subunit protein L6	
Cre09.g416050	Argininosuccinate synthase (EC 6.3.4.5); similar to prokaryotic argininosuccinate synthases, such as that from Magnetococcus (GenBank EAN29055); Target-P predicts organelle (weakly mitochondrial) targeting. This corresponds to the C. reinhardtii ARG8 locu	
