Gene ID	Contig	Strand	Start	End	GeneType	description	GO-labels	protein domains	KOGid
Bathy11g03520	bathy_chrom_11	-	660130	661556	mRNA	predicted protein	GO:0005634;GO:0006281;GO:0006355;GO:0003702	IPR004598: Transcription factor Tfb2	NA
Bathy11g03530	bathy_chrom_11	+	661762	664044	mRNA	heavy metal translocating P-type ATPase	GO:0016020;GO:0006754;GO:0015662;GO:0005524	G3DSA:3.30.70.100: no description; IPR006121: Heavy metal transport/detoxification protein; IPR001757: ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter; IPR023300: ATPase,  P-type, cytoplasmic transduction domain A; IPR008250: ATPase, P-type, ATPase-associated domain; PTHR24093: FAMILY NOT NAMED; IPR018303: ATPase, P-type phosphorylation site	NA
Bathy11g03540	bathy_chrom_11	+	664276	665310	mRNA	copper-translocating P-type ATPase	NA	IPR005834: Haloacid dehalogenase-like hydrolase; IPR000150: Cof protein; IPR001757: ATPase, P-type, K/Mg/Cd/Cu/Zn/Na/Ca/Na/H-transporter; PTHR24093: FAMILY NOT NAMED; IPR023214: HAD-like domain	NA
Bathy11g03550	bathy_chrom_11	-	665408	667177	mRNA	unnamed protein product	GO:0016598;GO:0004057	IPR007471: Arginine-tRNA-protein transferase, N-terminal; IPR017137: Arginine-tRNA-protein transferase 1, eukaryotic; IPR007472: Arginine-tRNA-protein transferase, C-terminal; PTHR21367: FAMILY NOT NAMED	NA
Bathy11g03560	bathy_chrom_11	-	667289	668557	mRNA	ribose-phosphate pyrophosphokinase	GO:0000287;GO:0004749;GO:0009165	SSF53271: PRTase-like; IPR000836: Phosphoribosyltransferase; PTHR10210: RIBOSE-PHOSPHATE PYROPHOSPHOKINASE; G3DSA:3.40.50.2020: no description; IPR005946: Ribose-phosphate diphosphokinase	NA
Bathy11g03570	bathy_chrom_11	+	669313	670158	mRNA	predicted protein	NA	PTHR24132: FAMILY NOT NAMED; IPR020683: Ankyrin repeat-containing domain	NA
Bathy11g03580	bathy_chrom_11	-	670231	672273	mRNA	predicted protein	GO:0006506;GO:0017176;GO:0016021	IPR007720: N-acetylglucosaminyl transferase component	NA
Bathy11g03590	bathy_chrom_11	-	672457	675141	mRNA	unknown protein	GO:0000166	IPR012677: Nucleotide-binding, alpha-beta plait	NA
Bathy11g03600	bathy_chrom_11	-	675747	677144	mRNA	copper type II ascorbate-dependent monooxygenase	GO:0005507;GO:0004497	PF03712: Cu2_monoox_C; IPR014784: Copper type II, ascorbate-dependent monooxygenase-like, C-terminal; IPR000323: Copper type II, ascorbate-dependent monooxygenase, N-terminal	NA
Bathy11g03610	bathy_chrom_11	+	677374	678579	mRNA	unknown protein	NA	NA	NA
Bathy11g03620	bathy_chrom_11	-	678735	681401	mRNA	predicted protein	GO:0004674;GO:0006468	PTHR24058: FAMILY NOT NAMED; IPR002290: Serine/threonine-protein kinase domain; G3DSA:3.30.200.20: no description; IPR017442: Serine/threonine-protein kinase-like domain; IPR008271: Serine/threonine-protein kinase, active site; IPR011009: Protein kinase-like domain; IPR000719: Protein kinase, catalytic domain; G3DSA:1.10.510.10: no description; IPR020635: Tyrosine-protein kinase, catalytic domain	NA
Bathy11g03630	bathy_chrom_11	+	681692	682237	mRNA	predicted protein	NA	NA	NA
Bathy11g03640	bathy_chrom_11	-	682405	682773	mRNA	unknown protein	NA	NA	NA
Bathy11g03650	bathy_chrom_11	-	683806	685464	mRNA	unknown protein	NA	NA	NA
Bathy11g03660	bathy_chrom_11	+	685703	687597	mRNA	NAD-dependent epimerase/dehydratase	GO:0008152;GO:0003824;GO:0005488	IPR001509: NAD-dependent epimerase/dehydratase; IPR016040: NAD(P)-binding domain; G3DSA:3.90.25.10: no description; PTHR10366: FAMILY NOT NAMED	NA
Bathy11g03670	bathy_chrom_11	-	687676	688308	mRNA	predicted protein	GO:0016787	PTHR22769: FAMILY NOT NAMED; IPR020476: NUDIX hydrolase; IPR020084: NUDIX hydrolase, conserved site; IPR000086: NUDIX hydrolase domain	NA
Bathy11g03680	bathy_chrom_11	+	688692	689330	mRNA	peptidyl-prolyl cis-trans isomerase B	GO:0006457;GO:0003755	IPR015891: Cyclophilin-like; IPR002130: Peptidyl-prolyl cis-trans isomerase, cyclophilin-type; IPR020892: Peptidyl-prolyl cis-trans isomerase, cyclophilin-type, conserved site; PTHR11071: FAMILY NOT NAMED	NA
Bathy11g03690	bathy_chrom_11	-	689639	691365	mRNA	glyceraldehyde-3-phosphate dehydrogenase	NA	IPR020831: Glyceraldehyde/Erythrose phosphate dehydrogenase family; IPR020829: Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain; SSF51735: NAD(P)-binding Rossmann-fold domains; IPR006424: Glyceraldehyde-3-phosphate dehydrogenase, type I; G3DSA:3.30.360.10: no description; IPR016040: NAD(P)-binding domain; IPR020830: Glyceraldehyde 3-phosphate dehydrogenase, active site; IPR020828: Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	NA
Bathy11g03700	bathy_chrom_11	+	691880	695479	mRNA	predicted protein	NA	IPR019782: WD40 repeat 2; IPR019775: WD40 repeat, conserved site; IPR001680: WD40 repeat; IPR020472: G-protein beta WD-40 repeat; IPR011006: CheY-like superfamily; PTHR22847: FAMILY NOT NAMED; IPR017986: WD40-repeat-containing domain; IPR015943: WD40/YVTN repeat-like-containing domain; IPR001789: Signal transduction response regulator, receiver domain; IPR019781: WD40 repeat, subgroup; G3DSA:3.40.50.2300: no description	NA
Bathy11g03710	bathy_chrom_11	-	695610	696554	mRNA	predicted protein	GO:0008270;GO:0005622	IPR000504: RNA recognition motif domain; G3DSA:4.10.1060.10: no description; IPR012677: Nucleotide-binding, alpha-beta plait; IPR001878: Zinc finger, CCHC-type; IPR001876: Zinc finger, RanBP2-type; IPR013084: Zinc finger, CCHC retroviral-type; PTHR23238: FAMILY NOT NAMED	NA
Bathy11g03720	bathy_chrom_11	+	696877	697905	mRNA	predicted protein	GO:0006166;GO:0004001	G3DSA:3.30.1110.10: no description; IPR011611: Carbohydrate/purine kinase; G3DSA:3.40.1190.20: no description; IPR002173: Carbohydrate/puine kinase, PfkB, conserved site; IPR001805: Adenosine kinase; PTHR10584: SUGAR KINASE	NA
Bathy11g03730	bathy_chrom_11	-	697986	699089	mRNA	predicted protein	NA	IPR019782: WD40 repeat 2; IPR017986: WD40-repeat-containing domain; PTHR22850: FAMILY NOT NAMED; IPR019775: WD40 repeat, conserved site; IPR015943: WD40/YVTN repeat-like-containing domain; IPR001680: WD40 repeat; IPR019781: WD40 repeat, subgroup; IPR020472: G-protein beta WD-40 repeat	NA
Bathy11g03740	bathy_chrom_11	+	699431	700397	mRNA	predicted protein	NA	IPR000782: FAS1 domain	NA
Bathy11g03750	bathy_chrom_11	+	700764	701633	mRNA	Qb-SNARE, Gos1/GS28 protein family	GO:0016021;GO:0006888;GO:0005801;GO:0000139	NA	NA
Bathy11g03760	bathy_chrom_11	-	701703	705530	mRNA	predicted protein	GO:0005634;GO:0003676	PTHR10644: DNA REPAIR/RNA PROCESSING CPSF FAMILY; IPR015943: WD40/YVTN repeat-like-containing domain; IPR004871: Cleavage/polyadenylation specificity factor, A subunit, C-terminal	NA
Bathy11g03770	bathy_chrom_11	+	705631	706608	mRNA	predicted protein	NA	NA	NA
Bathy11g03780	bathy_chrom_11	+	707421	707771	mRNA	predicted protein	NA	NA	NA
Bathy11g03790	bathy_chrom_11	-	707968	710634	mRNA	predicted protein	GO:0005524;GO:0004386;GO:0003676	IPR011545: DNA/RNA helicase, DEAD/DEAH box type, N-terminal; PTHR24031: FAMILY NOT NAMED; G3DSA:3.40.50.300: no description; IPR014014: RNA helicase, DEAD-box type, Q motif; IPR000504: RNA recognition motif domain; SSF52540: P-loop containing nucleoside triphosphate hydrolases; IPR012677: Nucleotide-binding, alpha-beta plait; IPR014001: DEAD-like helicase; IPR001650: Helicase, C-terminal	NA
Bathy11g03800	bathy_chrom_11	+	710866	712221	mRNA	glycosyl transferase family protein	NA	G3DSA:3.90.550.10: no description; PTHR10859: GLYCOSYL TRANSFERASE; IPR001173: Glycosyl transferase, family 2; SSF53448: Nucleotide-diphospho-sugar transferases	NA
Bathy11g03810	bathy_chrom_11	-	712337	715216	mRNA	predicted protein	GO:0006508;GO:0005524;GO:0004222	PTHR23076: FAMILY NOT NAMED; IPR003959: ATPase, AAA-type, core; IPR003960: ATPase, AAA-type, conserved site; IPR000642: Peptidase M41; IPR005936: Peptidase M41, FtsH; G3DSA:3.40.50.300: no description; IPR003593: ATPase, AAA+ type, core; G3DSA:1.10.8.60: no description	NA
Bathy11g03820	bathy_chrom_11	+	715288	716658	mRNA	unknown protein	NA	NA	NA
Bathy11g03830	bathy_chrom_11	-	717110	718387	mRNA	unknown protein	NA	NA	NA
Bathy11g03840	bathy_chrom_11	+	718983	719510	mRNA	predicted protein	GO:0045454	IPR005746: Thioredoxin; IPR012335: Thioredoxin fold; IPR017936: Thioredoxin-like; IPR013766: Thioredoxin domain; IPR017937: Thioredoxin, conserved site	NA
Bathy11g03850	bathy_chrom_11	-	719641	720984	mRNA	carbohydrate kinase, FGGY	GO:0016773;GO:0005975	IPR000577: Carbohydrate kinase, FGGY; G3DSA:3.30.420.40: no description; IPR018484: Carbohydrate kinase, FGGY, N-terminal; IPR018485: Carbohydrate kinase, FGGY, C-terminal	NA
Bathy11g03860	bathy_chrom_11	+	721642	728411	mRNA	acetyl-CoA carboxylase	GO:0005524;GO:0003824	PTHR18866: FAMILY NOT NAMED; IPR011053: Single hybrid motif; IPR000022: Carboxyl transferase; SSF56059: Glutathione synthetase ATP-binding domain-like; IPR005479: Carbamoyl-phosphate synthetase, large subunit, ATP-binding; IPR000089: Biotin/lipoyl attachment; IPR005481: Carbamoyl-phosphate synthase, large subunit, N-terminal; IPR013815: ATP-grasp fold, subdomain 1; G3DSA:3.90.226.10: no description; IPR013537: Acetyl-CoA carboxylase, central domain; G3DSA:2.40.50.100: no description; IPR001882: Biotin-binding site; IPR011764: Biotin carboxylation domain; IPR011761: ATP-grasp fold; IPR005482: Biotin carboxylase, C-terminal; IPR013816: ATP-grasp fold, subdomain 2; IPR011763: Acetyl-coenzyme A carboxyltransferase, C-terminal; IPR013817: Pre-ATP-grasp fold	NA
Bathy11g03870	bathy_chrom_11	-	728473	729566	mRNA	hypothetical protein CHLNCDRAFT_58754	NA	PTHR12289: FAMILY NOT NAMED	NA
Bathy11g03880	bathy_chrom_11	+	729649	730728	mRNA	indigoidine synthase A family protein	GO:0016798	IPR022830: Indigoidine synthase A-like; IPR007342: Pseudouridine-5'-phosphate glycosidase; PTHR10584: SUGAR KINASE	NA
Bathy11g03890	bathy_chrom_11	+	730818	732687	mRNA	magnesium transporter	NA	PTHR13890: FAMILY NOT NAMED	NA
Bathy11g03900	bathy_chrom_11	+	732839	734236	mRNA	unknown protein	NA	SSF57716: Glucocorticoid receptor-like (DNA-binding domain); IPR011017: TRASH	NA
Bathy11g03910	bathy_chrom_11	-	734318	739409	mRNA	unknown protein	GO:0003677	IPR019080: YqaJ viral recombinase family; IPR011604: Exonuclease, phage-type/RecB, C-terminal; IPR002464: DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site; IPR011335: Restriction endonuclease, type II-like; SSF52540: P-loop containing nucleoside triphosphate hydrolases	NA
Bathy11g03920	bathy_chrom_11	-	740222	741481	mRNA	unknown protein	NA	NA	NA
Bathy12g00010	bathy_chrom_12	+	254	760	mRNA	unknown protein	NA	NA	NA
Bathy12g00020	bathy_chrom_12	+	960	3890	mRNA	ATP-dependent RNA helicase	GO:0005524;GO:0004386;GO:0003676	G3DSA:3.40.50.300: no description; IPR011545: DNA/RNA helicase, DEAD/DEAH box type, N-terminal; IPR014001: DEAD-like helicase; SSF52540: P-loop containing nucleoside triphosphate hydrolases; IPR001650: Helicase, C-terminal; IPR018973: DEAD/DEAH-box helicase, putative; PTHR24031: FAMILY NOT NAMED	NA
Bathy12g00030	bathy_chrom_12	-	3948	4571	mRNA	unnamed protein product	GO:0007165;GO:0004871	IPR000014: PAS; G3DSA:3.30.450.20: no description	NA
Bathy12g00040	bathy_chrom_12	+	4725	5048	mRNA	unknown protein	NA	G3DSA:3.30.450.30: no description; PTHR10779: DYNEIN LIGHT CHAIN ROADBLOCK	NA
Bathy12g00050	bathy_chrom_12	-	5131	8097	mRNA	unknown protein	NA	NA	NA
Bathy12g00060	bathy_chrom_12	+	8354	9832	mRNA	unknown protein	NA	NA	NA
Bathy12g00070	bathy_chrom_12	-	9916	10878	mRNA	50S ribosomal protein L15	GO:0015934;GO:0006412;GO:0003735	IPR021131: Ribosomal protein L18e/L15; IPR005749: Ribosomal protein L15, bacterial-type; G3DSA:3.100.10.10: no description	NA
Bathy12g00080	bathy_chrom_12	+	11105	11887	mRNA	predicted protein	NA	IPR022309: Ribosomal protein S8e/ribosomal biogenesis NSA2; PTHR12642: FAMILY NOT NAMED	NA
Bathy12g00090	bathy_chrom_12	+	12296	16549	mRNA	ATP-binding cassette superfamily	GO:0005524;GO:0016887	G3DSA:3.40.50.300: no description; IPR003593: ATPase, AAA+ type, core; PTHR24221: FAMILY NOT NAMED; IPR003439: ABC transporter-like; IPR011527: ABC transporter, transmembrane domain, type 1; IPR017940: ABC transporter, integral membrane type 1; G3DSA:1.20.1560.10: no description; IPR001140: ABC transporter, transmembrane domain; IPR017871: ABC transporter, conserved site	NA
Bathy12g00100	bathy_chrom_12	-	16612	17394	mRNA	unknown protein	GO:0009058;GO:0016779	IPR014729: Rossmann-like alpha/beta/alpha sandwich fold; IPR004820: Cytidylyltransferase	NA
Bathy12g00110	bathy_chrom_12	+	17719	20799	mRNA	predicted protein	GO:0005515	G3DSA:3.40.50.300: no description; IPR001763: Rhodanese-like; IPR003959: ATPase, AAA-type, core; IPR001202: WW/Rsp5/WWP; SSF52540: P-loop containing nucleoside triphosphate hydrolases; PTHR11603: FAMILY NOT NAMED	NA
Bathy12g00120	bathy_chrom_12	-	20870	23918	mRNA	predicted protein	GO:0004527;GO:0005622;GO:0003676	IPR004859: Putative 5-3 exonuclease	NA
Bathy12g00130	bathy_chrom_12	+	24523	25494	mRNA	pseudouridine synthase	GO:0003723;GO:0016866;GO:0009451;GO:0001522	IPR006145: Pseudouridine synthase, RsuA and RluB/C/D/E/F; PTHR21600: FAMILY NOT NAMED; IPR018496: Pseudouridine synthase, RsuA and RluB/E/F, conserved site	NA
Bathy12g00140	bathy_chrom_12	-	25574	27109	mRNA	serine hydroxymethyltransferase	GO:0004372;GO:0006544;GO:0006563	IPR015424: Pyridoxal phosphate-dependent transferase, major domain; IPR019798: Serine hydroxymethyltransferase, pyridoxal phosphate binding site; IPR001085: Serine hydroxymethyltransferase; IPR015421: Pyridoxal phosphate-dependent transferase, major region, subdomain 1; IPR015422: Pyridoxal phosphate-dependent transferase, major region, subdomain 2	NA
Bathy12g00150	bathy_chrom_12	+	27353	28684	mRNA	predicted protein	NA	NA	NA
Bathy12g00160	bathy_chrom_12	-	28774	31275	mRNA	predicted protein	NA	IPR005113: uDENN; PTHR15288: FAMILY NOT NAMED; IPR001194: DENN	NA
Bathy12g00170	bathy_chrom_12	+	31507	33609	mRNA	putative glycosyltransferase (ISS)	GO:0009058	SSF53756: UDP-Glycosyltransferase/glycogen phosphorylase; IPR001296: Glycosyl transferase, group 1; PTHR12526: FAMILY NOT NAMED	NA
Bathy12g00180	bathy_chrom_12	-	33719	34510	mRNA	SNO glutamine amidotransferase	NA	G3DSA:3.40.50.880: no description; SSF52317: Class I glutamine amidotransferase-like; IPR002161: Glutamine amidotransferase subunit PdxT	NA
Bathy12g00190	bathy_chrom_12	+	34729	35382	mRNA	dUTP pyrophosphatase, putative	GO:0016787;GO:0046080	IPR008181: DeoxyUTP pyrophosphatase, dUTPase subfamily; G3DSA:2.70.40.10: no description; IPR008180: DeoxyUTP pyrophosphatase; SSF51283: dUTPase-like; PTHR11241: FAMILY NOT NAMED	NA
Bathy12g00200	bathy_chrom_12	+	35616	37583	mRNA	predicted protein	NA	IPR013180: Domain of unknown function DUF1716, eukaryotic; IPR011989: Armadillo-like helical; PTHR14978: FAMILY NOT NAMED	NA
Bathy12g00210	bathy_chrom_12	+	37940	38534	mRNA	predicted protein	NA	IPR013024: Butirosin biosynthesis, BtrG-like; IPR006840: ChaC-like protein	NA
Bathy12g00220	bathy_chrom_12	-	38600	40348	mRNA	predicted protein	GO:0005524;GO:0016773	G3DSA:3.40.50.300: no description; SSF53271: PRTase-like; PTHR10285: URIDINE KINASE; IPR006083: Phosphoribulokinase/uridine kinase; IPR000836: Phosphoribosyltransferase; G3DSA:3.40.50.2020: no description; IPR000764: Uridine kinase	NA
Bathy12g00230	bathy_chrom_12	-	40659	41759	mRNA	predicted protein	GO:0009052;GO:0004751	SSF100950: NagB/RpiA/CoA transferase-like; G3DSA:3.40.50.1360: no description; IPR004788: Ribose 5-phosphate isomerase, type A	NA
Bathy12g00240	bathy_chrom_12	+	41884	42819	mRNA	predicted protein	NA	G3DSA:3.60.10.10: no description; IPR005135: Endonuclease/exonuclease/phosphatase; PTHR12121: FAMILY NOT NAMED	NA
Bathy12g00250	bathy_chrom_12	-	42873	45320	mRNA	unknown protein	NA	NA	NA
Bathy12g00260	bathy_chrom_12	+	45615	47669	mRNA	unknown protein	NA	NA	NA
Bathy12g00270	bathy_chrom_12	+	48207	48599	mRNA	unknown protein	NA	NA	NA
Bathy12g00280	bathy_chrom_12	-	48698	55222	mRNA	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase	GO:0009058;GO:0008909	SSF53474: alpha/beta-Hydrolases; SSF54826: Enolase N-terminal domain-like; G3DSA:3.20.20.120: no description; IPR004433: Menaquinone biosynthesis protein MenD; PTHR18968: FAMILY NOT NAMED; IPR013342: Mandelate racemase/muconate lactonizing enzyme, C-terminal; IPR000073: Alpha/beta hydrolase fold-1; G3DSA:3.30.390.10: no description; G3DSA:3.40.50.1820: no description; IPR012001: Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain; SSF52518: Thiamin diphosphate-binding fold (THDP-binding); G3DSA:3.40.50.970: no description; IPR015890: Chorismate binding, C-terminal; IPR005801: ADC synthase; IPR004561: Isochorismate synthase	NA
Bathy12g00290	bathy_chrom_12	-	55503	57260	mRNA	predicted protein	GO:0005524;GO:0004386;GO:0003676	G3DSA:3.40.50.300: no description; IPR014014: RNA helicase, DEAD-box type, Q motif; IPR011545: DNA/RNA helicase, DEAD/DEAH box type, N-terminal; IPR000629: RNA helicase, ATP-dependent, DEAD-box, conserved site; IPR014001: DEAD-like helicase; SSF52540: P-loop containing nucleoside triphosphate hydrolases; IPR001650: Helicase, C-terminal; PTHR24031: FAMILY NOT NAMED	NA
Bathy12g00300	bathy_chrom_12	-	57442	59481	mRNA	ribonuclease Z	GO:0016787	G3DSA:1.10.720.30: no description; PTHR12553: FAMILY NOT NAMED; IPR003034: DNA-binding SAP; G3DSA:3.60.15.10: no description; IPR001279: Beta-lactamase-like; SSF68906: SAP domain	NA
Bathy12g00310	bathy_chrom_12	-	60092	60598	mRNA	acyl-coenzyme A thioesterase 13	NA	PTHR21660: FAMILY NOT NAMED; IPR006683: Thioesterase superfamily; G3DSA:3.10.129.10: no description	NA
Bathy12g00320	bathy_chrom_12	+	61262	62680	mRNA	predicted protein	NA	IPR002014: VHS; IPR006903: Domain of unknown function DUF618; IPR006569: RNA polymerase II, large subunit, CTD; IPR007087: Zinc finger, C2H2-type; PTHR15921: FAMILY NOT NAMED; IPR008942: ENTH/VHS	NA
Bathy12g00330	bathy_chrom_12	-	63299	65110	mRNA	predicted protein	GO:0005515	IPR004087: K Homology; IPR018111: K Homology, type 1, subgroup; SSF54791: Eukaryotic type KH-domain (KH-domain type I); IPR004088: K Homology, type 1; IPR001202: WW/Rsp5/WWP; G3DSA:3.30.1370.10: no description; PTHR10288: KH DOMAIN CONTAINING RNA BINDING PROTEIN	NA
Bathy12g00340	bathy_chrom_12	-	65304	66485	mRNA	predicted protein	NA	IPR022742: Alpha/beta hydrolase, N-terminal; PTHR11614: FAMILY NOT NAMED; G3DSA:3.40.50.1820: no description	NA
Bathy12g00350	bathy_chrom_12	+	66716	67666	mRNA	unknown protein	NA	IPR006571: TLDc; PF07534: TLD	NA
Bathy12g00360	bathy_chrom_12	-	67861	68877	mRNA	transaldolase	GO:0005975	IPR013785: Aldolase-type TIM barrel; IPR001585: Transaldolase	NA
Bathy12g00370	bathy_chrom_12	-	69424	70424	mRNA	40S ribosomal protein S4	GO:0005840;GO:0006412;GO:0005622;GO:0003735	IPR013845: Ribosomal protein S4e, central; IPR005824: KOW; IPR000876: Ribosomal protein S4e	NA
Bathy12g00380	bathy_chrom_12	-	70597	70791	mRNA	40S ribosomal protein S4	GO:0005840;GO:0006412;GO:0005622;GO:0003735	IPR018199: Ribosomal protein S4e, N-terminal, conserved site; IPR013843: Ribosomal protein S4e, N-terminal; IPR000876: Ribosomal protein S4e	NA
Bathy12g00390	bathy_chrom_12	+	71158	72177	mRNA	predicted protein	NA	NA	NA
Bathy12g00400	bathy_chrom_12	-	72238	73059	mRNA	predicted protein	GO:0005634;GO:0006355	IPR005033: YEATS	NA
Bathy12g00410	bathy_chrom_12	+	73336	74328	mRNA	predicted protein	GO:0009055;GO:0020037;GO:0005506	IPR002326: Cytochrome c1; IPR021157: Cytochrome c1, transmembrane anchor, C-terminal; IPR009056: Cytochrome c domain	NA
Bathy12g00420	bathy_chrom_12	-	74448	79424	mRNA	elongator complex protein	NA	IPR006849: IKI3	NA
Bathy12g00430	bathy_chrom_12	-	79619	81577	mRNA	predicted protein	NA	IPR007174: Las1-like	NA
Bathy12g00440	bathy_chrom_12	+	81841	83607	mRNA	unknown protein	NA	NA	NA
Bathy12g00450	bathy_chrom_12	+	83907	85052	mRNA	predicted protein	NA	NA	NA
Bathy12g00460	bathy_chrom_12	-	85155	86831	mRNA	Drug/Metabolite transporter superfamily	NA	PTHR23051: FAMILY NOT NAMED	NA
Bathy12g00470	bathy_chrom_12	+	87146	90319	mRNA	DNA gyrase subunit A	GO:0003677;GO:0005524;GO:0003918;GO:0005694;GO:0006265	IPR002205: DNA topoisomerase, type IIA, subunit A/C-terminal; IPR013758: DNA topoisomerase, type IIA, subunit A/ C-terminal, alpha-beta; IPR013757: DNA topoisomerase, type IIA, subunit A, alpha-helical; PTHR10169: DNA TOPOISOMERASE/GYRASE; IPR005743: DNA gyrase, subunit A; IPR020899: Arginine repressor, C-terminal; IPR006691: DNA gyrase/topoisomerase IV, subunit A, C-terminal beta-pinwheel; IPR013760: DNA topoisomerase, type IIA, central	NA
Bathy12g00480	bathy_chrom_12	-	90427	91584	mRNA	predicted protein	GO:0031072	IPR001623: Heat shock protein DnaJ, N-terminal	NA
Bathy12g00490	bathy_chrom_12	-	91778	92866	mRNA	predicted protein	NA	IPR012335: Thioredoxin fold; IPR010987: Glutathione S-transferase, C-terminal-like; IPR017933: Glutathione S-transferase/chloride channel, C-terminal; IPR012336: Thioredoxin-like fold; IPR004045: Glutathione S-transferase, N-terminal; PTHR11260: FAMILY NOT NAMED	NA
Bathy12g00500	bathy_chrom_12	-	92925	94557	mRNA	predicted protein	GO:0005515	IPR019786: Zinc finger, PHD-type, conserved site; IPR001965: Zinc finger, PHD-type; IPR013083: Zinc finger, RING/FYVE/PHD-type; IPR011011: Zinc finger, FYVE/PHD-type; PTHR12628: FAMILY NOT NAMED; IPR019787: Zinc finger, PHD-finger	NA
Bathy12g00510	bathy_chrom_12	+	95010	99116	mRNA	PREDICTED: histone-lysine N-methyltransferase EZH1-like	GO:0005515	G3DSA:2.170.270.10: no description; IPR001214: SET domain; PTHR22884: FAMILY NOT NAMED	NA
Bathy12g00520	bathy_chrom_12	-	99197	103180	mRNA	ribonuclease E	GO:0005975;GO:0003824	IPR012340: Nucleic acid-binding, OB-fold; IPR013783: Immunoglobulin-like fold; IPR019307: RNA-binding protein AU-1/Ribonuclease E/G; IPR013784: Carbohydrate-binding-like fold; IPR002044: Glycoside hydrolase, carbohydrate-binding	NA
Bathy12g00530	bathy_chrom_12	+	103895	105685	mRNA	unknown protein	GO:0008152;GO:0003824;GO:0005488	PTHR13847: FAMILY NOT NAMED; IPR006076: FAD dependent oxidoreductase; IPR016040: NAD(P)-binding domain	NA
Bathy12g00540	bathy_chrom_12	+	105925	106817	mRNA	conserved hypothetical protein	NA	G3DSA:3.30.1330.80: no description; IPR005175: Domain of unknown function DUF296	NA
Bathy12g00550	bathy_chrom_12	-	106928	109696	mRNA	predicted protein	GO:0006508;GO:0005524;GO:0004222	PTHR23076: FAMILY NOT NAMED; IPR003959: ATPase, AAA-type, core; IPR003960: ATPase, AAA-type, conserved site; IPR000642: Peptidase M41; IPR005936: Peptidase M41, FtsH; G3DSA:3.40.50.300: no description; IPR003593: ATPase, AAA+ type, core; G3DSA:1.10.8.60: no description; IPR011546: Peptidase M41, FtsH extracellular	NA
Bathy12g00560	bathy_chrom_12	+	109996	111063	mRNA	predicted protein	GO:0003824	IPR008594: Scavenger mRNA decapping enzyme; IPR011146: Histidine triad-like motif; PF11969: DcpS_C	NA
Bathy12g00570	bathy_chrom_12	-	111130	113709	mRNA	DNA ligase, NAD-dependent	NA	IPR013839: NAD-dependent DNA ligase, adenylation; IPR003583: Helix-hairpin-helix DNA-binding motif, class 1; IPR016027: Nucleic acid-binding, OB-fold-like; G3DSA:3.40.50.10190: no description; IPR012340: Nucleic acid-binding, OB-fold; PTHR11107: FAMILY NOT NAMED; G3DSA:1.10.287.610: no description; IPR001679: NAD-dependent DNA ligase; IPR013840: NAD-dependent DNA ligase, N-terminal; IPR018239: NAD-dependent DNA ligase, active site; G3DSA:3.30.470.30: no description; G3DSA:1.10.150.20: no description; IPR004150: NAD-dependent DNA ligase, OB-fold; SSF56091: DNA ligase/mRNA capping enzyme, catalytic domain; IPR001357: BRCT; IPR010994: RuvA domain 2-like	NA
Bathy12g00580	bathy_chrom_12	-	114096	114785	mRNA	PREDICTED: similar to predicted protein	NA	IPR020683: Ankyrin repeat-containing domain	NA
Bathy12g00590	bathy_chrom_12	+	114921	116663	mRNA	predicted protein	NA	IPR008775: Phytanoyl-CoA dioxygenase; G3DSA:2.60.120.620: no description	NA
Bathy12g00600	bathy_chrom_12	-	116728	120125	mRNA	M protein repeat-containing protein	NA	NA	NA
Bathy12g00610	bathy_chrom_12	+	120600	122297	mRNA	unknown protein	NA	NA	NA
Bathy12g00620	bathy_chrom_12	-	122437	123295	mRNA	ankyrin repeat protein	GO:0005515	IPR020683: Ankyrin repeat-containing domain; PTHR24198: FAMILY NOT NAMED; PR01415: ANKYRIN; IPR002110: Ankyrin repeat	NA
Bathy12g00630	bathy_chrom_12	-	123631	126447	mRNA	conserved Plasmodium protein, unknown function	NA	NA	NA
Bathy12g00640	bathy_chrom_12	-	126783	127214	mRNA	unknown protein	NA	IPR013169: mRNA splicing factor, Cwf18	NA
Bathy12g00650	bathy_chrom_12	+	127350	127847	mRNA	predicted protein	NA	NA	NA
Bathy12g00660	bathy_chrom_12	-	127928	129616	mRNA	fatty acid 2-hydroxylase	GO:0005506;GO:0006633;GO:0055114;GO:0016491	PTHR12863: FAMILY NOT NAMED; IPR001199: Cytochrome b5; IPR006694: Fatty acid hydroxylase	NA
Bathy12g00670	bathy_chrom_12	+	130350	132224	mRNA	predicted protein	GO:0016021	IPR004254: Hly-III-related	NA
Bathy12g00680	bathy_chrom_12	+	132358	132702	mRNA	unknown protein	NA	NA	NA
