Vocar.0001s0003.1	5-formyltetrahydrofolate cycloligase.
Vocar.0009s0169.1	dynamin-related GTPase; dynamin-GTPases are involved in many vesicle trafficking events at the Golgi, Plasma membrane, etc.
Vocar.0009s0214.1	ribosomal protein L4; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0009s0228.1	Similar to C. reinhardtii DYF13; homologous to protein required for ciliogenesis in C. elegans. Transcript upregulated during C. reinhardtii flagellar regeneration [PMID: 15738400].
Vocar.0009s0241.1	multicopper ferroxidase.
Vocar.0009s0277.1	protein conserved only in organisms with motile cilia (Mot39); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0009s0308.1	encodes protein homologous to Arabidopsis SPIRAL1, a cortical MT associated protein believed to be involved in directional cell expansion.
Vocar.0009s0308.2	encodes protein homologous to Arabidopsis SPIRAL1, a cortical MT associated protein believed to be involved in directional cell expansion.
Vocar.0009s0308.3	encodes protein homologous to Arabidopsis SPIRAL1, a cortical MT associated protein believed to be involved in directional cell expansion.
Vocar.0009s0309.1	flagellar inner arm dynein light chain (Tctex2b).
Vocar.0009s0309.2	flagellar inner arm dynein light chain (Tctex2b).
Vocar.0009s0370.1	Chlorophyll a-b binding protein, chloroplast precursor.
Vocar.0009s0373.1	polyubiquitin (ubqC); contains ubiquitin tandem repeats; ubiquitin acts through its post-translational attachment (ubiquitinylation) to other proteins for proteasome-mediated degradation, internalization etc.; reference: Schiedlmeier, B. and Schmitt, R. (
Vocar.0011s0012.1	transcription factor Myb9; belongs to the Myb superfamily; Myb transcription factors are known to play regulatory roles in developmental processes and defense responses in plants.
Vocar.0011s0017.1	gonidia-specific cDNA G12, AF110787; PMID:10654090. One of a number of light harvesting complex a protein genes, called LHCA genes in Chlamydomonas. (The closest match in Chlamydomonas also shows synteny and is called: LHCA9).
Vocar.0011s0048.1	Contains IPR007714 (Protein of unknown function DUF667). This family of proteins are highly conserved in eukaryotes. Some proteins in the family are annotated as transcription factors. However, there is currently no support for this in the literature. In
Vocar.0011s0048.2	Contains IPR007714 (Protein of unknown function DUF667). This family of proteins are highly conserved in eukaryotes. Some proteins in the family are annotated as transcription factors. However, there is currently no support for this in the literature. In
Vocar.0011s0048.3	Contains IPR007714 (Protein of unknown function DUF667). This family of proteins are highly conserved in eukaryotes. Some proteins in the family are annotated as transcription factors. However, there is currently no support for this in the literature. In
Vocar.0011s0057.1	flagellar autonomy 2 protein, NIMA family kinase.
Vocar.0011s0119.1	NADH:ubiquinone oxidoreductase (complex I) 13 kDa subunit.
Vocar.0011s0135.1	putative pyruvate dehydrogenase kinase. (The Chlamydomonas ortholog is called: PDK1).
Vocar.0011s0173.1	protein conserved only in organisms with motile cilia (Mot6); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0011s0190.1	glutathione peroxidase; principal function is to protect against damage from endogenously-formed hydroxyperoxides; catalyses the reduction of hydroxyperoxides by glutathione.
Vocar.0011s0197.1	catalase, peroxidase.
Vocar.0011s0197.2	catalase, peroxidase.
Vocar.0011s0197.3	catalase, peroxidase.
Vocar.0011s0205.1	argininosuccinate synthase.
Vocar.0011s0210.1	Similar to the RabA/Rab11/Ypt31,32/Ypt3 (At/Hs/Sc/Sp) type Rab GTPase, involved in vesicle trafficking in the Golgi Endosomal system. Rab-related GTPase belongs to RabA/Rab11 family of small GTPases; GTP-binding protein.
Vocar.0011s0213.1	phototropin-like, blue light receptor. The Chlamydomonas gene is characterized: PMID: 12121468; independent sequence: AJ416556; found in the flagellar proteome [PMID: 15998802]. (The Chlamydomonas ortholog is called: PHOT).
Vocar.0011s0266.1	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc10).
Vocar.0011s0268.1	T-complex protein 1, beta subunit (CCT2); TCP-1 beta subunit; subunit of cytosolic chaperonin complex.
Vocar.0011s0268.2	T-complex protein 1, beta subunit (CCT2); TCP-1 beta subunit; subunit of cytosolic chaperonin complex.
Vocar.0011s0270.1	encodes type VIII myosin heavy chain.
Vocar.0011s0278.1	MAP kinase phosphatase 1; dual specificity protein phosphatase; dephosphorylates and inactivates MAP kinases.
Vocar.0011s0280.1	mitochondrial F1F0 ATP synthase associated protein (Asa7).
Vocar.0011s0280.2	mitochondrial F1F0 ATP synthase associated protein (Asa7).
Vocar.0011s0288.1	mitochondrial F1F0 ATP synthase associated protein (Asa2).
Vocar.0011s0288.2	mitochondrial F1F0 ATP synthase associated protein (Asa2).
Vocar.0011s0308.1	transcription factor Myb7; belongs to the Myb superfamily; Myb transcription factors are known to play regulatory roles in developmental processes and defense responses in plants.
Vocar.0011s0333.1	NADH:ubiquinone oxidoreductase (Complex I) subunit related to gamma carbonic anhydrase.
Vocar.0012s0011.1	ubiquinol:cytochrome c oxidoreductase cytochrome c1 (mitochondrial complex III); mitochondrial pre-apocytochrome c1; similar to Cyt1 from yeast.
Vocar.0012s0028.1	H+-transporting two-sector ATPase, subunit G; mitochondria targeted.
Vocar.0012s0028.2	H+-transporting two-sector ATPase, subunit G; mitochondria targeted.
Vocar.0012s0034.1	small G-protein (yptV2); small G protein superfamily; GTP-binding protein; membrane associated protein; ras-like protein; reference: Fabry, S., Jacobsen, A., Huber, H., Palme, K. and Schmitt, R. (1993) Curr. Genet. 24: 229-240 [PMID: 8221932]; Genbank ent
Vocar.0012s0064.1	26S proteasome regulatory complex, lid subcomplex, non-ATPase subunit Rpn8 (subunit S12; subunit 7; Psd7; PSMD7).
Vocar.0012s0085.1	aspartate aminotransferase (Ast3); catalyses the reaction: L-aspartate + 2-oxoglutarate = oxaloacetate + L-glutamate.
Vocar.0012s0088.1	ATP-energized ABC transporter Mrp2; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry AY835993.
Vocar.0012s0088.2	ATP-energized ABC transporter Mrp2; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry AY835993.
Vocar.0012s0091.1	eukaryotic translation initiation factor 5A.
Vocar.0012s0091.2	eukaryotic translation initiation factor 5A.
Vocar.0012s0109.1	NADH:ubiquinone oxidoreductase (complex I) 22 kDa subunit, mitochondrial.
Vocar.0012s0114.1	26S proteasome regulatory complex, lid subcomplex, non-ATPase subunit Rpn6 (subunit 9; Psd11; PSMD11).
Vocar.0012s0151.1	EC 1.13.11.27; (4HPPD) (HPD) (HPPDase).
Vocar.0012s0172.1	Protein containing a chlorophyll A-B binding domain; 96% similarity to light-harvesting chlorophyll-a/b binding protein LhcII-3 from Chlamydomonas (BAB64413).
Vocar.0012s0179.1	metalloproteinase Lsg2; extracellular matrix protein; shows HExxHxxGxxH zinc binding motif; contains C-terminal hydroxyproline-rich (HR) domain; reference: Shimizu, T., Inoue, T. and Shiraishi, H. (2002) Gene 284: 179-187 [PMID: 11891059]; Genbank entry A
Vocar.0012s0179.2	metalloproteinase Lsg2; extracellular matrix protein; shows HExxHxxGxxH zinc binding motif; contains C-terminal hydroxyproline-rich (HR) domain; reference: Shimizu, T., Inoue, T. and Shiraishi, H. (2002) Gene 284: 179-187 [PMID: 11891059]; Genbank entry A
Vocar.0012s0179.3	metalloproteinase Lsg2; extracellular matrix protein; shows HExxHxxGxxH zinc binding motif; contains C-terminal hydroxyproline-rich (HR) domain; reference: Shimizu, T., Inoue, T. and Shiraishi, H. (2002) Gene 284: 179-187 [PMID: 11891059]; Genbank entry A
Vocar.0012s0185.1	contains the Adhesion regulating molecule domain (IPR00677).
Vocar.0012s0203.1	Centrin (caltractin). Component of flagellar inner arm dyneins and basal body/centriole-associated structures. Appears to be the ortholog of the Chlamydomonas VFL2 gene.
Vocar.0012s0224.1	uroporphyrinogen decarboxylase, chloroplast precursor.
Vocar.0012s0227.1	Arf-related GTPase (Arf10) belongs to Arf/Sar1 GTPase family of small GTPases; GTP-binding protein.
Vocar.0012s0271.1	VMP42 belongs to the large VMP-family of Volvox metalloproteinases; the binding site of the catalytic metal ion in VMPs is QExxHxxGxxH not HExxHxxGxxH, therefore VMPs prefer copper for activity rather than zinc; VMPs are extracellular matrix glycoproteins
Vocar.0012s0304.1	organellar elongation factor P (EF-P).
Vocar.0013s0007.1	component of oligomeric golgi complex 4 (Cog4); involved in vesicle tethering and other Golgi functions.
Vocar.0013s0019.1	ribosomal protein L6; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0013s0042.1	flagellar inner arm dynein light chain (Tctex1).
Vocar.0013s0049.1	mitogen-activated protein kinase 8; downstream kinase in the canonical MAP kinase pathway.
Vocar.0013s0063.1	26S proteasome regulatory complex, lid subcomplex, non-ATPase subunit Rpn11.
Vocar.0013s0113.1	PP2A-1c. Serine/threonine protein phosphatase 2A, catalytic subunit [PP2Ac, gi:5053113, PMID: 10591628]; dephosphorylates phosphoserine and phosphothreonine residues, (The Chlamydomonas ortholog is ID: 193562). The C-terminal half of the model is missing
Vocar.0013s0116.1	pherophorin-V3; extracellular matrix protein (ECM protein, cell wall protein); belongs to the large pherophorin-family, a family of glycoproteins with a central hydroxyproline-rich (HR) domain; reference: Hallmann, A. (2006) Plant J. 45: 292-307 [PMID: 16
Vocar.0013s0116.2	pherophorin-V3; extracellular matrix protein (ECM protein, cell wall protein); belongs to the large pherophorin-family, a family of glycoproteins with a central hydroxyproline-rich (HR) domain; reference: Hallmann, A. (2006) Plant J. 45: 292-307 [PMID: 16
Vocar.0013s0118.1	low molecular mass early light-induced protein. (The Chlamydomonas ortholog is called: LHL3).
Vocar.0013s0144.1	eukaryotic translation initiation factor 2B gamma.
Vocar.0013s0151.1	ferritin, chloroplast precursor, pre-apoferritin.
Vocar.0013s0178.1	pyruvate formate-lyase activating enzyme; radical-activating enzyme.
Vocar.0013s0208.1	plastid / chloroplast ribosomal protein L35; imported to chloroplast; plastid / chloroplast large ribosomal subunit protein L35.
Vocar.0013s0225.1	glycine/serine hydroxymethyltransferase-like protein.
Vocar.0013s0225.2	glycine/serine hydroxymethyltransferase-like protein.
Vocar.0013s0247.1	photosystem I reaction center subunit O.
Vocar.0013s0278.1	alpha tubulin (tubA2), protein in microtubules; reference: Mages, W., Salbaum, J.M., Harper, J.F. and Schmitt, R. (1988) Mol. Gen. Genet. 213: 449-458 [PMID: 3185511]; Genbank entry X12846.
Vocar.0013s0281.1	major phosphate-repressible, calcium-dependent, extracellular alkaline phosphatase; reference: Hallmann, A. (1999) J. Biol. Chem. 274: 1691-1697 [PMID: 9880549]; Genbank entry AJ012458.
Vocar.0013s0283.1	26S proteasome regulatory complex, base subcomplex, ATPase Rpt6.
Vocar.0013s0303.1	mitogen-activated protein kinase 5; downstream kinase in the canonical MAP kinase pathway.
Vocar.0013s0303.2	mitogen-activated protein kinase 5; downstream kinase in the canonical MAP kinase pathway.
Vocar.0014s0005.1	four pyruvate kinase units on a single large protein; EC 2.7.1.40; pyruvate kinase catalyses the final step in glycolysis, which is the conversion of phosphoenolpyruvate to pyruvate with concomitant phosphorylation of ADP to ATP.
Vocar.0014s0007.1	NADH:ubiquinone oxidoreductase (complex I) 18 kDa subunit, mitochondrial.
Vocar.0014s0084.1	Contains IPR006084 (DNA repair protein (XPGC)/yeast Rad).
Vocar.0014s0118.1	NADH:ubiquinone oxidoreductase (complex I) 39 kDa subunit precursor, mitochondrial.
Vocar.0014s0138.1	MorA; related to Arabidopsis microtubule organizing protein 1 (MOR1), which is required for asymmetric division during pollen mitosis I; PMID: 12198497.
Vocar.0014s0148.1	not significantly similar to any myosin in Genbank.
Vocar.0014s0182.1	encodes predicted tubulin tyronsine ligase TtlC.
Vocar.0014s0193.1	putative Kif3C type kinesin-like protein. Please see another model (PID:95520).
Vocar.0014s0193.2	putative Kif3C type kinesin-like protein. Please see another model (PID:95520).
Vocar.0014s0194.1	flagellar alpha dynein (DyhA); highly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123072. called ODA11 in Chlamydomonas.
Vocar.0014s0223.1	ribosomal protein L28; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0014s0223.2	ribosomal protein L28; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0014s0224.1	MADS box protein; ortholog to Chlamydomonas 179291.
Vocar.0014s0228.1	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc1).
Vocar.0015s0024.1	small G-protein (yptV5); small G protein superfamily; GTP-binding protein; membrane associated protein; ras-like protein; reference: Fabry, S., Jacobsen, A., Huber, H., Palme, K. and Schmitt, R. (1993) Curr. Genet. 24: 229-240 [PMID: 8221932]; Genbank ent
Vocar.0015s0025.1	acetylglucosaminyltransferase (Elg1); belongs to the family of exostosin-like glycosyltransferases.
Vocar.0015s0030.1	eukaryotic translation initiation factor 3-like protein.
Vocar.0015s0049.1	Putative S-like Rnase. An inverted tandem repeat with the adjacent VRN1 gene.
Vocar.0015s0050.1	Senescence-associated S-like Rnase; see Genbank AB034248, PMID: 11675015. The adjacent gene is an inverted tandem repeat.
Vocar.0015s0064.1	small nuclear ribonucleoprotein; sm protein; small nuclear ribonucleoprotein Sm D3 (snRNP core protein D3).
Vocar.0015s0086.1	ribosomal protein L36A; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0015s0098.1	putative homolog of not2 in yeast (general regulator of transcription subunit 2) and of VIP2 in Arabidopsis. (The Chlamydomonas ortholog is called: NOT2).
Vocar.0015s0111.1	serine/threonine protein kinase 15.
Vocar.0015s0133.1	gene conserved only in ciliated organisms, including those with non-motile (sensory, structural and assembly, SSA) cilia; identified by comparative genomics.
Vocar.0015s0146.1	mitochondrial phosphate carrier; mitochondrial inner membrane protein; transfers inorganic phosphate into matrix.
Vocar.0015s0146.2	mitochondrial phosphate carrier; mitochondrial inner membrane protein; transfers inorganic phosphate into matrix.
Vocar.0015s0161.1	Encodes epsilon tubulin.
Vocar.0015s0179.1	putative kinesin-like protein; appears to be member of Kif9 subfamily.
Vocar.0015s0182.1	multidrug resistance associated protein (Mrp4), ABC transporter, membrane protein.
Vocar.0015s0182.2	multidrug resistance associated protein (Mrp4), ABC transporter, membrane protein.
Vocar.0015s0188.1	Appears to be the ortholog of the Chlamydomonas NAP1 gene. Independently sequenced, see Genbank AF416463.
Vocar.0015s0214.1	2-oxoglutarate dehydrogenase, E2 component.
Vocar.0015s0215.1	sedoheptulose-1,7-biphosphatase, see PUBMED ID 8165256.
Vocar.0015s0233.1	Type II metacaspase [PMID: 11090634].
Vocar.0015s0235.1	putative RWP-RK domain transcription factor. (The Chlamydomonas ortholog is called: RWP7).
Vocar.0015s0247.1	Fe2S2 containing redox protein, predicted chloroplast localization.
Vocar.0015s0262.1	DEAH-box ATPase, putative RNA helicase, homologue of S. cerevisiae mRNA splicing helicases Prp2, Prp16, Prp22 and Prp43, which are required at different steps of the spliceosome cycle.
Vocar.0015s0300.1	mitochondrial ribosomal protein L17; imported to mitochondria.
Vocar.0015s0305.1	DegP-type protease; serine protease; trypsin family; two PDZ domains, probably involved in substrate recognition and protease activation.
Vocar.0015s0305.2	DegP-type protease; serine protease; trypsin family; two PDZ domains, probably involved in substrate recognition and protease activation.
Vocar.0015s0308.1	CKS1/suc1/p13. Conserved subunit of CDK1 complexes.
Vocar.0015s0333.1	DNA replication factor C complex subunit 4 (Rfc4); accessory protein of DNA polymerase.
Vocar.0015s0351.1	NADH:ubiquinone oxidoreductase (complex I) 13 kDa subunit, mitochondrial.
Vocar.0015s0353.1	Calmodulin mediates the control of a large number of enzymes by Ca(2+). (The Chlamydomonas ortholog is called: CAM1).
Vocar.0015s0354.1	protein conserved only in organisms with motile cilia (Mot51); identified by comparative genomics as being present only in organisms having motile cilia.
Vocar.0015s0365.1	RWP-RK domain containing transcription factor.
Vocar.0015s0365.2	RWP-RK domain containing transcription factor.
Vocar.0015s0366.1	ankyrin-repeat protein (Ank2); belongs to the large family of ankyrins, which contain a unique protein-protein interaction motif; ankyrin repeats are tandemly repeated modules of about 33 amino acids; ankyrin repeats fold into a helix-loop-helix structure
Vocar.0015s0387.1	vacuolar H+ ATPase V0 sector, subunit D, similar to vacuolar ATP synthase subunit H (V-ATPase subunit H) from Arabidopsis (Genbank entry Q9LX65).
Vocar.0016s0001.1	20S proteasome alpha subunit C (type 4).
Vocar.0016s0003.1	This is orthologous to Chlamydomonas BLD10, a basal body protein localized to the cartwheel structure at the proximal end. bld10 mutants have no basal bodies or flagella. J Cell Biol. 2004 Jun 7;165(5):663-71. Matsuura K, Lefebvre PA, Kamiya R, Hirono M.
Vocar.0016s0003.2	This is orthologous to Chlamydomonas BLD10, a basal body protein localized to the cartwheel structure at the proximal end. bld10 mutants have no basal bodies or flagella. J Cell Biol. 2004 Jun 7;165(5):663-71. Matsuura K, Lefebvre PA, Kamiya R, Hirono M.
Vocar.0016s0012.1	ribosomal protein L3; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0016s0019.1	PR-1 like protein Lsg1; homologue of plant pathogenesis-related proteins; contains hydroxyproline-rich (HR) domain; reference: Shimizu, T., Inoue, T. and Shiraishi, H. (2002) Gene 284: 179-187 [PMID: 11891059]; Genbank entry AB070343.
Vocar.0016s0019.2	PR-1 like protein Lsg1; homologue of plant pathogenesis-related proteins; contains hydroxyproline-rich (HR) domain; reference: Shimizu, T., Inoue, T. and Shiraishi, H. (2002) Gene 284: 179-187 [PMID: 11891059]; Genbank entry AB070343.
Vocar.0016s0044.1	ribosomal protein L30; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0016s0044.2	ribosomal protein L30; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0016s0055.1	F1F0 ATP synthase, subunit alpha, mitochondrial.
Vocar.0016s0055.2	F1F0 ATP synthase, subunit alpha, mitochondrial.
Vocar.0016s0092.1	NADH:ubiquinone oxidoreductase (complex I) subunit 10, mitochondrial; PSST-like protein.
Vocar.0016s0109.1	ribosomal protein L31; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0016s0127.1	Arf-related GTPase (Arf3) belongs to Arf/Sar1 GTPase family of small GTPases; GTP-binding protein.
Vocar.0016s0153.1	Arf-related GTPase (Arf2) belongs to Arf/Sar1 GTPase family of small GTPases; GTP-binding protein.
Vocar.0016s0158.1	Photosystem I reaction center subunit XI.
Vocar.0016s0167.1	ribosomal protein L18; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0016s0176.1	COG0348, NapH, Polyferredoxin.
Vocar.0016s0184.1	DnaJ-like heat shock protein 51; DnaJ superfamily; molecular chaperone.
Vocar.0016s0184.2	DnaJ-like heat shock protein 51; DnaJ superfamily; molecular chaperone.
Vocar.0016s0197.1	radial spoke protein 16; structural HSP40 (DnaJ) in the radial spoke stalk.
Vocar.0016s0204.1	fructose-1,6-bisphosphatase (fbp1); nuclear gene for chloroplast product; mainly expressed in reproductive cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123077.
Vocar.0016s0205.1	serine/threonine protein kinase 11.
Vocar.0016s0205.2	serine/threonine protein kinase 11.
Vocar.0016s0205.3	serine/threonine protein kinase 11.
Vocar.0016s0208.1	ribosomal protein S28; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0016s0214.1	Copper target homolog 1 protein, chloroplast precursor, functional variant produced under copper and/or oxygen sufficient conditions [GI:15650866; PMID: 11910013; PMID: 14673103]; Mg-protoporphyrin IX monomethyl ester (oxidative) cyclase, aerobic oxidativ
Vocar.0016s0220.1	mitogen-activated protein kinase 3; downstream kinase in the canonical MAP kinase pathway.
Vocar.0016s0258.1	DnaJ-like heat shock protein 36; member of the DnaJ superfamily; molecular chaperone.
Vocar.0016s0271.1	histone H2A (histone H2A-11); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0016s0272.1	histone H2B (histone H2B-11); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0016s0275.1	Qa-SNARE, Tlg2/Syntaxin16-family; involved in trans-Golgi network trafficking.
Vocar.0016s0282.1	histone H2A (histone H2A-10); reference: M ller, K., Lindauer, A., Br derlein, M. and Schmitt, R. (1990) Gene 93: 167-175 [PMID: 2227431].
Vocar.0016s0293.1	TATA-box binding protein; Genbank entry AY787798.
Vocar.0017s0012.1	ribosomal protein L13A; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0017s0012.2	ribosomal protein L13A; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0017s0029.1	NimA-related protein kinase homolog 8 (Nim = never in mitosis); G2-specific serine/threonine protein kinase.
Vocar.0017s0035.1	NADH:ubiquinone oxidoreductase (complex I) 76 kDa subunit, mitochondrial.
Vocar.0017s0068.1	NADH:ubiquinone oxidoreductase (complex I) 30 kDa subunit.
Vocar.0017s0173.1	elongation factor 2 (EF-2, EF-TU); also similar to U5 snRNP-specific protein.
Vocar.0017s0200.1	26S proteasome regulatory complex, base subcomplex, ATPase Rpt2 (subunit 4).
Vocar.0017s0201.1	chloroplast-specific ribosomal protein; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry AY835992.
Vocar.0018s0012.1	sulfur acclimation 1 protein Sac1; regulates sulfur deprivation responses; membrane protein; mainly expressed in somatic cells; reference: Nematollahi, G., Kianianmomeni, A. and Hallmann, A. (2006) BMC Genomics 7, 321 [PMID: 17184518]; Genbank entry EF123
Vocar.0018s0019.1	Contains 2 BRCT domains (IPR001357), The BRCT domain (after the C_terminal domain of a breast cancer susceptibility protein) is found predominantly in proteins involved in cell cycle checkpoint functions responsive to DNA damage, for example as found in t
Vocar.0018s0019.2	Contains 2 BRCT domains (IPR001357), The BRCT domain (after the C_terminal domain of a breast cancer susceptibility protein) is found predominantly in proteins involved in cell cycle checkpoint functions responsive to DNA damage, for example as found in t
Vocar.0018s0028.1	eukaryotic translation initiation factor 2B alpha.
Vocar.0018s0041.1	pherophorin-V36; extracellular matrix protein (ECM protein, cell wall protein); belongs to the large pherophorin-family, a family of glycoproteins with a central hydroxyproline-rich (HR) domain; reference: Hallmann, A. (2006) Plant J. 45: 292-307 [PMID: 1
Vocar.0018s0049.1	Encodes Hsp70-like protein that is similar to Hsp110 family members; appears to be orthologous to C. reinhardtii HSP70E.
Vocar.0018s0072.1	encodes actin-related protein Arp3; very similar to C. reinhardtii 118745.
Vocar.0018s0086.1	similar to plant actin-bundling protein fimbrin.
Vocar.0018s0113.1	Dynein heavy chain 8 (putative flagellar inner arm dynein heavy chain). (The Chlamydomonas ortholog is called: DHC8).
Vocar.0018s0128.1	DNA replication factor C complex subunit 3 (Rfc3); accessory protein of DNA polymerase.
Vocar.0018s0135.1	nucleotide cyclase (Cyc54); member of the large guanylyl- and adenylyl cyclase family (E.C.4.6.1.1 / E.C.4.6.1.2); cyclic nucleotide synthesis; carries a conserved class III cyclase domain.
Vocar.0018s0140.1	ribosomal protein S26; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0018s0202.1	Contains a RING domain (IPR001841) at the N-terminus and two BRCT domains (IPR001357 - found predominantly in proteins involved in cell cycle checkpoint functions responsive to DNA damage, for example as found in the breast cancer DNA-repair protein BRCA1
Vocar.0018s0207.1	mitochondrial substrate carrier, mitochondrial carrier protein (Mitc14).
Vocar.0018s0208.1	KH domain-containing protein NOVA-like; The K homology (KH) domain is present in a wide variety of quite diverse nucleic acid-binding proteins. It has been shown to bind RNA.
Vocar.0018s0208.2	KH domain-containing protein NOVA-like; The K homology (KH) domain is present in a wide variety of quite diverse nucleic acid-binding proteins. It has been shown to bind RNA.
Vocar.0018s0208.3	KH domain-containing protein NOVA-like; The K homology (KH) domain is present in a wide variety of quite diverse nucleic acid-binding proteins. It has been shown to bind RNA.
Vocar.0018s0229.1	putative Kif11 type kinesin-like protein; resembles Xenopus Eg5, a spindle-associated kinesin; nearly identical to C. reinhardtii 137882.
Vocar.0019s0025.1	NADH-cytochrome b5 reductase.
Vocar.0019s0088.1	acetylglucosaminyltransferase (Elg18); belongs to the family of exostosin-like glycosyltransferases.
Vocar.0019s0089.1	T-complex protein 1, epsilon subunit (CCT5); TCP-1 epsilon subunit; subunit of cytosolic chaperonin complex.
Vocar.0019s0109.1	Dihydrolipoamide acetyltransferase (EC 2.3.1.12), E2 component of pyruvate dehydrogenase complex, probably plastidic, based on similarity to Arabidopsis LTA2 (GenBank NP_189215) (The Chlamydomonas ortholog is called: DLA2).
Vocar.0019s0218.1	Contains DUF254, SAND (IPR00435). Members of this family, although uncharacterised have been referred to as SAND proteins; though they do not contain a SAND domain. The members of this family are 500-600 amino acids long and contain several conserved moti
Vocar.0019s0241.1	elongation factor Tu-like protein; GTP-binding protein.
Vocar.0020s0002.1	component of oligomeric golgi complex 6 (Cog6); involved in vesicle tethering and other Golgi functions.
Vocar.0020s0009.1	Qa-SNARE, Sso1/Syntaxin1 (PM)-type; involved in plasma membrane trafficking.
Vocar.0020s0067.1	gonidia-specific cDNA G36, AF110785; PMID:10654090. Chlorophyll a/b binding protein. In Chlamydomonas, described as a stress-related chlorophyll a/b binding protein; Low-CO2 and high-light inducible chlorophyll a/b binding protein, possibly related to pho
Vocar.0020s0082.1	NADPH dependent thioredoxin reductase, mammalian type (large TR) containing a carboxy-terminal penultimate selenocysteine encoded by TGA (C terminal sequence Gly-Cys-Sec-Gly), as in Chlamydomonas. (The Chlamydomonas ortholog is called: NTR1).
Vocar.0020s0103.1	splicing factor 3a, subunit 3.
Vocar.0020s0128.1	NADH:ubiquinone oxidoreductase (complex I) 8 kDa subunit.
Vocar.0020s0163.1	20S proteasome alpha subunit F (type 1).
Vocar.0020s0171.1	glutathione peroxidase; principal function is to protect against damage from endogenously-formed hydroxyperoxides; catalyses the reduction of hydroxyperoxides by glutathione.
Vocar.0020s0177.1	ribosomal protein L35A; component of cytosolic 80S ribosome and 60S large subunit.
Vocar.0021s0021.1	phosphoenolpyruvate carboxykinase; PEP carboxykinase (EC 4.1.1.49).
Vocar.0021s0032.1	Qc-SNARE, Syn8/Syntaxin8-family; involved in Golgi/late endosomal trafficking.
Vocar.0021s0037.1	26S proteasome regulatory complex, base subcomplex, ATPase Rpt4.
Vocar.0021s0041.1	regA-like sequence A; RlsA contains a VARL domain and is predicted to function as a DNA-binding transcription factor; along with regA, rlsB, and rlsC forms the regA cluster.
Vocar.0021s0041.2	regA-like sequence A; RlsA contains a VARL domain and is predicted to function as a DNA-binding transcription factor; along with regA, rlsB, and rlsC forms the regA cluster.
Vocar.0021s0042.1	somatic regenerator RegA; mainly expressed in somatic cells; contains a SAND domain; RegA is a transcriptional repressor, responsible for maintenance of terminal differentiation in somatic cells; reference: Kirk, M.M., Stark, K., Miller, S.M., M ller, W.,
Vocar.0021s0124.1	chlorophyll a-b binding protein of photosystem II.
Vocar.0021s0124.2	chlorophyll a-b binding protein of photosystem II.
Vocar.0021s0154.1	DnaJ-like heat shock protein 40; member of the DnaJ superfamily; molecular chaperone.
Vocar.0021s0176.1	SET domain containing protein with similarity to Drosophila discs absent, small, or homeotic-1 (ASH1) and Arabidopsis ASHH1/SDG26 (AT1G76710) protein. This protein contains a PWWP and a TUDOR domain present in animals ASH1 homologs but aparently absent in
Vocar.0021s0184.1	minichromosome maintenance protein 3, DNA replication protein.
Vocar.0021s0188.1	ribosomal protein S29; component of cytosolic 80S ribosome and 40S small subunit.
Vocar.0021s0199.1	ribosomal protein S15; component of cytosolic 80S ribosome and 40S small subunit.
