Gene ID	description
Bathy08g01840	prasinophyte specific chlorophyll a/b-binding protein, chloroplast precursor
Bathy08g01850	acetyl-CoA carboxylase
Bathy08g01860	predicted protein
Bathy08g01870	predicted protein
Bathy08g01880	unknown protein
Bathy08g01890	predicted protein
Bathy08g01900	FkbM family methyltransferase
Bathy08g01910	predicted protein
Bathy08g01920	DNA repair protein RAD16
Bathy08g01930	ubiquitin
Bathy08g01940	GDP-mannose 4,6-dehydratase
Bathy08g01950	arginyl-tRNA synthetase
Bathy08g01960	unknown protein
Bathy08g01970	cycling DOF factor 2
Bathy08g01980	predicted protein
Bathy08g01990	sialidase
Bathy08g02000	unnamed protein product
Bathy08g02010	predicted protein
Bathy08g02020	conserved hypothetical protein
Bathy08g02030	L-lactate dehydrogenase
Bathy08g02040	homoserine kinase
Bathy08g02050	unknown protein
Bathy08g02060	unknown protein
Bathy08g02070	unknown protein
Bathy08g02080	glutamine amidotransferase class-II
Bathy08g02090	bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II protein
Bathy08g02100	unknown protein
Bathy08g02110	zinc permease family
Bathy08g02120	coenzyme a pyrophosphatase
Bathy08g02130	hypothetical protein BuboB_26000
Bathy08g02140	predicted protein
Bathy08g02150	UDP-glucose 4-epimerase
Bathy08g02160	predicted protein
Bathy08g02170	unknown protein
Bathy08g02180	predicted protein
Bathy08g02190	PREDICTED: similar to predicted protein
Bathy08g02200	AP-3 complex subunit mu-1
Bathy08g02210	predicted protein
Bathy08g02220	alpha-2,8-sialyltransferase 8B
Bathy08g02230	RNA methyltransferase, TrmH family
Bathy08g02240	KpsF/GutQ family protein
Bathy08g02250	ubiquitin/metalloprotease fusion protein
Bathy08g02260	DnaJ domain protein
Bathy08g02270	predicted protein
Bathy08g02280	hypothetical protein Ftrac_3299
Bathy08g02290	S-adenosyl-methyltransferase MraW
Bathy08g02300	unknown protein
Bathy08g02310	cleft lip and palate transmembrane protein 1-like protein
Bathy08g02320	predicted protein
Bathy08g02330	membrane protein
Bathy08g02340	unknown protein
Bathy08g02350	unknown protein
Bathy08g02360	predicted protein
Bathy08g02370	predicted protein
Bathy08g02380	unknown protein
Bathy08g02390	unknown protein
Bathy08g02400	unknown protein
Bathy08g02410	predicted protein
Bathy08g02420	predicted protein
Bathy08g02430	signal recognition particle 14 kDa protein
Bathy08g02440	unknown protein
Bathy08g02450	predicted protein
Bathy08g02460	6-phosphogluconolactonase
Bathy08g02470	predicted protein
Bathy08g02480	predicted protein
Bathy08g02490	SWI/SNF transcription activation complex subunit (ISS)
Bathy08g02500	predicted protein
Bathy08g02510	predicted protein
Bathy08g02520	predicted protein
Bathy08g02530	hypothetical protein CHLREDRAFT_166609
Bathy08g02540	unnamed protein product
Bathy08g02550	preprotein translocase subunit SecA
Bathy08g02560	unknown protein
Bathy08g02570	unknown protein
Bathy08g02580	predicted protein
Bathy08g02590	predicted protein
Bathy08g02600	predicted protein
Bathy08g02610	predicted protein
Bathy08g02620	predicted protein
Bathy08g02630	predicted protein
Bathy08g02640	1-deoxy-D-xylulose 5-phosphate reductoisomerase
Bathy08g02650	1-deoxy-D-xylulose-5-phosphate reductoisomerase (ISS)
Bathy08g02660	unknown protein
Bathy08g02670	predicted protein
Bathy08g02680	predicted protein
Bathy08g02690	glutathione-s-transferase (ISS)
Bathy08g02700	unknown protein
Bathy08g02710	non-ribosomal peptide synthetase
Bathy08g02720	unknown protein
Bathy08g02730	predicted protein
Bathy08g02740	unknown protein
Bathy08g02750	predicted protein
Bathy08g02760	predicted protein
Bathy08g02770	predicted protein
Bathy08g02780	unknown protein
Bathy08g02790	predicted protein
Bathy08g02800	unknown protein
Bathy08g02810	hypothetical protein
Bathy08g02820	histone acetyltransferase
Bathy08g02830	phosphatidate cytidylyltransferase
Bathy08g02840	hypothetical protein
Bathy08g02850	telomerase reverse transcriptase
Bathy08g02860	predicted protein
Bathy08g02870	predicted protein
Bathy08g02880	ATP-binding cassette transporter
Bathy08g02890	NADP-dependent malic enzyme
Bathy08g02900	RNA polymerase sigma factor SigB
Bathy08g02910	predicted protein
Bathy08g02920	predicted protein
Bathy08g02930	predicted protein
Bathy08g02940	alpha-2,3-sialyltransferase ST3Gal I-r2
Bathy08g02950	peptidyl-prolyl cis-trans isomerase, FKBP-type
Bathy08g02960	unknown
Bathy08g02970	predicted protein
Bathy08g02980	glutathione peroxidase
Bathy08g02990	unknown protein
Bathy08g03000	predicted protein
Bathy08g03010	predicted protein
Bathy08g03020	V-type H(+)-translocating pyrophosphatase
Bathy08g03030	unknown protein
Bathy08g03040	unknown protein
Bathy08g03050	nuclear movement protein-like (ISS)
Bathy08g03060	unknown protein
Bathy08g03070	predicted protein
Bathy08g03080	predicted protein
Bathy08g03090	unknown protein
Bathy08g03100	PREDICTED: similar to predicted protein
Bathy08g03110	Phosphatidylinositol glycan anchor biosynthesis class U protein
Bathy08g03120	predicted protein
Bathy08g03130	O-methyltransferase
Bathy08g03140	serine/threonine-protein phosphatase 4 catalytic subunit
Bathy08g03150	predicted protein
Bathy08g03160	unknown protein
Bathy08g03170	predicted protein
Bathy08g03180	molybdenum cofactor biosynthesis protein A
Bathy08g03190	predicted protein
Bathy08g03200	predicted protein
Bathy08g03210	thioredoxin
Bathy08g03220	predicted protein
Bathy08g03230	solute carrier family 35 member C2
Bathy08g03240	predicted protein
Bathy08g03250	sialyltransferase
Bathy08g03260	FAD-dependent pyridine nucleotide-disulphide oxidoreductase
Bathy08g03270	predicted protein
Bathy08g03280	unknown protein
Bathy08g03290	predicted protein
Bathy08g03300	predicted protein
Bathy08g03310	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
Bathy08g03320	starch branching enzyme I
Bathy08g03330	copper transporter family
Bathy08g03340	ornithine decarboxylase
Bathy08g03350	predicted protein
Bathy08g03360	unknown protein
Bathy08g03370	riboflavin biosynthesis protein RibD
Bathy08g03380	unknown protein
Bathy08g03390	predicted protein
Bathy08g03400	PREDICTED: similar to predicted protein
Bathy08g03410	predicted protein
Bathy08g03420	prohibitin
Bathy08g03430	molecular chaperone DnaK
Bathy08g03440	predicted protein
Bathy08g03450	predicted protein
Bathy08g03460	tenascin XB
Bathy08g03470	unknown protein
Bathy08g03480	predicted protein
Bathy08g03490	PREDICTED: similar to predicted protein
Bathy08g03500	unknown protein
Bathy08g03510	unknown protein
Bathy08g03520	unknown protein
Bathy08g03530	predicted protein
Bathy08g03540	2-oxoglutarate/malate translocator
Bathy08g03550	predicted protein
Bathy08g03560	hypothetical protein PTSG_00864
Bathy08g03570	predicted protein
Bathy08g03580	predicted protein
Bathy08g03590	predicted protein
Bathy08g03600	hypoxanthine phosphoribosyltransferase
Bathy08g03610	unknown protein
Bathy08g03620	predicted protein
Bathy08g03630	VCBS
Bathy08g03640	PetM subunit of cytochrome b6f complex
Bathy08g03650	predicted protein
Bathy08g03660	predicted protein
Bathy08g03670	predicted protein
Bathy08g03680	predicted protein
Bathy08g03690	unknown protein
Bathy08g03700	predicted protein
Bathy08g03710	predicted protein
Bathy08g03720	predicted protein
Bathy08g03730	50S ribosomal protein L24
Bathy08g03740	unknown protein
Bathy08g03750	predicted protein
Bathy08g03760	hypothetical protein
Bathy08g03770	unknown protein
Bathy08g03780	predicted protein
Bathy08g03790	unknown protein
Bathy08g03800	sodium/calcium exchanger protein
Bathy08g03810	magnesium transporter
Bathy08g03820	predicted protein
Bathy08g03830	unknown protein
Bathy08g03840	predicted protein
Bathy08g03850	predicted protein
Bathy08g03860	lipoprotein
Bathy08g03870	predicted protein
Bathy08g03880	predicted protein
Bathy08g03890	unknown protein
Bathy08g03900	predicted protein
Bathy08g03910	predicted protein
Bathy08g03920	predicted protein
Bathy08g03930	predicted protein
Bathy08g03940	predicted protein
Bathy08g03950	predicted protein
Bathy08g03960	unknown protein
Bathy08g03970	sodium/calcium exchanger protein
Bathy08g03980	choline monooxygenase
Bathy08g03990	predicted protein
Bathy08g04000	predicted protein
Bathy08g04010	predicted protein
Bathy08g04020	succinyl-CoA synthetase subunit beta
Bathy08g04030	predicted protein
Bathy08g04040	unknown protein
Bathy08g04050	predicted protein
Bathy08g04060	SET and MYND domain-containing protein 5
Bathy08g04070	predicted protein
Bathy08g04080	short-chain dehydrogenase/reductase SDR
Bathy08g04090	predicted protein
Bathy08g04100	thioredoxin
Bathy08g04110	predicted protein
Bathy08g04120	diphthamide biosynthesis protein 2
Bathy08g04130	unknown protein
Bathy08g04140	predicted protein
Bathy08g04150	predicted protein
Bathy08g04160	tRNA (guanine-N(7)-)-methyltransferase
Bathy08g04170	predicted protein
Bathy08g04180	predicted protein
Bathy08g04190	unknown protein
Bathy08g04200	Predicted regulator of the ubiquitin pathway (contains UAS and UBX domains) (ISS)
Bathy08g04210	pseudouridine synthase
Bathy08g04220	phycocyanobilin:ferredoxin oxidoreductase
Bathy08g04230	predicted protein
Bathy08g04240	predicted protein
Bathy08g04250	predicted protein
Bathy08g04260	predicted protein
Bathy08g04270	beclin 1 protein
Bathy08g04280	unknown protein
Bathy08g04290	unknown protein
Bathy08g04300	predicted protein
Bathy08g04310	predicted protein
Bathy08g04320	unnamed protein product
Bathy08g04330	predicted protein
Bathy08g04340	predicted protein
Bathy08g04350	predicted protein
Bathy08g04360	predicted protein
Bathy08g04370	alanyl-tRNA synthetase
Bathy08g04380	branched-chain amino acid aminotransferase
Bathy08g04390	ruvB-like 1
Bathy08g04400	predicted protein
Bathy08g04410	predicted protein
Bathy08g04420	urate oxidase
Bathy08g04430	predicted protein
Bathy08g04440	predicted protein
Bathy08g04450	dihydrolipoamide dehydrogenase
Bathy08g04460	predicted protein
Bathy08g04470	predicted protein
Bathy08g04480	exported exo-alpha-sialidase
Bathy08g04490	50S ribosomal protein L7/L12
Bathy08g04500	unnamed protein product
Bathy08g04510	predicted protein
Bathy08g04520	DNA-directed RNA polymerases I, II, and III subunit RPABC1
Bathy08g04530	predicted protein
Bathy08g04540	predicted protein
Bathy08g04550	protoheme IX farnesyltransferase
Bathy08g04560	methyltransferase
Bathy08g04570	predicted protein
Bathy08g04580	unnamed protein product
Bathy08g04590	predicted protein
Bathy08g04600	predicted protein
Bathy08g04610	unknown protein
Bathy08g04620	predicted protein
Bathy08g04630	hypothetical protein
Bathy08g04640	predicted protein
Bathy08g04650	predicted protein
Bathy08g04660	40S ribosomal protein S17
Bathy08g04670	predicted protein
Bathy08g04680	hypothetical protein
Bathy08g04690	predicted protein
Bathy08g04700	isopentenyl-diphosphate delta-isomerase
Bathy08g04710	predicted protein
Bathy08g04720	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase
Bathy08g04730	predicted protein
Bathy08g04740	unknown protein
Bathy08g04750	predicted protein
Bathy08g04760	unnamed protein product
Bathy08g04770	predicted protein
Bathy08g04780	predicted protein
Bathy08g04790	predicted protein
Bathy08g04800	predicted protein
Bathy08g04810	hypothetical protein CHLNCDRAFT_57495
Bathy08g04820	predicted protein
Bathy08g04830	predicted protein
Bathy08g04840	Elm1p
Bathy08g04850	unnamed protein product
Bathy08g04860	predicted protein
Bathy08g04870	predicted protein
Bathy08g04880	ribosomal protein L11 methyltransferase
Bathy08g04890	TRP-containing protein
Bathy08g04900	unknown protein
Bathy08g04910	predicted protein
Bathy08g04920	unknown protein
Bathy08g04930	predicted protein
Bathy08g04940	unknown protein
Bathy08g04945	unknown protein
Bathy08g04950	unknown protein
Bathy08g04960	predicted protein
Bathy08g04970	unknown protein
Bathy08g04980	unnamed protein product
Bathy08g04990	predicted protein
Bathy08g05000	predicted protein
Bathy08g05010	predicted protein
Bathy08g05020	predicted protein
Bathy08g05030	predicted protein
Bathy08g05040	unknown protein
Bathy08g05050	predicted protein
Bathy08g05060	translation elongation factor 1-alpha
Bathy08g05070	unknown protein
Bathy08g05080	predicted protein
Bathy08g05090	polynucleotide phosphorylase/polyadenylase
Bathy09g00010	ORF73
Bathy09g00020	Selenoprotein O
Bathy09g00030	predicted protein
Bathy09g00040	unknown protein
Bathy09g00050	hypothetical protein
Bathy09g00060	predicted protein
Bathy09g00070	hypothetical protein BRAFLDRAFT_85664
Bathy09g00080	predicted protein
Bathy09g00090	predicted protein
Bathy09g00100	predicted protein
Bathy09g00110	predicted protein
Bathy09g00120	unknown protein
Bathy09g00130	BET3 family protein
Bathy09g00140	predicted protein
Bathy09g00150	predicted protein
Bathy09g00160	predicted protein
Bathy09g00170	coproporphyrinogen III oxidase
Bathy09g00180	predicted protein
Bathy09g00190	unknown protein
Bathy09g00200	predicted protein
Bathy09g00210	predicted protein
Bathy09g00220	predicted protein
Bathy09g00230	ribulose-1,5-bisphosphate carboxyase/oxygenase small subunit (IC)
Bathy09g00240	predicted protein
Bathy09g00250	predicted protein
Bathy09g00260	predicted protein
Bathy09g00270	predicted protein
Bathy09g00280	pterin-4-alpha-carbinolamine dehydratase
Bathy09g00290	NAD-dependent deacetylase sirtuin-6
Bathy09g00300	predicted protein
Bathy09g00310	predicted protein
Bathy09g00320	unknown protein
Bathy09g00330	unknown protein
Bathy09g00340	short-chain dehydrogenase/reductase SDR
Bathy09g00350	XRCC2 DNA recombinase
Bathy09g00360	predicted protein
Bathy09g00370	predicted protein
Bathy09g00380	unknown protein
Bathy09g00390	predicted protein
Bathy09g00400	hydroxyproline-rich glycoprotein family protein
Bathy09g00410	putative chaperon-like protein for quinone binding in photosystem II
Bathy09g00420	unknown protein
Bathy09g00430	predicted protein
Bathy09g00440	predicted protein
Bathy09g00450	PRC-barrel domain-containing protein
Bathy09g00460	unknown protein
Bathy09g00470	methyltransferase
Bathy09g00480	cobalt ABC transporter permease
Bathy09g00490	zinc finger protein Gfi-1
Bathy09g00500	leucine carboxyl methyltransferase 1
Bathy09g00510	unknown protein
Bathy09g00520	unknown protein
Bathy09g00530	predicted protein
Bathy09g00540	unknown protein
Bathy09g00550	MATE efflux family protein
Bathy09g00560	HD domain-containing protein 2
Bathy09g00570	predicted protein
Bathy09g00580	predicted protein
Bathy09g00590	predicted protein
Bathy09g00600	predicted protein
Bathy09g00610	unknown
Bathy09g00620	EsV-1-12
Bathy09g00630	mitochondrial phosphate carrier protein
Bathy09g00640	predicted protein
Bathy09g00650	predicted protein
Bathy09g00660	ATP-binding cassette superfamily
Bathy09g00670	predicted protein
Bathy09g00680	4-toluene sulfonate uptake permease
Bathy09g00690	predicted protein
Bathy09g00700	predicted protein
Bathy09g00710	predicted protein
Bathy09g00720	unknown protein
Bathy09g00730	unknown protein
Bathy09g00740	predicted protein
Bathy09g00750	DNA-directed RNA polymerase III subunit RPC6
Bathy09g00760	predicted protein
Bathy09g00770	predicted protein
Bathy09g00780	predicted protein
Bathy09g00790	predicted protein
Bathy09g00800	poly(A) polymerase I
Bathy09g00810	predicted protein
Bathy09g00820	predicted protein
Bathy09g00830	unknown protein
Bathy09g00840	unknown protein
Bathy09g00850	cytochrome c peroxidase
Bathy09g00860	predicted protein
Bathy09g00870	unnamed protein product
Bathy09g00880	predicted protein
Bathy09g00890	putative methyltransferase
Bathy09g00900	aminotransferase, class V
Bathy09g00910	unknown protein
Bathy09g00920	unknown protein
Bathy09g00930	unknown protein
Bathy09g00940	MCAK-like kinesin
Bathy09g00950	predicted protein
Bathy09g00960	predicted protein
Bathy09g00970	predicted protein
Bathy09g00980	unnamed protein product
Bathy09g00990	predicted protein
Bathy09g01000	unnamed protein product
Bathy09g01010	unknown protein
Bathy09g01020	AMP-dependent synthetase and ligase
Bathy09g01030	predicted protein
Bathy09g01040	conserved hypothetical protein
Bathy09g01050	predicted protein
Bathy09g01060	predicted protein
Bathy09g01070	diaminopimelate decarboxylase
Bathy09g01080	periplasmic polyamine-binding protein of ABC transporter
Bathy09g01090	unknown protein
Bathy09g01100	predicted protein
Bathy09g01110	C-1-tetrahydrofolate synthase, cytoplasmic
Bathy09g01120	predicted protein
Bathy09g01130	predicted protein
Bathy09g01140	predicted protein
Bathy09g01150	para-aminobenzoate synthase, subunit I
Bathy09g01160	predicted protein
Bathy09g01170	predicted protein
Bathy09g01180	NAD-dependent epimerase/dehydratase
Bathy09g01190	predicted protein
Bathy09g01200	exodeoxyribonuclease (ISS)
Bathy09g01210	exodeoxyribonuclease III
Bathy09g01220	predicted protein
Bathy09g01230	hypothetical protein MCAG_00834
Bathy09g01240	predicted protein
Bathy09g01250	predicted protein
Bathy09g01260	predicted protein
Bathy09g01270	unknown protein
Bathy09g01280	coiled-coil domain-containing protein 93
Bathy09g01290	predicted protein
Bathy09g01300	unknown protein
Bathy09g01310	unknown protein
Bathy09g01320	predicted protein
Bathy09g01330	predicted protein
Bathy09g01340	diphthamide biosynthesis protein 3
Bathy09g01350	beta-amylase
Bathy09g01360	unnamed protein product
Bathy09g01370	predicted protein
Bathy09g01380	predicted protein
Bathy09g01390	predicted protein
Bathy09g01400	pentapeptide repeat-containing protein
Bathy09g01410	unknown protein
Bathy09g01420	unknown protein
Bathy09g01430	unknown protein
Bathy09g01440	ribosomal protein L22
Bathy09g01450	2-oxoglutarate/malate translocator
Bathy09g01460	predicted protein
Bathy09g01470	unknown protein
Bathy09g01480	predicted protein
Bathy09g01490	predicted protein
Bathy09g01500	phosphatidylinositol-5-phosphate 4-kinase type-2 gamma
Bathy09g01510	predicted protein
Bathy09g01520	unknown protein
Bathy09g01530	predicted protein
Bathy09g01540	predicted protein
Bathy09g01550	predicted protein
Bathy09g01560	unknown protein
Bathy09g01570	unknown protein
Bathy09g01580	predicted protein
Bathy09g01590	predicted protein
Bathy09g01600	unknown protein
Bathy09g01610	predicted protein
Bathy09g01620	predicted protein
Bathy09g01630	predicted protein
Bathy09g01640	unknown protein
Bathy09g01650	unknown protein
Bathy09g01660	predicted protein
Bathy09g01670	glycogen synthase
Bathy09g01680	predicted protein
Bathy09g01690	selenide, water dikinase
Bathy09g01700	conserved hypothetical protein
Bathy09g01710	divalent Anion:Na+ symporter family
Bathy09g01720	unknown protein
Bathy09g01730	predicted protein
Bathy09g01740	predicted protein
Bathy09g01750	predicted protein
Bathy09g01760	predicted protein
Bathy09g01770	predicted protein
Bathy09g01780	chromosome transmission fidelity protein 18 homolog
Bathy09g01790	predicted protein
Bathy09g01800	predicted protein
Bathy09g01810	DCN1-like protein 5
Bathy09g01820	predicted protein
Bathy09g01830	unknown protein
Bathy09g01840	chaperone protein DnaJ
Bathy09g01850	predicted protein
Bathy09g01860	predicted protein
Bathy09g01870	predicted protein
Bathy09g01880	predicted protein
Bathy09g01890	predicted protein
Bathy09g01900	predicted protein
Bathy09g01910	potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
Bathy09g01920	hypothetical protein
Bathy09g01930	unknown protein
Bathy09g01940	Translocase of outer mitochondrial membrane complex, subunit TOM22 (ISS)
Bathy09g01950	predicted protein
Bathy09g01960	unknown protein
Bathy09g01970	DNA gyrase subunit B
Bathy09g01980	predicted protein
Bathy09g01990	predicted protein
Bathy09g02000	unknown protein
Bathy09g02010	predicted protein
Bathy09g02020	predicted protein
Bathy09g02030	predicted protein
Bathy09g02040	predicted protein
Bathy09g02050	predicted protein
Bathy09g02060	translation initiation factor IF-2
Bathy09g02070	predicted protein
Bathy09g02080	predicted protein
Bathy09g02090	predicted protein
Bathy09g02100	predicted protein
Bathy09g02110	predicted protein
Bathy09g02120	unknown protein
Bathy09g02130	predicted protein
Bathy09g02140	unknown protein
Bathy09g02150	predicted protein
Bathy09g02160	predicted protein
Bathy09g02170	3-phosphoinositide-dependent protein kinase-1 (ISS)
Bathy09g02180	unknown protein
Bathy09g02190	predicted protein
Bathy09g02200	predicted protein
Bathy09g02210	predicted protein
Bathy09g02220	hypothetical protein
Bathy09g02230	predicted protein
Bathy09g02240	unknown protein
Bathy09g02250	predicted protein
Bathy09g02260	predicted protein
Bathy09g02270	predicted protein
Bathy09g02280	predicted protein
Bathy09g02290	predicted protein
Bathy09g02300	unknown protein
Bathy09g02310	predicted protein
Bathy09g02320	unknown protein
Bathy09g02330	unknown protein
Bathy09g02340	predicted protein
Bathy09g02350	unknown protein
Bathy09g02360	cysteine desulfurase
Bathy09g02370	hypothetical protein THAPSDRAFT_bd686
Bathy09g02380	chaoptin, putative
Bathy09g02390	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy09g02400	predicted protein
Bathy09g02410	predicted protein
Bathy09g02420	predicted protein
Bathy09g02430	predicted protein
Bathy09g02440	predicted protein
Bathy09g02450	predicted protein
Bathy09g02460	methionyl-tRNA synthetase
Bathy09g02470	unnamed protein product
Bathy09g02480	leucine-rich repeat-containing protein 6
Bathy09g02490	hypothetical protein
Bathy09g02500	predicted protein
Bathy09g02510	predicted protein
Bathy09g02520	unnamed protein product
Bathy09g02530	predicted protein
Bathy09g02540	predicted protein
Bathy09g02550	ribonuclease activity regulator protein RraA
Bathy09g02560	predicted protein
Bathy09g02570	Amino acid transporters (ISS)
Bathy09g02580	unnamed protein product
Bathy09g02590	unknown protein
Bathy09g02600	unknown protein
Bathy09g02610	predicted protein
Bathy09g02620	predicted protein
Bathy09g02630	unknown protein
Bathy09g02640	predicted protein
Bathy09g02650	unnamed protein product
Bathy09g02660	predicted protein
Bathy09g02670	predicted protein
Bathy09g02680	predicted protein
Bathy09g02690	predicted protein
Bathy09g02700	mitochondrial carrier family
Bathy09g02710	unknown protein
Bathy09g02720	predicted protein
Bathy09g02730	unknown protein
Bathy09g02740	unknown protein
Bathy09g02750	tRNA (uracil-5-)-methyltransferase
Bathy09g02760	alpha/beta knot family protein
Bathy09g02770	predicted protein
Bathy09g02780	unknown protein
Bathy09g02790	ribosome biogenesis protein BRX1 homolog
Bathy09g02800	predicted protein
Bathy09g02810	predicted protein
Bathy09g02820	predicted protein
Bathy09g02830	predicted protein
Bathy09g02840	predicted protein
Bathy09g02850	unknown protein
Bathy09g02860	3-deoxy-manno-octulosonate cytidylyltransferase
Bathy09g02870	cation efflux family protein
Bathy09g02880	predicted protein
Bathy09g02890	predicted protein
Bathy09g02900	predicted protein
Bathy09g02910	predicted protein
Bathy09g02920	predicted protein
Bathy09g02930	predicted protein
Bathy09g02940	PREDICTED: similar to predicted protein
Bathy09g02950	unknown protein
Bathy09g02960	predicted protein
Bathy09g02970	tRNA nucleotidyltransferase
Bathy09g02980	unknown protein
Bathy09g02990	unknown protein
Bathy09g03000	valyl-tRNA synthetase
Bathy09g03010	3-mercaptopyruvate sulfurtransferase
Bathy09g03020	unknown protein
Bathy09g03030	26S protease regulatory subunit 4
Bathy09g03040	predicted protein
Bathy09g03050	carboxylesterase family protein
Bathy09g03060	Thf1-like protein
Bathy09g03070	unknown protein
Bathy09g03080	predicted protein
Bathy09g03090	predicted protein
Bathy09g03100	protein arginine methyltransferase
Bathy09g03110	50S ribosomal protein L28
Bathy09g03120	unknown
Bathy09g03130	predicted protein
Bathy09g03140	predicted protein
Bathy09g03150	ribosomal RNA methyltransferase RrmJ/FtsJ
Bathy09g03160	elongation factor P
Bathy09g03170	unnamed protein product
Bathy09g03180	predicted protein
Bathy09g03190	predicted protein
Bathy09g03200	cysteine desulfurase
Bathy09g03210	set domain protein
Bathy09g03220	predicted protein
Bathy09g03230	predicted protein
Bathy09g03240	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy09g03250	predicted protein
Bathy09g03260	GTPase ObgE
Bathy09g03270	tubulin tyrosine ligase-like family, member 9
Bathy09g03280	T-complex protein 1 subunit alpha
Bathy09g03290	predicted protein
Bathy09g03300	predicted protein
Bathy09g03310	coproporphyrinogen III oxidase
Bathy09g03320	predicted protein
Bathy09g03330	beta-amylase
Bathy09g03340	unknown protein
Bathy09g03350	predicted protein
Bathy09g03360	unnamed protein product
Bathy09g03370	predicted protein
Bathy09g03380	predicted protein
Bathy09g03390	predicted protein
Bathy09g03400	trafficking protein particle complex subunit 4
Bathy09g03410	phosphoserine aminotransferase
Bathy09g03420	predicted protein
Bathy09g03430	16S ribosomal RNA methyltransferase RsmE
Bathy09g03440	predicted protein
Bathy09g03450	60S ribosomal protein L39
Bathy09g03460	negatively light-regulated protein
Bathy09g03470	unknown protein
Bathy09g03480	predicted protein
Bathy09g03490	peptidyl-prolyl cis-trans isomerase-like 1
Bathy09g03500	predicted protein
Bathy09g03510	26S protease regulatory subunit S10B
Bathy09g03520	unknown protein
Bathy09g03530	Light harvesting complex protein
Bathy09g03540	predicted protein
Bathy09g03550	predicted protein
Bathy09g03560	predicted protein
Bathy09g03570	unknown protein
Bathy09g03580	predicted protein
Bathy09g03590	predicted protein
Bathy09g03600	PHD transcription factor
Bathy09g03610	predicted protein
Bathy09g03620	predicted protein
Bathy09g03630	FKBP-type peptidyl-prolyl cis-trans isomerase
Bathy09g03640	hypothetical protein SORBIDRAFT_02g023760
Bathy09g03650	predicted protein
Bathy09g03660	Calnexin (ISS)
Bathy09g03670	unknown
Bathy09g03680	calnexin
Bathy09g03690	predicted protein
Bathy09g03700	unknown protein
Bathy09g03710	predicted protein
Bathy09g03720	unknown protein
Bathy09g03730	SOUL heme-binding protein
Bathy09g03740	predicted protein
Bathy09g03750	predicted protein
Bathy09g03760	predicted protein
Bathy09g03770	T-complex protein 1 subunit theta
Bathy09g03780	unnamed protein product
Bathy09g03790	unknown protein
Bathy09g03800	hypothetical protein PGTG_18813
Bathy09g03810	predicted protein
Bathy09g03820	unnamed protein product
Bathy09g03830	predicted protein
Bathy09g03840	predicted protein
Bathy09g03850	predicted protein
Bathy09g03860	DnaJ (Hsp40) homolog, subfamily A, member 1
Bathy09g03870	lysine-specific histone demethylase
Bathy09g03880	unnamed protein product
Bathy09g03890	divalent Anion:Na+ symporter family
Bathy09g03900	cytochrome P450
Bathy09g03910	predicted protein
Bathy09g03920	ubiquitin-activating enzyme E1, putative
Bathy09g03930	unknown protein
Bathy09g03940	beta-galactoside alpha-2,6-sialyltransferase 2
Bathy09g03950	predicted protein
Bathy09g03960	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy09g03970	predicted protein
Bathy09g03980	predicted protein
Bathy09g03990	unknown protein
Bathy09g04000	predicted protein
Bathy09g04010	unknown protein
Bathy09g04020	predicted protein
Bathy09g04030	unknown protein
Bathy09g04040	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy09g04050	4-hydroxyphenylpyruvate dioxygenase
Bathy09g04060	predicted protein
Bathy09g04070	condensin complex component
Bathy09g04080	predicted protein
Bathy09g04090	predicted protein
Bathy09g04100	pyrazinamidase/nicotinamidase
Bathy09g04110	PREDICTED: similar to Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein
Bathy09g04120	sterol 24-C-methyltransferase
Bathy09g04130	hypothetical protein
Bathy09g04140	dihydroxy-acid dehydratase
Bathy09g04150	methionine aminopeptidase
Bathy09g04160	unknown protein
Bathy09g04170	unknown protein
Bathy09g04180	predicted protein
Bathy09g04190	predicted protein
Bathy09g04200	predicted protein
Bathy09g04210	unknown
