"Gene" "Common ID or description"
"4240" "ostta08g03730" "WD40 repeat                 "
"4241" "ostta08g03740" "unnamed product                 "
"4242" "ostta08g03750" "Tetratricopeptide-like helical                 "
"4243" "ostta08g03760" "unnamed product                 "
"4244" "ostta08g03770" "Aminoacyl-tRNA synthetase, class Ia               "
"4245" "ostta08g03780" "FAS1 domain                 "
"4246" "ostta08g03790" "unnamed product                 "
"4247" "ostta08g03800" "Protein of unknown function DUF1997              "
"4248" "ostta08g03810" "unnamed product                 "
"4249" "ostta08g03820" "unnamed product                 "
"4250" "ostta08g03830" "Tim44-like domain                 "
"4251" "ostta08g03840" "Cleavage/polyadenylation specificity factor subunit 5              "
"4252" "ostta08g03850" "Tetratricopeptide-like helical                 "
"4253" "ostta08g03860" "Glycoside hydrolase, superfamily                "
"4254" "ostta08g03870" "Methyltransferase FkbM                 "
"4255" "ostta08g03880" "Kelch-type beta propeller                "
"4256" "ostta08g03890" "unnamed product                 "
"4257" "ostta08g03900" "unnamed product                 "
"4258" "ostta08g03910" "unnamed product                 "
"4259" "ostta08g03920" "unnamed product                 "
"4260" "ostta08g03930" "unnamed product                 "
"4261" "ostta08g03940" "tRNA guanine-N-7 methyltransferase                "
"4262" "ostta08g03950" "unnamed product                 "
"4263" "ostta08g03960" "unnamed product                 "
"4264" "ostta08g03970" "P-loop containing nucleoside triphosphate hydrolase              "
"4265" "ostta08g03980" "ETC complex I subunit               "
"4266" "ostta08g03990" "SNF2-related                  "
"4267" "ostta08g04000" "Protein of unknown function DUF4870              "
"4268" "ostta08g04010" "unnamed product                 "
"4269" "ostta08g04020" "Chlorophyll a/b binding protein domain              "
"4270" "ostta08g04030" "Proteasome B-type subunit                "
"4271" "ostta08g04040" "ATPase, V0 complex, subunit 116kDa, eukaryotic             "
"4272" "ostta08g04050" "TRAM/LAG1/CLN8 homology domain                "
"4273" "ostta08g04060" "unnamed product                 "
"4274" "ostta08g04070" "Carotenoid oxygenase                 "
"4275" "ostta08g04080" "Pre-mRNA-splicing factor  Cwf15/Cwc15               "
"4276" "ostta08g04090" "Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site             "
"4277" "ostta08g04100" "Cation/H+ exchanger                 "
"4278" "ostta08g04110" "unnamed product                 "
"4279" "ostta08g04120" "Carbonic anhydrase, cadmium-binding                "
"4280" "ostta08g04130" "unnamed product                 "
"4281" "ostta08g04140" "Peptidoglycan-binding lysin domain                "
"4282" "ostta08g04150" "Ribosomal protein L25/L23                "
"4283" "ostta08g04160" "Ankyrin repeat-containing domain                "
"4284" "ostta08g04170" "DNA-binding domain                 "
"4285" "ostta08g04180" "unnamed product                 "
"4286" "ostta08g04190" "G-protein beta WD-40 repeat               "
"4287" "ostta08g04200" "unnamed product                 "
"4288" "ostta08g04210" "GTP-binding protein, ribosome biogenesis, YsxC              "
"4289" "ostta08g04220" "Aspartic peptidase                 "
"4290" "ostta08g04230" "Short-chain dehydrogenase/reductase SDR                "
"4291" "ostta08g04240" "Signal transduction histidine kinase, phosphotransfer Hpt domain            "
"4292" "ostta08g04250" "Zinc finger, CCHC-type                "
"4293" "ostta08g04260" "P-loop containing nucleoside triphosphate hydrolase              "
"4294" "ostta08g04270" "unnamed product                 "
"4295" "ostta08g04280" "unnamed product                 "
"4296" "ostta08g04290" "CBS domain                 "
"4297" "ostta08g04300" "NADP-binding domain                 "
"4298" "ostta08g04310" "Diacylglycerol acyltransferase                 "
"4299" "ostta09g00010" "unnamed product                 "
"4300" "ostta09g00020" "Zinc finger, RING/FYVE/PHD-type                "
"4301" "ostta09g00030" "ABC transporter, conserved site               "
"4302" "ostta09g00040" "26S proteasome non-ATPase regulatory subunit Rpn12             "
"4303" "ostta09g00050" "Alternative oxidase                 "
"4304" "ostta09g00060" "Transmembrane receptor, eukaryota                "
"4305" "ostta09g00070" "RNA polymerase II, Rpb4, core              "
"4306" "ostta09g00080" "unnamed product                 "
"4307" "ostta09g00090" "unnamed product                 "
"4308" "ostta09g00100" "NAD-dependent epimerase/dehydratase                 "
"4309" "ostta09g00110" "Thioredoxin-like fold                 "
"4310" "ostta09g00120" "Triosephosphate isomerase n/a  Triosephosphate isomerase             "
"4311" "ostta09g00130" "P-loop containing nucleoside triphosphate hydrolase              "
"4312" "ostta09g00140" "unnamed product                 "
"4313" "ostta09g00150" "TB2/DP1/HVA22-related protein                 "
"4314" "ostta09g00160" "Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase                "
"4315" "ostta09g00170" "Metalloenzyme, LuxS/M16 peptidase-like                "
"4316" "ostta09g00180" "DNA glycosylase                 "
"4317" "ostta09g00190" "Redoxin n/a  Redoxin               "
"4318" "ostta09g00200" "hypothetical protein n/a  unnamed product             "
"4319" "ostta09g00210" "hypothetical protein n/a  unnamed product             "
"4320" "ostta09g00220" "unnamed product                 "
"4321" "ostta09g00230" "Histone deacetylase superfamily                "
"4322" "ostta09g00240" "Fibronectin, type II, collagen-binding               "
"4323" "ostta09g00250" "RPA-interacting protein, C-terminal domain               "
"4324" "ostta09g00260" "unnamed product                 "
"4325" "ostta09g00270" "unnamed product                 "
"4326" "ostta09g00280" "Glycosyl transferase, family 1               "
"4327" "ostta09g00290" "tRNA cytidine/uridine-2'-O--methyltransferase                 "
"4328" "ostta09g00300" "Uncharacterised protein family Ycf20               "
"4329" "ostta09g00310" "Scavenger mRNA decapping enzyme DcpS/DCS2              "
"4330" "ostta09g00320" "unnamed product                 "
"4331" "ostta09g00330" "3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal                "
"4332" "ostta09g00340" "unnamed product                 "
"4333" "ostta09g00350" "Ankyrin repeat                 "
"4334" "ostta09g00360" "P-loop containing nucleoside triphosphate hydrolase n/a  P-loop containing nucleoside triphosphate hydrolase       "
"4335" "ostta09g00370" "Ribosomal protein Rsm22, bacterial-type               "
"4336" "ostta09g00380" "unnamed product                 "
"4337" "ostta09g00390" "unnamed product                 "
"4338" "ostta09g00400" "Peptidase S9, prolyl oligopeptidase, catalytic domain             "
"4339" "ostta09g00410" "Transcription factor  Iwr1               "
"4340" "ostta09g00420" "N-acetylglucosaminyl phosphatidylinositol deacetylase                "
"4341" "ostta09g00430" "WD40/YVTN repeat-like-containing domain                "
"4342" "ostta09g00440" "unnamed product                 "
"4343" "ostta09g00450" "SANT/Myb domain n/a  SANT/Myb domain             "
"4344" "ostta09g00460" "unnamed product                 "
"4345" "ostta09g00470" "DnaJ domain                 "
"4346" "ostta09g00480" "START-like domain                 "
"4347" "ostta09g00490" "unnamed product                 "
"4348" "ostta09g00500" "Haem peroxidase, plant/fungal/bacterial                "
"4349" "ostta09g00510" "Ubiquitin-conjugating enzyme, active site               "
"4350" "ostta09g00520" "Quinonprotein alcohol dehydrogenase-like superfamily               "
"4351" "ostta09g00530" "Thioredoxin-like fold n/a  Thioredoxin-like fold             "
"4352" "ostta09g00550" "Domain of unknown function DUF1990              "
"4353" "ostta09g00560" "Tetratricopeptide-like helical                 "
"4354" "ostta09g00570" "Calcium release-activated calcium channel protein              "
"4355" "ostta09g00580" "ATPase, F1 complex, delta/epsilon subunit              "
"4356" "ostta09g00590" "hypothetical protein n/a  unnamed product             "
"4357" "ostta09g00600" "unnamed product                 "
"4358" "ostta09g00610" "Leucine-rich repeat, ribonuclease inhibitor subtype              "
"4359" "ostta09g00620" "Oxoglutarate/iron-dependent dioxygenase                 "
"4360" "ostta09g00630" "Histone-fold                  "
"4361" "ostta09g00640" "Serine/threonine-protein kinase, active site               "
"4362" "ostta09g00650" "Zinc finger, HIT-type n/a  Zinc finger, HIT-type           "
"4363" "ostta09g00655" "Zinc finger, HIT-type                "
"4364" "ostta09g00660" "Vacuolar protein sorting-associated protein 54              "
"4365" "ostta09g00670" "unnamed product                 "
"4366" "ostta09g00680" "WHEP-TRS                  "
"4367" "ostta09g00690" "Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain              "
"4368" "ostta09g00700" "NADP-binding domain                 "
"4369" "ostta09g00710" "hypothetical protein n/a  unnamed product             "
"4370" "ostta09g00720" "Tetratricopeptide repeat                 "
"4371" "ostta09g00730" "HSP20-like chaperone                 "
"4372" "ostta09g00740" "Helicase, C-terminal                 "
"4373" "ostta09g00750" "Ubiquitin fusion degradation protein UFD1              "
"4374" "ostta09g00760" "Pentatricopeptide repeat                 "
"4375" "ostta09g00770" "Sulphate transporter                 "
"4376" "ostta09g00780" "hypothetical protein n/a  unnamed product             "
"4377" "ostta09g00785" "hypothetical protein                 "
"4378" "ostta09g00792" "Rudiment single hybrid motif               "
"4379" "ostta09g00800" "Serine/threonine-protein kinase, active site               "
"4380" "ostta09g00810" "Serine/threonine-protein kinase, active site               "
"4381" "ostta09g00820" "Ribosomal RNA adenine methylase transferase, conserved site            "
"4382" "ostta09g00830" "unnamed product                 "
"4383" "ostta09g00840" "unnamed product                 "
"4384" "ostta09g00850" "unnamed product                 "
"4385" "ostta09g00860" "G10 protein                 "
"4386" "ostta09g00870" "Leucine-rich repeat, ribonuclease inhibitor subtype              "
"4387" "ostta09g00880" "Ubiquinone biosynthesis O-methyltransferase                "
"4388" "ostta09g00890" "CGI121/TPRKB                  "
"4389" "ostta09g00910" "unnamed product                 "
"4390" "ostta09g00920" "unnamed product                 "
"4391" "ostta09g00930" "Translation elongation/initiation factor/Ribosomal, beta-barrel               "
"4392" "ostta09g00940" "Putative sodium bile acid cotransporter              "
"4393" "ostta09g00950" "unnamed product                 "
"4394" "ostta09g00960" "4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type               "
"4395" "ostta09g00970" "Pyridoxal phosphate-dependent transferase, major region, subdomain 2 n/a  Pyridoxal phosphate-dependent transferase, major region, subdomain 2   "
"4396" "ostta09g00975" "hypothetical protein                 "
"4397" "ostta09g00980" "Saccharopine dehydrogenase / Homospermidine synthase              "
"4398" "ostta09g00990" "P-loop containing nucleoside triphosphate hydrolase              "
"4399" "ostta09g01000" "Lysine-specific demethylase NO66/MYC-induced nuclear antigen              "
"4400" "ostta09g01010" "unnamed product                 "
"4401" "ostta09g01020" "WW domain                 "
"4402" "ostta09g01040" "Tetratricopeptide repeat n/a  Tetratricopeptide repeat             "
"4403" "ostta09g01060" "unnamed product                 "
"4404" "ostta09g01070" "Proteasome/cyclosome repeat                 "
"4405" "ostta09g01080" "ATPase, F1 complex, gamma subunit conserved site            "
"4406" "ostta09g01090" "Glutamine cyclotransferase                 "
"4407" "ostta09g01100" "Aldehyde dehydrogenase, C-terminal                "
"4408" "ostta09g01110" "unnamed product                 "
"4409" "ostta09g01120" "Nucleotide-binding, alpha-beta plait                "
"4410" "ostta09g01130" "unnamed product                 "
"4411" "ostta09g01140" "unnamed product                 "
"4412" "ostta09g01150" "SNF2-related                  "
"4413" "ostta09g01160" "unnamed product                 "
"4414" "ostta09g01170" "EF-Hand 1 calcium-binding site               "
"4415" "ostta09g01180" "2',3'-cyclic-nucleotide 3'-phosphodiesterase                 "
"4416" "ostta09g01190" "unnamed product                 "
"4417" "ostta09g01200" "26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit n/a  26S proteasome regulatory complex, non-ATPase subcomplex, Rpn1 subunit "
"4418" "ostta09g01210" "Pseudouridine synthase TruD, conserved site              "
"4419" "ostta09g01220" "unnamed product                 "
"4420" "ostta09g01230" "Peptidase S49                 "
"4421" "ostta09g01240" "Sterol-sensing domain                 "
"4422" "ostta09g01250" "unnamed product                 "
"4423" "ostta09g01260" "unnamed product                 "
"4424" "ostta09g01270" "unnamed product                 "
"4425" "ostta09g01280" "P-loop containing nucleoside triphosphate hydrolase              "
"4426" "ostta09g01290" "Patatin/Phospholipase A2-related                 "
"4427" "ostta09g01300" "Armadillo-type fold                 "
"4428" "ostta09g01310" "SNF2-related                  "
"4429" "ostta09g01320" "unnamed product                 "
"4430" "ostta09g01330" "Armadillo-type fold                 "
"4431" "ostta09g01340" "Putative membrane protein insertion efficiency factor             "
"4432" "ostta09g01350" "unnamed product                 "
"4433" "ostta09g01360" "Glutamate 5-kinase                 "
"4434" "ostta09g01370" "Prefoldin subunit 2                "
"4435" "ostta09g01380" "Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site             "
"4436" "ostta09g01390" "Thioredoxin-like fold n/a  Thioredoxin-like fold             "
"4437" "ostta09g01410" "Rossmann-like alpha/beta/alpha sandwich fold n/a  Rossmann-like alpha/beta/alpha sandwich fold         "
"4438" "ostta09g01420" "unnamed product                 "
"4439" "ostta09g01430" "Tyrosine-protein kinase, active site               "
"4440" "ostta09g01440" "Protein of unknown function DUF1092              "
"4441" "ostta09g01450" "Gaa1-like, GPI transamidase component               "
"4442" "ostta09g01460" "unnamed product                 "
"4443" "ostta09g01470" "Histone deacetylase complex subunit SAP30, Sin3 binding domain           "
"4444" "ostta09g01480" "Leucine-rich repeat                 "
"4445" "ostta09g01490" "Ubiquitin interacting motif n/a  Ubiquitin interacting motif           "
"4446" "ostta09g01495" "Ubiquitin interacting motif                "
"4447" "ostta09g01500" "unnamed product                 "
"4448" "ostta09g01510" "Zinc finger, B-box n/a  Zinc finger, B-box           "
"4449" "ostta09g01520" "P-loop containing nucleoside triphosphate hydrolase              "
"4450" "ostta09g01530" "ATPase, V1/A1 complex, subunit E              "
"4451" "ostta09g01540" "Histone H4 acetyltransferase, NuA4 complex, Eaf6             "
"4452" "ostta09g01550" "GPI inositol-deacylase PGAP1-like                "
"4453" "ostta09g01560" "GC-rich sequence DNA-binding factor domain              "
"4454" "ostta09g01570" "unnamed product                 "
"4455" "ostta09g01580" "Formiminotransferas, N- and C-terminal subdomains              "
"4456" "ostta09g01590" "Haem peroxidase, plant/fungal/bacterial                "
"4457" "ostta09g01600" "Phosphoesterase domain                 "
"4458" "ostta09g01615" "ABC-2 type transporter                "
"4459" "ostta09g01630" "unnamed product                 "
"4460" "ostta09g01640" "MOZ/SAS-like protein                 "
"4461" "ostta09g01650" "unnamed product                 "
"4462" "ostta09g01660" "unnamed product                 "
"4463" "ostta09g01670" "HCaRG                  "
"4464" "ostta09g01680" "Short-chain dehydrogenase/reductase SDR                "
"4465" "ostta09g01690" "unnamed product                 "
"4466" "ostta09g01700" "Clathrin, heavy chain/VPS, 7-fold repeat              "
"4467" "ostta09g01710" "Phosphoesterase domain                 "
"4468" "ostta09g01720" "Peptide methionine sulphoxide reductase MsrA n/a  Peptide methionine sulphoxide reductase MsrA       "
"4469" "ostta09g01730" "Ubiquitin supergroup                 "
"4470" "ostta09g01740" "Alpha/beta hydrolase fold-1                "
"4471" "ostta09g01750" "unnamed product                 "
"4472" "ostta09g01760" "Restriction endonuclease  type II-like              "
"4473" "ostta09g01770" "Tetratricopeptide repeat-containing domain                "
"4474" "ostta09g01780" "Helicase, C-terminal n/a  Helicase, C-terminal             "
"4475" "ostta09g01790" "Folylpolyglutamate synthetase                 "
"4476" "ostta09g01800" "Zinc finger, DHHC-type, palmitoyltransferase               "
"4477" "ostta09g01810" "unnamed product                 "
"4478" "ostta09g01820" "unnamed product                 "
"4479" "ostta09g01830" "Cation-transporting P-type ATPase                "
"4480" "ostta09g01840" "De-etiolated protein 1 Det1               "
"4481" "ostta09g01850" "unnamed product                 "
"4482" "ostta09g01860" "Aminoacyl-tRNA synthetase, class II               "
"4483" "ostta09g01870" "UDP-glucose 4-epimerase C-terminal domain               "
"4484" "ostta09g01880" "Cytochrome b561/ferric reductase transmembrane               "
"4485" "ostta09g01890" "Ferric reductase transmembrane component-like domain              "
"4486" "ostta09g01900" "P-loop containing nucleoside triphosphate hydrolase              "
"4487" "ostta09g01910" "MORN motif                 "
"4488" "ostta09g01920" "unnamed product                 "
"4489" "ostta09g01930" "NAD/GMP synthase                 "
"4490" "ostta09g01940" "Immunoglobulin E-set                 "
"4491" "ostta09g01950" "unnamed product                 "
"4492" "ostta09g01960" "unnamed product                 "
"4493" "ostta09g01970" "Thioredoxin-like fold                 "
"4494" "ostta09g01980" "Major facilitator superfamily domain, general substrate transporter            "
"4495" "ostta09g01990" "Cleft lip and palate transmembrane 1             "
"4496" "ostta09g02000" "unnamed product                 "
"4497" "ostta09g02010" "D-cysteine desulfhydrase                 "
"4498" "ostta09g02020" "Glycosyl transferase, family 1               "
"4499" "ostta09g02030" "unnamed product                 "
"4500" "ostta09g02040" "unnamed product                 "
"4501" "ostta09g02050" "CRAL-TRIO domain                 "
"4502" "ostta09g02060" "unnamed product                 "
"4503" "ostta09g02070" "DHHA2                  "
"4504" "ostta09g02080" "unnamed product                 "
"4505" "ostta09g02090" "Methyltransferase domain                 "
"4506" "ostta09g02100" "Phosphoribosyltransferase domain                 "
"4507" "ostta09g02110" "Thioredoxin, conserved site                "
"4508" "ostta09g02120" "Acyl-CoA N-acyltransferase                 "
"4509" "ostta09g02130" "Cation-transporting P-type ATPase, C-terminal               "
"4510" "ostta09g02140" "Ubiquitin interacting motif n/a  Ubiquitin interacting motif n/a  Ubiquitin interacting motif      "
"4511" "ostta09g02145" "Ubiquitin interacting motif                "
"4512" "ostta09g02150" "Structural maintenance of chromosomes protein              "
"4513" "ostta09g02160" "NAD-dependent deacetylase sirtuin-2, sirtuin family, class I            "
"4514" "ostta09g02170" "26S proteasome, regulatory subunit Rpn7              "
"4515" "ostta09g02180" "tRNA/rRNA methyltransferase, SpoU                "
"4516" "ostta09g02190" "Signal transduction histidine kinase-related protein, C-terminal             "
"4517" "ostta09g02200" "Uncharacterised protein family UPF0118               "
"4518" "ostta09g02210" "unnamed product                 "
"4519" "ostta09g02220" "unnamed product                 "
"4520" "ostta09g02230" "unnamed product                 "
"4521" "ostta09g02240" "Target SNARE coiled-coil domain               "
"4522" "ostta09g02250" "Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term             "
"4523" "ostta09g02260" "P-loop containing nucleoside triphosphate hydrolase              "
"4524" "ostta09g02270" "unnamed product                 "
"4525" "ostta09g02275" "Pseudouridine synthase, RsuA/RluB/C/D/E/F                "
"4526" "ostta09g02280" "Pseudouridine synthase, RsuA/RluB/C/D/E/F                "
"4527" "ostta09g02290" "G-protein beta WD-40 repeat               "
"4528" "ostta09g02300" "Ankyrin repeat                 "
"4529" "ostta09g02310" "O-acyltransferase, WSD1, N-terminal                "
"4530" "ostta09g02320" "26S proteasome subunit P45               "
"4531" "ostta09g02330" "Zinc finger, RanBP2-type                "
"4532" "ostta09g02340" "tRNA wybutosine-synthesizing protein                "
"4533" "ostta09g02350" "Alcohol dehydrogenase superfamily, zinc-type               "
"4534" "ostta09g02360" "Adenylate kinase                 "
"4535" "ostta09g02365" "Mpv17/PMP22                  "
"4536" "ostta09g02370" "unnamed product                 "
"4537" "ostta09g02380" "Acyl-CoA N-acyltransferase                 "
"4538" "ostta09g02390" "PIG-P                  "
"4539" "ostta09g02400" "Rossmann-like alpha/beta/alpha sandwich fold               "
"4540" "ostta09g02410" "Cytochrome b-c1 complex subunit 7              "
"4541" "ostta09g02420" "unnamed product                 "
"4542" "ostta09g02430" "P-loop containing nucleoside triphosphate hydrolase              "
"4543" "ostta09g02440" "Protein of unknown function DUF3611              "
"4544" "ostta09g02450" "Serine/threonine-protein kinase, active site               "
"4545" "ostta09g02460" "CAAX amino terminal protease               "
"4546" "ostta09g02470" "Rad1/Rec1/Rad17                  "
"4547" "ostta09g02480" "unnamed product                 "
"4548" "ostta09g02490" "NUDIX hydrolase, conserved site               "
"4549" "ostta09g02500" "unnamed product                 "
"4550" "ostta09g02510" "Triose-phosphate transporter domain                "
"4551" "ostta09g02520" "Clp protease proteolytic subunit /Translocation-enhancing protein TepA            "
"4552" "ostta09g02530" "GNS1/SUR4 membrane protein                "
"4553" "ostta09g02540" "Cytochrome P450, conserved site               "
"4554" "ostta09g02550" "Ribosomal protein S4/S9, eukaryotic/archaeal               "
"4555" "ostta09g02560" "RmlC-like jelly roll fold               "
"4556" "ostta09g02570" "Co-chaperone Hsc20                 "
"4557" "ostta09g02580" "unnamed product                 "
"4558" "ostta09g02590" "Pyridoxal phosphate-dependent transferase, major region, subdomain 2            "
"4559" "ostta09g02600" "Protein of unknown function DUF98              "
"4560" "ostta09g02610" "S-adenosyl-L-homocysteine hydrolase, conserved site               "
"4561" "ostta09g02620" "Nucleic acid-binding, OB-fold                "
"4562" "ostta09g02630" "Pantoate-beta-alanine ligase                 "
"4563" "ostta09g02640" "unnamed product                 "
"4564" "ostta09g02650" "Zinc finger, RING/FYVE/PHD-type                "
"4565" "ostta09g02660" "unnamed product                 "
"4566" "ostta09g02670" "von Willebrand factor, type A              "
"4567" "ostta09g02680" "Tetratricopeptide repeat                 "
"4568" "ostta09g02690" "Dihydroneopterin aldolase                 "
"4569" "ostta09g02700" "Mitochondrial substrate/solute carrier                "
"4570" "ostta09g02710" "unnamed product                 "
"4571" "ostta09g02720" "Magnesium transporter MRS2/LPE10                "
"4572" "ostta09g02730" "RNA C5-cytosine methyltransferase                "
"4573" "ostta09g02740" "Exocyst complex component Sec10-like               "
"4574" "ostta09g02750" "BAG domain                 "
"4575" "ostta09g02760" "Class II aldolase/adducin N-terminal               "
"4576" "ostta09g02770" "Nicotinamide N-methyltransferase-like                 "
"4577" "ostta09g02780" "unnamed product                 "
"4578" "ostta09g02790" "3'-5' exonuclease domain                "
"4579" "ostta09g02800" "P-loop containing nucleoside triphosphate hydrolase              "
"4580" "ostta09g02810" "Restriction endonuclease  type II-like              "
"4581" "ostta09g02820" "Major facilitator superfamily domain, general substrate transporter            "
"4582" "ostta09g02830" "Zinc finger, MYND-type                "
"4583" "ostta09g02840" "unnamed product                 "
"4584" "ostta09g02850" "P-loop containing nucleoside triphosphate hydrolase              "
"4585" "ostta09g02860" "Peptidase M41                 "
"4586" "ostta09g02870" "unnamed product                 "
"4587" "ostta09g02880" "unnamed product                 "
"4588" "ostta09g02890" "Zinc finger, RING-CH-type                "
"4589" "ostta09g02900" "unnamed product                 "
"4590" "ostta09g02910" "unnamed product                 "
"4591" "ostta09g02920" "unnamed product                 "
"4592" "ostta09g02930" "Helicase, C-terminal                 "
"4593" "ostta09g02940" "unnamed product                 "
"4594" "ostta09g02950" "Clp protease proteolytic subunit /Translocation-enhancing protein TepA            "
"4595" "ostta09g02955" "Clp protease proteolytic subunit /Translocation-enhancing protein TepA            "
"4596" "ostta09g02960" "Choline transporter-like                 "
"4597" "ostta09g02970" "unnamed product                 "
"4598" "ostta09g02980" "Neurolysin/Thimet oligopeptidase, N-terminal                "
"4599" "ostta09g02990" "Cystinosin/ERS1p repeat                 "
"4600" "ostta09g03000" "5-formyltetrahydrofolate cyclo-ligase                 "
"4601" "ostta09g03010" "Methyltransferase type 12                "
"4602" "ostta09g03020" "Adenylylsulphate kinase                 "
"4603" "ostta09g03030" "Eukaryotic porin/Tom40                 "
"4604" "ostta09g03040" "unnamed product                 "
"4605" "ostta09g03050" "Helicase, C-terminal                 "
"4606" "ostta09g03060" "Malonyl-CoA ACP transacylase, ACP-binding               "
"4607" "ostta09g03070" "unnamed product                 "
"4608" "ostta09g03080" "NIF system FeS cluster assembly, NifU, C-terminal            "
"4609" "ostta09g03090" "Ankyrin repeat                 "
"4610" "ostta09g03100" "unnamed product                 "
"4611" "ostta09g03110" "unnamed product                 "
"4612" "ostta09g03120" "Zinc finger, RING/FYVE/PHD-type                "
"4613" "ostta09g03130" "Surfeit locus 6                "
"4614" "ostta09g03140" "Spc97/Spc98                  "
"4615" "ostta09g03150" "Ribosomal protein L18e, conserved site              "
"4616" "ostta09g03160" "unnamed product                 "
"4617" "ostta09g03170" "Rubisco LS methyltransferase, substrate-binding domain              "
"4618" "ostta09g03180" "Ribosomal protein S7e                "
"4619" "ostta09g03190" "ABC transporter, conserved site               "
"4620" "ostta09g03200" "unnamed product                 "
"4621" "ostta09g03210" "Lecithin:cholesterol/phospholipid:diacylglycerol acyltransferase                 "
"4622" "ostta09g03220" "Kua-ubiquitin conjugating enzyme hybrid, localisation              "
"4623" "ostta09g03225" "Ankyrin repeat                 "
"4624" "ostta09g03230" "Peptidase A22B, signal peptide peptidase              "
"4625" "ostta09g03235" "TB2/DP1/HVA22-related protein                 "
"4626" "ostta09g03240" "Tetratricopeptide repeat                 "
"4627" "ostta09g03250" "EF-Hand 1 calcium-binding site               "
"4628" "ostta09g03260" "WD40/YVTN repeat-like-containing domain                "
"4629" "ostta09g03270" "unnamed product                 "
"4630" "ostta09g03280" "Major facilitator superfamily domain, general substrate transporter            "
"4631" "ostta09g03290" "unnamed product                 "
"4632" "ostta09g03300" "Major facilitator superfamily domain, general substrate transporter            "
"4633" "ostta09g03310" "unnamed product                 "
"4634" "ostta09g03320" "Acyl-CoA N-acyltransferase                 "
"4635" "ostta09g03330" "unnamed product                 "
"4636" "ostta09g03340" "Endoribonuclease L-PSP/chorismate mutase-like                "
"4637" "ostta09g03350" "TatD family                 "
"4638" "ostta09g03360" "Zinc finger, RING/FYVE/PHD-type                "
"4639" "ostta09g03370" "tRNA guanine-N-7 methyltransferase                "
"4640" "ostta09g03380" "unnamed product                 "
"4641" "ostta09g03390" "unnamed product                 "
"4642" "ostta09g03400" "unnamed product                 "
"4643" "ostta09g03410" "unnamed product                 "
"4644" "ostta09g03420" "Protein kinase, ATP binding site              "
"4645" "ostta09g03430" "Triose-phosphate transporter domain                "
"4646" "ostta09g03440" "unnamed product                 "
"4647" "ostta09g03450" "unnamed product                 "
"4648" "ostta09g03460" "Zinc finger, RING/FYVE/PHD-type                "
"4649" "ostta09g03465" "Armadillo-type fold                 "
"4650" "ostta09g03470" "Peptidase M12B, ADAM/reprolysin                "
"4651" "ostta09g03480" "O-methyltransferase, family 3                "
"4652" "ostta09g03490" "Serine/threonine-protein kinase, active site               "
"4653" "ostta09g03500" "unnamed product                 "
"4654" "ostta09g03510" "Protein arginine N-methyltransferase                "
"4655" "ostta09g03520" "Protein of unknown function DUF1350              "
"4656" "ostta09g03530" "SNF2-related                  "
"4657" "ostta09g03540" "unnamed product                 "
"4658" "ostta09g03550" "NADH:ubiquinone oxidoreductase intermediate-associated protein 30              "
"4659" "ostta09g03555" "DNA recombination and repair protein Rad51, C-terminal            "
"4660" "ostta09g03560" "P-loop containing nucleoside triphosphate hydrolase              "
"4661" "ostta09g03570" "Beta-lactamase-like                  "
"4662" "ostta09g03575" "Molybdenum cofactor biosynthesis, MoeB n/a  Molybdenum cofactor biosynthesis, MoeB         "
"4663" "ostta09g03580" "tRNA guanine26-N2-dimethyltransferase                 "
"4664" "ostta09g03590" "Thioesterase type II, NRPS/PKS/S-FAS               "
"4665" "ostta09g03600" "Homoserine dehydrogenase, conserved site               "
"4666" "ostta09g03610" "unnamed product                 "
"4667" "ostta09g03620" "NADP-dependent oxidoreductase domain                "
"4668" "ostta09g03630" "Cysteine desulfurase, NifS                "
"4669" "ostta09g03640" "unnamed product                 "
"4670" "ostta09g03650" "Ovarian tumour, otubain                "
"4671" "ostta09g03660" "G-protein beta WD-40 repeat               "
"4672" "ostta09g03670" "Voltage-dependent channel, four helix bundle domain             "
"4673" "ostta09g03680" "Uncharacterised protein family UPF0061               "
"4674" "ostta09g03690" "Complex I subunit NDUFS6               "
"4675" "ostta09g03700" "Voltage-dependent channel, four helix bundle domain             "
"4676" "ostta09g03705" "MOZ/SAS-like protein                 "
"4677" "ostta09g03710" "WASH1                  "
"4678" "ostta09g03720" "Crotonase superfamily                 "
"4679" "ostta09g03730" "unnamed product                 "
"4680" "ostta09g03740" "Impact family                 "
"4681" "ostta09g03750" "Protein of unknown function DUF1415              "
"4682" "ostta09g03760" "CASP, C-terminal                 "
"4683" "ostta09g03765" "PEP-utilising enzyme, conserved site               "
"4684" "ostta09g03770" "Chloride channel, voltage gated               "
"4685" "ostta09g03780" "Protein phosphatase 2C                "
"4686" "ostta09g03790" "Homeobox KN domain                "
