Gene ID	GO	KO	PFAM
ME000056S08382	ME000056S08382	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01585" target="_blank">PF01585</a> <a href="http://pfam.xfam.org/family/PF12656" target="_blank">PF12656</a>
ME000056S08384	ME000056S08384	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006614" target="_blank">SRP-dependent cotranslational protein targeting to membrane (GO:0006614)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03110" target="_blank">K03110</a>	<a href="http://pfam.xfam.org/family/PF00448" target="_blank">PF00448</a> <a href="http://pfam.xfam.org/family/PF02881" target="_blank">PF02881</a>
ME000056S08385	ME000056S08385	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00005" target="_blank">PF00005</a>
ME000056S08386	ME000056S08386	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11433" target="_blank">K11433</a>	<a href="http://pfam.xfam.org/family/PF00856" target="_blank">PF00856</a>
ME000056S08393	ME000056S08393	<a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02884" target="_blank">K02884</a>	<a href="http://pfam.xfam.org/family/PF01245" target="_blank">PF01245</a>
ME000056S08396	ME000056S08396	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000056S08400	ME000056S08400	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a> <a href="http://pfam.xfam.org/family/PF06293" target="_blank">PF06293</a>
ME000056S08401	ME000056S08401	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030145" target="_blank">manganese ion binding (GO:0030145)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12613" target="_blank">K12613</a>	<a href="http://pfam.xfam.org/family/PF05026" target="_blank">PF05026</a> <a href="http://pfam.xfam.org/family/PF00293" target="_blank">PF00293</a>
ME000056S08403	ME000056S08403	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K24139" target="_blank">K24139</a>	<a href="http://pfam.xfam.org/family/PF03547" target="_blank">PF03547</a>
ME000056S08407	ME000056S08407	<a href="http://amigo.geneontology.org/amigo/term/GO:0016746" target="_blank">transferase activity, transferring acyl groups (GO:0016746)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00658" target="_blank">K00658</a>	<a href="http://pfam.xfam.org/family/PF00198" target="_blank">PF00198</a> <a href="http://pfam.xfam.org/family/PF00364" target="_blank">PF00364</a>
ME000056S08408	ME000056S08408	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11797" target="_blank">K11797</a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a>
ME000056S08410	ME000056S08410	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00439" target="_blank">PF00439</a>
ME000132S00381	ME000132S00381	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003993" target="_blank">acid phosphatase activity (GO:0003993)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K22390" target="_blank">K22390</a>	<a href="http://pfam.xfam.org/family/PF00149" target="_blank">PF00149</a> <a href="http://pfam.xfam.org/family/PF14008" target="_blank">PF14008</a> <a href="http://pfam.xfam.org/family/PF16656" target="_blank">PF16656</a>
ME000132S00386	ME000132S00386	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006888" target="_blank">endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030127" target="_blank">COPII vesicle coat (GO:0030127)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14007" target="_blank">K14007</a>	<a href="http://pfam.xfam.org/family/PF04811" target="_blank">PF04811</a> <a href="http://pfam.xfam.org/family/PF08033" target="_blank">PF08033</a> <a href="http://pfam.xfam.org/family/PF04815" target="_blank">PF04815</a> <a href="http://pfam.xfam.org/family/PF04810" target="_blank">PF04810</a>
ME000132S00389	ME000132S00389	<a href="http://amigo.geneontology.org/amigo/term/GO:0007031" target="_blank">peroxisome organization (GO:0007031)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005779" target="_blank">integral component of peroxisomal membrane (GO:0005779)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13336" target="_blank">K13336</a>	<a href="http://pfam.xfam.org/family/PF04882" target="_blank">PF04882</a>
ME000132S00390	ME000132S00390	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07950" target="_blank">K07950</a>	<a href="http://pfam.xfam.org/family/PF00025" target="_blank">PF00025</a> <a href="http://pfam.xfam.org/family/PF09439" target="_blank">PF09439</a>
ME000132S00394	ME000132S00394	<a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01997" target="_blank">PF01997</a>
ME000132S00395	ME000132S00395	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051276" target="_blank">chromosome organization (GO:0051276)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005694" target="_blank">chromosome (GO:0005694)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06675" target="_blank">K06675</a>	<a href="http://pfam.xfam.org/family/PF02463" target="_blank">PF02463</a> <a href="http://pfam.xfam.org/family/PF06470" target="_blank">PF06470</a> <a href="http://pfam.xfam.org/family/PF13175" target="_blank">PF13175</a>
ME000132S00396	ME000132S00396	<a href="http://amigo.geneontology.org/amigo/term/GO:0070072" target="_blank">vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF11712" target="_blank">PF11712</a>
ME000132S00400	ME000132S00400	<a href="http://amigo.geneontology.org/amigo/term/GO:0009555" target="_blank">pollen development (GO:0009555)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF15704" target="_blank">PF15704</a>
ME000132S00401	ME000132S00401	<a href="http://amigo.geneontology.org/amigo/term/GO:0004298" target="_blank">threonine-type endopeptidase activity (GO:0004298)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051603" target="_blank">proteolysis involved in cellular protein catabolic process (GO:0051603)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005839" target="_blank">proteasome core complex (GO:0005839)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02734" target="_blank">K02734</a>	<a href="http://pfam.xfam.org/family/PF00227" target="_blank">PF00227</a>
ME000132S00402	ME000132S00402	<a href="http://amigo.geneontology.org/amigo/term/GO:0008033" target="_blank">tRNA processing (GO:0008033)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00784" target="_blank">K00784</a>	<a href="http://pfam.xfam.org/family/PF13691" target="_blank">PF13691</a> <a href="http://pfam.xfam.org/family/PF12706" target="_blank">PF12706</a>
ME000132S00403	ME000132S00403	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00799" target="_blank">K00799</a>	<a href="http://pfam.xfam.org/family/PF02798" target="_blank">PF02798</a> <a href="http://pfam.xfam.org/family/PF00043" target="_blank">PF00043</a> <a href="http://pfam.xfam.org/family/PF13417" target="_blank">PF13417</a> <a href="http://pfam.xfam.org/family/PF14497" target="_blank">PF14497</a> <a href="http://pfam.xfam.org/family/PF13410" target="_blank">PF13410</a> <a href="http://pfam.xfam.org/family/PF13409" target="_blank">PF13409</a>
ME000132S00404	ME000132S00404	<a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01997" target="_blank">PF01997</a>
ME000132S00414	ME000132S00414	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00106" target="_blank">PF00106</a> <a href="http://pfam.xfam.org/family/PF13561" target="_blank">PF13561</a> <a href="http://pfam.xfam.org/family/PF03807" target="_blank">PF03807</a> <a href="http://pfam.xfam.org/family/PF01370" target="_blank">PF01370</a>
ME000132S00418	ME000132S00418	<a href="http://amigo.geneontology.org/amigo/term/GO:0031047" target="_blank">gene silencing by RNA (GO:0031047)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03469" target="_blank">PF03469</a> <a href="http://pfam.xfam.org/family/PF03468" target="_blank">PF03468</a>
ME000132S00423	ME000132S00423	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a> <a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a>
ME000132S00424	ME000132S00424	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a> <a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a>
ME000132S00428	ME000132S00428	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00232" target="_blank">PF00232</a>
ME000132S00429	ME000132S00429	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00232" target="_blank">PF00232</a>
ME000132S00432	ME000132S00432	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01370" target="_blank">PF01370</a> <a href="http://pfam.xfam.org/family/PF13460" target="_blank">PF13460</a>
ME000132S00433	ME000132S00433	<a href="http://amigo.geneontology.org/amigo/term/GO:0003860" target="_blank">3-hydroxyisobutyryl-CoA hydrolase activity (GO:0003860)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05605" target="_blank">K05605</a>	<a href="http://pfam.xfam.org/family/PF16113" target="_blank">PF16113</a> <a href="http://pfam.xfam.org/family/PF00378" target="_blank">PF00378</a>
ME000132S00437	ME000132S00437	<a href="http://amigo.geneontology.org/amigo/term/GO:0005506" target="_blank">iron ion binding (GO:0005506)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008610" target="_blank">lipid biosynthetic process (GO:0008610)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14424" target="_blank">K14424</a>	<a href="http://pfam.xfam.org/family/PF04116" target="_blank">PF04116</a>
ME000132S00440	ME000132S00440	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01061" target="_blank">PF01061</a> <a href="http://pfam.xfam.org/family/PF00005" target="_blank">PF00005</a>
ME000132S00441	ME000132S00441	<a href="http://amigo.geneontology.org/amigo/term/GO:0046872" target="_blank">metal ion binding (GO:0046872)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00642" target="_blank">PF00642</a> <a href="http://pfam.xfam.org/family/PF13855" target="_blank">PF13855</a> <a href="http://pfam.xfam.org/family/PF14608" target="_blank">PF14608</a>
ME000132S00442	ME000132S00442	<a href="http://amigo.geneontology.org/amigo/term/GO:0003746" target="_blank">translation elongation factor activity (GO:0003746)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006414" target="_blank">translational elongation (GO:0006414)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03233" target="_blank">K03233</a>	<a href="http://pfam.xfam.org/family/PF00647" target="_blank">PF00647</a> <a href="http://pfam.xfam.org/family/PF02798" target="_blank">PF02798</a> <a href="http://pfam.xfam.org/family/PF13417" target="_blank">PF13417</a> <a href="http://pfam.xfam.org/family/PF00043" target="_blank">PF00043</a> <a href="http://pfam.xfam.org/family/PF13409" target="_blank">PF13409</a> <a href="http://pfam.xfam.org/family/PF14497" target="_blank">PF14497</a>
ME000132S00443	ME000132S00443	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02641" target="_blank">K02641</a>	<a href="http://pfam.xfam.org/family/PF00175" target="_blank">PF00175</a>
ME000132S00444	ME000132S00444	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10268" target="_blank">K10268</a>	<a href="http://pfam.xfam.org/family/PF13516" target="_blank">PF13516</a>
ME000132S00448	ME000132S00448	<a href="http://amigo.geneontology.org/amigo/term/GO:0004812" target="_blank">aminoacyl-tRNA ligase activity (GO:0004812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0043039" target="_blank">tRNA aminoacylation (GO:0043039)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006418" target="_blank">tRNA aminoacylation for protein translation (GO:0006418)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004819" target="_blank">glutamine-tRNA ligase activity (GO:0004819)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006425" target="_blank">glutaminyl-tRNA aminoacylation (GO:0006425)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01886" target="_blank">K01886</a>	<a href="http://pfam.xfam.org/family/PF00749" target="_blank">PF00749</a> <a href="http://pfam.xfam.org/family/PF04558" target="_blank">PF04558</a> <a href="http://pfam.xfam.org/family/PF04557" target="_blank">PF04557</a>
ME000132S00452	ME000132S00452	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF13368" target="_blank">PF13368</a> <a href="http://pfam.xfam.org/family/PF02201" target="_blank">PF02201</a>
ME000132S00453	ME000132S00453	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003916" target="_blank">DNA topoisomerase activity (GO:0003916)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006265" target="_blank">DNA topological change (GO:0006265)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01131" target="_blank">PF01131</a> <a href="http://pfam.xfam.org/family/PF01751" target="_blank">PF01751</a>
ME000132S00455	ME000132S00455	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05681" target="_blank">K05681</a>	<a href="http://pfam.xfam.org/family/PF01061" target="_blank">PF01061</a> <a href="http://pfam.xfam.org/family/PF00005" target="_blank">PF00005</a>
ME000132S00457	ME000132S00457	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a>
ME000132S00459	ME000132S00459	<a href="http://amigo.geneontology.org/amigo/term/GO:0043461" target="_blank">proton-transporting ATP synthase complex assembly (GO:0043461)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07556" target="_blank">K07556</a>	<a href="http://pfam.xfam.org/family/PF07542" target="_blank">PF07542</a>
ME000132S00460	ME000132S00460	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13436" target="_blank">K13436</a>	<a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a> <a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a>
ME1141943C07548	ME1141943C07548	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13448" target="_blank">K13448</a>	<a href="http://pfam.xfam.org/family/PF13405" target="_blank">PF13405</a> <a href="http://pfam.xfam.org/family/PF13499" target="_blank">PF13499</a> <a href="http://pfam.xfam.org/family/PF13202" target="_blank">PF13202</a>
ME000671S09008	ME000671S09008	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016301" target="_blank">kinase activity (GO:0016301)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016310" target="_blank">phosphorylation (GO:0016310)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:2001070" target="_blank">starch binding (GO:2001070)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15535" target="_blank">K15535</a>	<a href="http://pfam.xfam.org/family/PF01326" target="_blank">PF01326</a> <a href="http://pfam.xfam.org/family/PF00686" target="_blank">PF00686</a>
ME000671S09009	ME000671S09009	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14005" target="_blank">K14005</a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a> <a href="http://pfam.xfam.org/family/PF12931" target="_blank">PF12931</a> <a href="http://pfam.xfam.org/family/PF07304" target="_blank">PF07304</a>
ME000671S09010	ME000671S09010	<a href="http://amigo.geneontology.org/amigo/term/GO:0003712" target="_blank">transcription coregulator activity (GO:0003712)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000124" target="_blank">SAGA complex (GO:0000124)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF12090" target="_blank">PF12090</a>
ME000671S09012	ME000671S09012	<a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF07714" target="_blank">PF07714</a> <a href="http://pfam.xfam.org/family/PF00069" target="_blank">PF00069</a>
ME000671S09013	ME000671S09013	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13341" target="_blank">K13341</a>	<a href="http://pfam.xfam.org/family/PF00400" target="_blank">PF00400</a>
ME000671S09021	ME000671S09021	<a href="http://amigo.geneontology.org/amigo/term/GO:0046912" target="_blank">transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer (GO:0046912)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01647" target="_blank">K01647</a>	<a href="http://pfam.xfam.org/family/PF00285" target="_blank">PF00285</a>
ME000502S08009	ME000502S08009	<a href="http://amigo.geneontology.org/amigo/term/GO:0006367" target="_blank">transcription initiation from RNA polymerase II promoter (GO:0006367)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03137" target="_blank">K03137</a>	<a href="http://pfam.xfam.org/family/PF18121" target="_blank">PF18121</a> <a href="http://pfam.xfam.org/family/PF02186" target="_blank">PF02186</a>
ME001359S00731	ME001359S00731	<a href="http://amigo.geneontology.org/amigo/term/GO:0016874" target="_blank">ligase activity (GO:0016874)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02934" target="_blank">PF02934</a>
ME000541S08302	ME000541S08302	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05956" target="_blank">K05956</a>	<a href="http://pfam.xfam.org/family/PF00432" target="_blank">PF00432</a>
ME000659S08975	ME000659S08975	<a href="http://amigo.geneontology.org/amigo/term/GO:0016559" target="_blank">peroxisome fission (GO:0016559)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005779" target="_blank">integral component of peroxisomal membrane (GO:0005779)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF05648" target="_blank">PF05648</a>
