Gene ID	GO	KO
kfl00124_0290	kfl00124_0290	<a href="http://amigo.geneontology.org/amigo/term/GO:0006511" target="_blank">ubiquitin-dependent protein catabolic process (GO:0006511)</a>	
kfl00124_0300	kfl00124_0300	<a href="http://amigo.geneontology.org/amigo/term/GO:0008380" target="_blank">RNA splicing (GO:0008380)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005681" target="_blank">spliceosomal complex (GO:0005681)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12817" target="_blank">K12817</a>
kfl00124_0310	kfl00124_0310	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12236" target="_blank">K12236</a>
kfl00124_0320	kfl00124_0320	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
kfl00124_0330	kfl00124_0330	<a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a>	
kfl00124_0350	kfl00124_0350	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K22207" target="_blank">K22207</a>
kfl00125_0010	kfl00125_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0006904" target="_blank">vesicle docking involved in exocytosis (GO:0006904)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20182" target="_blank">K20182</a>
kfl00125_0020	kfl00125_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14437" target="_blank">K14437</a>
kfl00125_0030	kfl00125_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0042779" target="_blank">tRNA 3'-trailer cleavage (GO:0042779)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016891" target="_blank">endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00784" target="_blank">K00784</a>
kfl00125_0040	kfl00125_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009231" target="_blank">riboflavin biosynthetic process (GO:0009231)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004746" target="_blank">riboflavin synthase activity (GO:0004746)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00793" target="_blank">K00793</a>
kfl00125_0050	kfl00125_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00125_0060	kfl00125_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K21768" target="_blank">K21768</a>
kfl00125_0100	kfl00125_0100	<a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06955" target="_blank">K06955</a>
kfl00125_0110	kfl00125_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00125_0120	kfl00125_0120	<a href="http://amigo.geneontology.org/amigo/term/GO:0006464" target="_blank">cellular protein modification process (GO:0006464)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045116" target="_blank">protein neddylation (GO:0045116)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016881" target="_blank">acid-amino acid ligase activity (GO:0016881)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008641" target="_blank">ubiquitin-like modifier activating enzyme activity (GO:0008641)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10686" target="_blank">K10686</a>
kfl00125_0130	kfl00125_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0006177" target="_blank">GMP biosynthetic process (GO:0006177)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006529" target="_blank">asparagine biosynthetic process (GO:0006529)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006164" target="_blank">purine nucleotide biosynthetic process (GO:0006164)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003922" target="_blank">GMP synthase (glutamine-hydrolyzing) activity (GO:0003922)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004066" target="_blank">asparagine synthase (glutamine-hydrolyzing) activity (GO:0004066)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01951" target="_blank">K01951</a>
kfl00125_0140	kfl00125_0140	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20476" target="_blank">K20476</a>
kfl00125_0150	kfl00125_0150	<a href="http://amigo.geneontology.org/amigo/term/GO:0015991" target="_blank">(GO:0015991)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0033179" target="_blank">proton-transporting V-type ATPase, V0 domain (GO:0033179)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0033177" target="_blank">proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015078" target="_blank">proton transmembrane transporter activity (GO:0015078)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03661" target="_blank">K03661</a>
kfl00125_0160	kfl00125_0160	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K04508" target="_blank">K04508</a>
kfl00125_0170	kfl00125_0170	<a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02870" target="_blank">K02870</a>
kfl00125_0180	kfl00125_0180	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03130" target="_blank">K03130</a>
kfl00125_0190	kfl00125_0190	<a href="http://amigo.geneontology.org/amigo/term/GO:0006334" target="_blank">nucleosome assembly (GO:0006334)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000786" target="_blank">nucleosome (GO:0000786)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11251" target="_blank">K11251</a>
kfl00125_0200	kfl00125_0200	<a href="http://amigo.geneontology.org/amigo/term/GO:0042176" target="_blank">regulation of protein catabolic process (GO:0042176)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000502" target="_blank">proteasome complex (GO:0000502)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030234" target="_blank">enzyme regulator activity (GO:0030234)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03032" target="_blank">K03032</a>
kfl00125_0250	kfl00125_0250	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004713" target="_blank">protein tyrosine kinase activity (GO:0004713)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	
kfl00125_0260	kfl00125_0260	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13754" target="_blank">K13754</a>
kfl00125_0270	kfl00125_0270	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006098" target="_blank">pentose-phosphate shunt (GO:0006098)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006573" target="_blank">valine metabolic process (GO:0006573)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008442" target="_blank">3-hydroxyisobutyrate dehydrogenase activity (GO:0008442)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016832" target="_blank">aldehyde-lyase activity (GO:0016832)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004616" target="_blank">phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00126_0010p	kfl00126_0010p	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	
kfl00126_0050	kfl00126_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0006096" target="_blank">glycolytic process (GO:0006096)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004618" target="_blank">phosphoglycerate kinase activity (GO:0004618)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00927" target="_blank">K00927</a>
kfl00126_0060	kfl00126_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
kfl00126_0080	kfl00126_0080	<a href="http://amigo.geneontology.org/amigo/term/GO:0006891" target="_blank">intra-Golgi vesicle-mediated transport (GO:0006891)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017119" target="_blank">Golgi transport complex (GO:0017119)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20293" target="_blank">K20293</a>
kfl00126_0090	kfl00126_0090	<a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030288" target="_blank">outer membrane-bounded periplasmic space (GO:0030288)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005234" target="_blank">extracellularly glutamate-gated ion channel activity (GO:0005234)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004970" target="_blank">ionotropic glutamate receptor activity (GO:0004970)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">transporter activity (GO:0005215)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05387" target="_blank">K05387</a>
kfl00126_0100	kfl00126_0100	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">serine-type endopeptidase activity (GO:0004252)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0070008" target="_blank">serine-type exopeptidase activity (GO:0070008)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008236" target="_blank">serine-type peptidase activity (GO:0008236)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01322" target="_blank">K01322</a>
kfl00126_0110	kfl00126_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">cell redox homeostasis (GO:0045454)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008430" target="_blank">selenium binding (GO:0008430)</a>	
kfl00126_0120	kfl00126_0120	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00126_0130	kfl00126_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
kfl00126_0140	kfl00126_0140	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016881" target="_blank">acid-amino acid ligase activity (GO:0016881)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10586" target="_blank">K10586</a>
kfl00126_0160	kfl00126_0160	<a href="http://amigo.geneontology.org/amigo/term/GO:0008171" target="_blank">O-methyltransferase activity (GO:0008171)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0046983" target="_blank">protein dimerization activity (GO:0046983)</a>	
kfl00126_0170	kfl00126_0170	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02717" target="_blank">K02717</a>
kfl00126_0190	kfl00126_0190	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015031" target="_blank">protein transport (GO:0015031)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005794" target="_blank">Golgi apparatus (GO:0005794)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0044431" target="_blank">(GO:0044431)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030131" target="_blank">clathrin adaptor complex (GO:0030131)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030117" target="_blank">membrane coat (GO:0030117)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008565" target="_blank">(GO:0008565)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12391" target="_blank">K12391</a>
kfl00126_0200	kfl00126_0200	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00126_0210	kfl00126_0210	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14998" target="_blank">K14998</a>
kfl00126_0220	kfl00126_0220	<a href="http://amigo.geneontology.org/amigo/term/GO:0009231" target="_blank">riboflavin biosynthetic process (GO:0009231)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008686" target="_blank">3,4-dihydroxy-2-butanone-4-phosphate synthase activity (GO:0008686)</a>	
kfl00126_0230	kfl00126_0230	<a href="http://amigo.geneontology.org/amigo/term/GO:0006400" target="_blank">tRNA modification (GO:0006400)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000287" target="_blank">magnesium ion binding (GO:0000287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008193" target="_blank">tRNA guanylyltransferase activity (GO:0008193)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10761" target="_blank">K10761</a>
kfl00126_0260	kfl00126_0260	<a href="http://amigo.geneontology.org/amigo/term/GO:0006464" target="_blank">cellular protein modification process (GO:0006464)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004835" target="_blank">tubulin-tyrosine ligase activity (GO:0004835)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K16609" target="_blank">K16609</a>
kfl00127_0030	kfl00127_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
kfl00127_0040	kfl00127_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016868" target="_blank">intramolecular transferase activity, phosphotransferases (GO:0016868)</a>	
kfl00127_0050	kfl00127_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004713" target="_blank">protein tyrosine kinase activity (GO:0004713)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	
kfl00127_0060	kfl00127_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0005543" target="_blank">phospholipid binding (GO:0005543)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20174" target="_blank">K20174</a>
kfl00127_0070	kfl00127_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016811" target="_blank">hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)</a>	
kfl00127_0090	kfl00127_0090	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00127_0110	kfl00127_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00127_0150	kfl00127_0150	<a href="http://amigo.geneontology.org/amigo/term/GO:0005680" target="_blank">anaphase-promoting complex (GO:0005680)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03348" target="_blank">K03348</a>
kfl00127_0160	kfl00127_0160	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K19199" target="_blank">K19199</a>
kfl00127_0190	kfl00127_0190	<a href="http://amigo.geneontology.org/amigo/term/GO:0005991" target="_blank">trehalose metabolic process (GO:0005991)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004555" target="_blank">alpha,alpha-trehalase activity (GO:0004555)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00127_0200	kfl00127_0200	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004806" target="_blank">triglyceride lipase activity (GO:0004806)</a>	
kfl00127_0210	kfl00127_0210	<a href="http://amigo.geneontology.org/amigo/term/GO:0006400" target="_blank">tRNA modification (GO:0006400)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000287" target="_blank">magnesium ion binding (GO:0000287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008193" target="_blank">tRNA guanylyltransferase activity (GO:0008193)</a>	
kfl00128_0010	kfl00128_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11426" target="_blank">K11426</a>
kfl00128_0030	kfl00128_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004713" target="_blank">protein tyrosine kinase activity (GO:0004713)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	
kfl00128_0040	kfl00128_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004190" target="_blank">aspartic-type endopeptidase activity (GO:0004190)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K09595" target="_blank">K09595</a>
kfl00128_0050	kfl00128_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0016881" target="_blank">acid-amino acid ligase activity (GO:0016881)</a>	
kfl00128_0060	kfl00128_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14298" target="_blank">K14298</a>
kfl00128_0070	kfl00128_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00128_0130	kfl00128_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00128_0150	kfl00128_0150	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00128_0170	kfl00128_0170	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030131" target="_blank">clathrin adaptor complex (GO:0030131)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12393" target="_blank">K12393</a>
