Cre01.g000050.t1.1	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)
Cre08.g369600.t1.1	Putative MATE efflux family protein, related to Arabidopsis MATE family protein.  Previously annotated as MFT2
Cre08.g369800.t1.2	Transfers the aminobutyl moiety of spermidine to a specific lysine residue of eIF5A, forming deoxyhypusine (PMID: 17476569); deoxypusine will then be hydroxylated to generate the unusual aminoacid hypusine; an important mechanism controlling cell prolifer
Cre08.g370450.t1.2	Mitochondrial grpE homolog, co-chaperone of the HSP70C chaperone; assists matrix Hsp70 in both protein translocation across the mitochondrial membranes and subsequent protein folding; similar to At4g26780 and At5g55200
Cre08.g371450.t1.2	Expressed protein, Zeta-COP, subunit of COP-I complex involved in vesicle trafficking
Cre08.g371450.t2.1	Expressed protein, Zeta-COP, subunit of COP-I complex involved in vesicle trafficking
Cre08.g371650.t1.2	Expressed Protein. Similar to thylakoid membrane sec-independent protein translocator. Involved in the twin-arginine translocation pathway.  Previously annotated as TATB
Cre08.g372000.t1.2	Conserved protein
Cre08.g372100.t1.2	HSP70A is one of 9 genes encoding HSP70-like proteins in Chlamydomonas; HSP70A is localized to the cytosol and to flagella; it is inducible by heat shock and light [PMID: 2779571, 1541398, 16151252, 16143837]. Found in the flagellar proteome [PMID: 159988
Cre08.g372350.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre08.g372450.t1.2	Oxygen evolving enhancer protein 3 (OEE3); [gi:131395; gi:18164; PMID: 3556163; PMID: 3468511]
Cre08.g372550.t1.1	Plant specific cyclin dependent kinase; CDKB subfamily; PSTTLRE motif; mitotic regulator.  Putative function in G2/M
Cre08.g372900.t1.1	VFL1, variable flagella 1. Mutations alter number and position of basal bodies. Protein localizes to basal bodies and probasal bodies.  Contains leucine-rich repeats. The human ortholog is CLERC (centrosomal leucine-rich repeat and coiled-coil containing 
Cre08.g372950.t1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (isopentenyl diphosphate/dimethylallyl diphosphate synthase) (ispH) (lytB) [PMID:11004185]; putative chloroplast precursor
Cre08.g373100.t1.1	Cytochrome P450, CYP97 superfamily.  CYP97A3 of Arabidopsis is a carotenoid beta-ring hydroxylase [PMID: 16492736]. CYP97C1 of Arabidopsis (LUT1) is a carotenoid epsilon-ring hydroxylase [PMID: 14709673].  Previously annotated as CYP97C3
Cre08.g373250.t1.2	(PSA2) 20S proteasome alpha subunit B (type 2)
Cre08.g373300.t1.1	Mitogen-Activated Protein Kinase Kinase Kinase 1 (MAP Kinase Kinase Kinase 1)(MEK Kinase 1) (MEKK1). First kinase in the canonical MAP Kinase pathway
Cre08.g374050.t1.2	Homologous to eukaryotic DNA polymerase delta, small subunit.  Involved in DNA replication; a class B polymerase.  See Burgers et al. (2001) (PMID: 11579108).  Previously annotated as POLD2
Cre08.g374250.t1.1	Plus agglutinin gene; sexual adhesion protein located on the flagellar surface of plus gametes [PMID: 15659633]
Cre08.g374700.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre08.g375050.t1.2	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre08.g375250.t1.1	Putative mitochondrial ribosomal protein S19, imported to mitochondria
Cre08.g375500.t1.2	Glucosamine--fructose-6-phosphate aminotransferase (glucosamine-6-phosphate synthase) (hexosephosphate aminotransferase) [EC:2.6.1.16]; contains amidotransferase and phosphosugar isomerase domains; pathway: glutamate metabolism - aminosugars metabolism
Cre08.g375900.t1.1	Eukaryotic translation initiation factor 2 subunit 1, eIF2-alpha subunit.  Previously annotated as EIF2Aa.  Most similar to G. gallus (chicken) EIF2A in SwissProt
Cre08.g375950.t1.1	UvrB domain-containing protein. Interpro IPR001943. Family includes helicase subunit of DNA excision repair complex.  Part of this gene model (by overlap) was previously annotated as EIF2Aa, which is not correct
Cre08.g376350.t1.2	Anti-silencing factor, Silencing Group A, ChromDB SGA3401; homologous to yeast ASF1
Cre08.g376350.t2.1	Anti-silencing factor, Silencing Group A, ChromDB SGA3401; homologous to yeast ASF1
Cre08.g376450.t1.2	Conserved expressed protein; Arabidopsis homologue is predicted to be plastid localized
Cre08.g376550.t1.2	Roadblock-like flagellar outer arm dynein light chain, LC7a. Interacts with both the outer arm and inner arm I1/f.  Matsuo et al.'s (2008) roc63 (rhythm of chloroplast) circadian rhythm mutant locus maps here.  ODA15 locus.  Previously annotated as DLC7a
Cre08.g376700.t1.2	Catalyzes the first two steps of 5'-cap addition on mRNAs: removal of the terminal 5'-phosphate and 5'-addition of a guanosine residue with formation of a 5'-ppp-5' linkage. Although the two activities are found on two separate polypeptides in yeast, they
Cre08.g376950.t1.1	Matrix metalloproteinase belonging to the M11 peptidase family
Cre08.g377100.t1.2	Putative adenylate kinase
Cre08.g377350.t1.1	Adenylate kinase homolog 5; found in the flagellar proteome and previously annotated as FAP180 [PMID: 15998802].  The FAP121 model in v3 is now part of this longer gene model also.
Cre08.g378050.t1.2	Mitochondrial NADH:ubiquinone oxidoreductase (Complex I) 16 kDa subunit precursor; gi.AAS58503 [PMID: 15450959; PMID: 15710684]; unknown evolutionary origin
Cre08.g378150.t1.1	Possible plastidic glucose-6-phosphate-1-dehydrogenase, amino portion, based on similarity to plastidic G6P DH from Dunaliella bioculata (CAB52685); may be pseudogene
Cre08.g378550.t1.2	Mitochondrial NADH:ubiquinone oxidoreductase (Complex I) 9 kDa subunit precursor, mitochondrial [AAS58498.1, [PMID: 15450959; PMID: 15710684]; unknown evolutionary origin
Cre08.g378850.t1.2	Ribose-phosphate pyrophosphokinase (RPPK) = phosphoribosylpyrophosphate synthetase (P-Rib-PP synthetase) (PRPP synthetase); normally highly regulated enzyme; PRPP is an essential precursor for purine and pyrimidine nucleotides
Cre08.g378900.t1.2	NADH dehydrogenase subunit (Complex I) 3 precursor [=ND3], mitochondrial. gi|33943533|gb|AAQ55461.1| [=ND3; NAD3] [PMID: 15710684; PMID: 15450959]
Cre08.g379200.t1.1	Probably 3'-end of a conserved expressed protein; contains a HExxH motif typical of Zn-binding metalloproteases, but this motif is not embedded in a transmembrane segment as in RseP Should be fused with upstream gene model, Au9.Cre08.g379250(-)
Cre08.g379350.t1.1	Triose phosphate transporter.  Also annotated as TPT
Cre08.g379550.t1.1	Na+-dependent inorganic phosphate cotransporter.  Previously annotated as MFT11
Cre08.g379550.t2.1	Na+-dependent inorganic phosphate cotransporter.  Previously annotated as MFT11
Cre08.g379650.t1.2	Similar to Tic20 from Pisum sativum (AAC64607); has three predicted transmembrane domains; sequence alignment implies localisation within the inner membrane of chloroplast and interactions with Tic22 and Tic110; TargetP prediction: chloroplast (0.985; con
Cre08.g380250.t1.2	Small Intrinsically Unstructured Polypeptide known as CP12; functions in the Calvin cycle, associating with GAPDH and PRK and modifying their enzymatic properties; chloroplast-targeted [PMID: 8980547, PMID: 12492483, PMID: 12846565]
Cre08.g380400.t1.2	Similar to MAD2 mitotic spindle assembly checkpoint protein
Cre08.g382300.t1.2	CGLD23, involved in covalent heme binding to cyt b6; conserved in plant lineage and diatoms (organisms performing oxygenic photosynthesis). The protein is localized to the chloroplast and homologous to CCB2. PMID: 17535914
Cre08.g382500.t1.2	Cytosolic 80S ribosomal protein S25; Cytosolic 40S small ribosomal subunit protein S25
Cre08.g382650.t1.1	Contains two ubiquitin domains in tandem
Cre08.g382700.t1.1	Post-translationally modifies proteins to tag them for proteasome-mediated degradation, internalization etc..; contains two ubiquitin domains in tandem. Discussed by Wang et al. 2008 [PMID: 18493050] as ubiquitin, XP_001702404
Cre08.g382850.t1.2	Complex 1 protein (LYR family).  Proteins in this family have been identified as a component of the higher eukaryotic NADH complex.  Similar to yeast ISD11, which forms a complex with the cys desulfurase NFS1; localized to mitochondria.  Previously annota
Cre08.g383150.t1.2	Contains similarity to N-acetyl-transferase 5 that catalyzes the first step of melatonin biosynthesis
Cre08.g383600.t1.1	Scavenger receptor cysteine-rich protein; contains ligand-binding SRCR domain found in speract/scavenger receptor (PMID: 14995912)
Cre08.g384000.t1.1	Cytochrome P450, CYP197 superfamily.  Previously annotated as CYP771A1
Cre08.g385050.t1.1	Mitogen-activated protein kinase; downstream kinase in the canonical MAP kinase pathway
Cre08.g385200.t1.1	Small nuclear ribonucleoprotein SmE (snRNP-E) (Sm protein E) (Sm-E).  Previously annotated as SMP3
Cre08.g385500.t1.2	Alpha-amylase.  Previously annotated as AMYA1
Cre08.g385500.t2.1	Alpha-amylase.  Previously annotated as AMYA1
Cre08.g385700.t1.2	Gamma-SNAP, adaptor protein connecting NSF to cis-SNARE complex.  Required for vesicular transport between the endoplasmic reticulum and the Golgi apparatus.  Previously annotated as SNAPG1
Cre08.g385750.t1.2	Gluconate kinase; may be a shikimate kinase.  Previously annotated as CHK1
Cre08.g385850.t1.2	Cyclin dependent kinase; Plant specific CDKC ortholog; PITAIRE motif
Cre09.g386400.t1.2	Flagellar Associated Protein, found in the flagellar proteome as FAP124 [PMID: 15998802]; related to ubiquitin-activating enzyme E1
Cre09.g386650.t1.2	Adenine Nucleotide Translocator 1, mitochondrial; ADP,ATP carrier protein (ADP/ATP translocase) (Adenine nucleotide translocator) [gi:113465, PMID: 8455552]
Cre09.g386650.t2.1	Adenine Nucleotide Translocator 1, mitochondrial; ADP,ATP carrier protein (ADP/ATP translocase) (Adenine nucleotide translocator) [gi:113465, PMID: 8455552]
Cre09.g386735.t1.1	Dihydrolipoamide acetyltransferase, probably mitochondrial; EC 2.3.1.12); E2 component of pyruvate dehydrogenase complex	Dihydrolipoamide acetyltransferase, probably mitochondrial; EC 2.3.1.12); E2 component of pyruvate dehydrogenase complex
Cre09.g386736.t1.1	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome, upregulated by deflagellation [PMID: 15998802]; identified in the flagellar basal body proteome as FBB3 [PMID: 15137946]	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome, upregulated by deflagellation [PMID: 15998802]; identified in the flagellar basal body proteome as FBB3 [PMID: 15137946]
Cre09.g386750.t1.2	HSP90A is one of 3 HSP90 genes in Chlamydomonas; HSP90A is localized to the cytosol; PMID: 16143837 and 15995001. Acclimation to changing CO2 concentrations and light intensities was studied by Yamano et al. 2008 [PMID: 18322145].
Cre09.g386758.t1.1	Acetolactate synthase, large subunit (EC 2.2.1.6); (acetohydroxy acid synthase, large subunit); precursor, expected plastidic by homology, and predicted plastidic by Target-P.  Previously annotated as ALSL1.  Can be mutated to herbicide resistance.  Requi	Acetolactate synthase, large subunit (EC 2.2.1.6); (acetohydroxy acid synthase, large subunit); precursor, expected plastidic by homology, and predicted plastidic by Target-P.  Previously annotated as ALSL1.  Can be mutated to herbicide resistance.  Requi
Cre09.g386900.t1.2	Expressed Protein. Similar to the RabC/Rab18 family of small GTP-ases; One of 3 C-type Rabs.  Previously annotated as RABC1
Cre09.g387000.t1.2	Conserved expressed protein of unknown function; strong similarity to Arabidopsis, rice and Medicago hypothetical protein sequences
Cre09.g387100.t1.1	Conserved expressed protein
Cre09.g387150.t1.2	There are two HSF genes in genome; involved in stress response regulation
Cre09.g387200.t1.1	Similar to guanylyl cyclase beta-3 [Apis mellifera]
Cre09.g387350.t1.2	Similar to guanylyl cyclase beta-3 [Apis mellifera]
Cre09.g387400.t1.1	Homologous to eukaryotic DNA polymerase zeta.  Involved in bypass synthesis/translesion synthesis/mutagenic DNA replication; a class B polymerase.  See Burgers et al. (2001) (PMID: 11579108).  Previously annotated as POLZ1
Cre09.g387689.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre09.g387726.t1.1	Putative aspartate aminotransferase (EC 2.6.1.1); no organelle targeting sequence predicted by Target-P, but plastidic by homology, Found in the mitochondrial proteomic survey	Putative aspartate aminotransferase (EC 2.6.1.1); no organelle targeting sequence predicted by Target-P, but plastidic by homology, Found in the mitochondrial proteomic survey
Cre09.g387800.t1.2	Ferritin, chloroplast precursor, pre-apoferritin gi|20530724|gb|AF503338
Cre09.g387850.t1.2	Putative RWP-RK domain transcription factor; model is very tentative
Cre09.g387875.t1.1	Soluble inorganic pyrophosphatase; corresponds to CAC42763.1 (ppaII)	Soluble inorganic pyrophosphatase; corresponds to CAC42763.1 (ppaII)
Cre09.g387912.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802].  Similar to IgA-specific serine peptidase	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802].  Similar to IgA-specific serine peptidase
Cre09.g388000.t1.2	Cyclin dependent kinase activating kinase; homologous to plant CDKD and animal CDK7 subfamilies; DPTLARE motif.  Putative CAK function
Cre09.g388060.t1.1	Related to violaxanthin de-epoxidase (may be the locus for NPQ1); orthologous to At2g21860; probably chloroplast-targeted; may play a role in Energization-dependent Non-Photochemical Quenching (NPQ) [PMID: 16143839]	Related to violaxanthin de-epoxidase (may be the locus for NPQ1); orthologous to At2g21860; probably chloroplast-targeted; may play a role in Energization-dependent Non-Photochemical Quenching (NPQ) [PMID: 16143839]
Cre09.g388097.t1.1	Hypothetical Conserved Protein similar to OEP80 (At5g19620) and related proteins from plants and cyanobacteria.  Previously annotated as OEP80	Hypothetical Conserved Protein similar to OEP80 (At5g19620) and related proteins from plants and cyanobacteria.  Previously annotated as OEP80
Cre09.g388150.t1.2	Putative mitochondrial ribosomal protein L36, imported to mitochondria
Cre09.g388200.t1.1	Cytosolic 80S ribosomal protein L10; Cytosolic 60S large ribosomal subunit protein L10
Cre09.g388282.t1.1	Putative mitochondrial ribosomal protein S18, imported to mitochondria	Putative mitochondrial ribosomal protein S18, imported to mitochondria
Cre09.g388350.t1.1	Belongs to the large VMP-family of metalloproteinases (identified in Volvox); the binding site of the catalytic metal ion in VMPs is QExxHxxGxxH not HExxHxxGxxH, therefore VMPs prefer copper for activity rather than zinc; extracellular matrix glycoprotein
Cre09.g388356.t1.1	Factor specifically required for the translation of the chloroplast psbC mRNA [PMID: 12045185]	Factor specifically required for the translation of the chloroplast psbC mRNA [PMID: 12045185]
Cre09.g388372.t1.2	Chloroplast tscA maturation factor; has been reported as necessary, together with nearby divergent RAT1, for complementation of mutant deficient in tscA maturation (PMID: 16115062); no homologues in other organisms, except Volvox.
Cre09.g388393.t1.1	Belongs to the family of exostosin-like glycosyltransferases	Belongs to the family of exostosin-like glycosyltransferases
Cre09.g388400.t1.2	Thylakoid membrane protein necessary for 3' end maturation of tscA mRNA, hence for psaA trans-splicing of exons 1 and 2 [PMID: 16115062]; has homologues of unknown function in a broad range of organisms; reported similarity to NAD+ binding domain of PARP 
Cre09.g388450.t1.1	Seems to belong to the family of exostosin-like glycosyltransferases
Cre09.g388467.t1.1	Expressed Protein. Similar to Rab GDP Dissociation Inhibitor; homolog of GDIV1, [GI:1572518] Found in the flagellar proteome [PMID: 15998802].  Previoiusly annotated as GDIC1	Expressed Protein. Similar to Rab GDP Dissociation Inhibitor; homolog of GDIV1, [GI:1572518] Found in the flagellar proteome [PMID: 15998802].  Previoiusly annotated as GDIC1
Cre09.g388550.t1.2	Putative mitochondrial ribosomal protein L21, imported to mitochondria
Cre09.g388650.t1.1	C-terminal domain similar to guanylyl cyclase beta-3 [Apis mellifera]
Cre09.g388750.t1.2	Putative phosphoinositide phosphatase, mitochondrial localization assumed; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]
Cre09.g388800.t1.2	Glutamate dehydrogenase (EC 1.4.1.2); predicted by Target-P and iPSORT to be mitochondrial
Cre09.g388850.t1.1	P-type ATPase/cation transporter, plasma membrane.  Related to plant potential calcium-transporting ATPase 9, plasma membrane-type (Ca(2+)-ATPase isoform 9); found in the flagellar proteome [PMID: 15998802].  May be a phospholipid flippase
Cre09.g389050.t1.1	Pfam03473, MOSC domain; COG3217
Cre09.g389150.t1.2	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre09.g389250.t1.2	Amine oxidase, flavin-containing; amine oxidase:FAD dependent oxidoreductase.  Possible polyamine oxidase
Cre09.g389282.t1.1	Coiled-coil flagellar associated protein C1a-32; found in the flagellar proteome [PMID: 15998802]. Associated with central apparatus C1 microtubule [PMID: 16188941]	Coiled-coil flagellar associated protein C1a-32; found in the flagellar proteome [PMID: 15998802]. Associated with central apparatus C1 microtubule [PMID: 16188941]
Cre09.g389550.t1.1	DnaJ-like protein; probably cytosolic, since homologs in Arabidopsis (Q9LH49 and Q9FL54) are predicted to be cytosolic; contains J-domain (pfam00226) at N-terminus
Cre09.g389578.t1.1	Shows similarity to PSBP (OEE2, oxygen-evolving enhancer protein 2 of photosystem II, OEC23, 23 kDa subunit of oxygen evolving complex : PMID: 3468511); orthologous to At3g05410; targeted to thylakoid lumen by TAT pathway, but absence of AXA cleavage site	Shows similarity to PSBP (OEE2, oxygen-evolving enhancer protein 2 of photosystem II, OEC23, 23 kDa subunit of oxygen evolving complex : PMID: 3468511); orthologous to At3g05410; targeted to thylakoid lumen by TAT pathway, but absence of AXA cleavage site
Cre09.g389689.t1.1	Aspartate semialdehyde dehydrogenase.  Previously annotated as ASSD1	Aspartate semialdehyde dehydrogenase.  Previously annotated as ASSD1
Cre09.g389875.t1.1	Cyclic nucleotide phosphodiesterase similar to calmodulin dependent phosphodiesterase from Bos taurus AAA92555.1	Cyclic nucleotide phosphodiesterase similar to calmodulin dependent phosphodiesterase from Bos taurus AAA92555.1
Cre09.g389900.t1.1	Similar to hydroxyproline-rich glycoprotein family in Arabidopsis thaliana; Genbank entry NM_113865
Cre09.g389950.t1.2	Similar to O-acetyltransferase-related protein of Arabidopsis thaliana; Genbank entry AY136339
Cre09.g390023.t1.1	Copper responsive regulator 1; SBP domain containing, ankyrin repeats [gi:63145978; PMID: 16352720]	Copper responsive regulator 1; SBP domain containing, ankyrin repeats [gi:63145978; PMID: 16352720]
Cre09.g390050.t1.2	[PMID: 12519777]
Cre09.g390467.t1.1	Conserved expressed protein	Conserved expressed protein
Cre09.g390615.t1.1	Triacylglycerol lipase.  Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802].  Previously annotated as FAP12	Triacylglycerol lipase.  Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802].  Previously annotated as FAP12
Cre09.g390750.t1.1	Belongs to the family of exostosin-like glycosyltransferases
Cre09.g390763.t1.1	Expressed Protein. Similar to the RabB/Rab2 type GTPase, involved in vesicle trafficking in the ER-Golgi system. Identical to YPTC4 [gi|2500074|sp|Q39570|YPT4_CHLRE, PMID: 7789809]. Found in the flagellar proteome [PMID: 15998802].  Previously annotated a	Expressed Protein. Similar to the RabB/Rab2 type GTPase, involved in vesicle trafficking in the ER-Golgi system. Identical to YPTC4 [gi|2500074|sp|Q39570|YPT4_CHLRE, PMID: 7789809]. Found in the flagellar proteome [PMID: 15998802].  Previously annotated a
Cre09.g390949.t1.1	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; in basal body proteome as BUG4 [PMID: 15964273]. Transcript upregulated during flagellar regeneration [PMID: 15738400]	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; in basal body proteome as BUG4 [PMID: 15964273]. Transcript upregulated during flagellar regeneration [PMID: 15738400]
Cre09.g390986.t1.1	Aspartyl-tRNA synthetase	Aspartyl-tRNA synthetase
Cre09.g391023.t1.1	Serine/threonine protein phosphatase PP2A, metallophosphoesterase.  A Calcineurin-like phosphoesterase.  Previously annotated as PP2A3, but that gene model maps to the UTR region of this model	Serine/threonine protein phosphatase PP2A, metallophosphoesterase.  A Calcineurin-like phosphoesterase.  Previously annotated as PP2A3, but that gene model maps to the UTR region of this model
Cre09.g391097.t1.1	Cytosolic 80S ribosomal protein L24; Cytosolic 60S large ribosomal subunit protein L24	Cytosolic 80S ribosomal protein L24; Cytosolic 60S large ribosomal subunit protein L24
Cre09.g391097.t2.1	Cytosolic 80S ribosomal protein L24; Cytosolic 60S large ribosomal subunit protein L24
Cre09.g391208.t1.1	Plastid-specific ribosomal protein 4, imported to chloroplast; Chloroplast ribosomal protein Plastid-Specific Ribosomal Protein 4; Chloroplast small ribosomal subunit protein Plastid-Specific Ribosomal Protein 4. This is a different protein from plastid r	Plastid-specific ribosomal protein 4, imported to chloroplast; Chloroplast ribosomal protein Plastid-Specific Ribosomal Protein 4; Chloroplast small ribosomal subunit protein Plastid-Specific Ribosomal Protein 4. This is a different protein from plastid r
Cre09.g391450.t1.2	Prismane/CO dehydrogenase family
Cre09.g391600.t1.1	 Putative IgA-specific metalloendopeptidase
Cre09.g391650.t1.2	Prismane/CO dehydrogenase family
Cre09.g391801.t1.1	Hydroxyproline rich glycoprotein VSP4; (SP)n-repeats, extracellular matrix protein (cell wall protein); resembles VSP6 [PMID: 7689882, Genbank entry AY036106]	Hydroxyproline rich glycoprotein VSP4; (SP)n-repeats, extracellular matrix protein (cell wall protein); resembles VSP6 [PMID: 7689882, Genbank entry AY036106]
Cre09.g391900.t1.1	Thioredoxin h1, cytosolic. This protein was previously named Ch1 [PMID: 2040309, PMID: 2191628, PMID: 11538123, PMID: 7632918]. mRNA level regulated by light, circadian clock and heavy metals [PMID: 11898433; PMID: 10436225, PMID: 10398712, PMID: 11538123
Cre09.g391949.t1.1	Putative U2 snRNP auxiliary factor, large subunit, U2AF.  Previously annotated as SPL8	Putative U2 snRNP auxiliary factor, large subunit, U2AF.  Previously annotated as SPL8
Cre09.g392060.t1.1	Related to bacterial zupT homologs; appears as CrZIP12 in PMID: 15710683; PMID: 16766055
Cre09.g392060.t2.1	Related to bacterial zupT homologs; appears as CrZIP12 in PMID: 15710683; PMID: 16766055	Related to bacterial zupT homologs; appears as CrZIP12 in PMID: 15710683; PMID: 16766055
Cre09.g392282.t1.1	Flagellar inner arm dynein heavy chain, dynein d (monomeric).  Identified in Chlamydomonas flagella in mass spec proteomic study by Yagi et al. [PMID: 19351714]	Flagellar inner arm dynein heavy chain, dynein d (monomeric).  Identified in Chlamydomonas flagella in mass spec proteomic study by Yagi et al. [PMID: 19351714]
Cre09.g392319.t1.1	Hydroxyproline rich glycoprotein Vsp6; (SP)n-repeats, extracellular matrix protein (cell wall protein); resembles VSP4 [PMID: 7689882, Genbank AF382191]	Hydroxyproline rich glycoprotein Vsp6; (SP)n-repeats, extracellular matrix protein (cell wall protein); resembles VSP4 [PMID: 7689882, Genbank AF382191]
Cre09.g392467.t1.1	Copper chaperone, contains a heavy-metal-associated domain (HMA)	Copper chaperone, contains a heavy-metal-associated domain (HMA)
Cre09.g392650.t1.2	Identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre09.g392692.t1.1	Mago nashi-like. GI:476103 Component of the splicing-dependent exon-exon junction complex.  Previously annotated as MGO1	Mago nashi-like. GI:476103 Component of the splicing-dependent exon-exon junction complex.  Previously annotated as MGO1
Cre09.g392700.t1.2	Conserved expressed protein of unknown function; some similarity to hypothetical protein in Arabidopsis BAF00838.1 GI:110737799 (small region that is highly similar)
Cre09.g392700.t2.1	Conserved expressed protein of unknown function; some similarity to hypothetical protein in Arabidopsis BAF00838.1 GI:110737799 (small region that is highly similar)
Cre09.g392867.t1.1	Flagella membrane protein, major form.  Only one expressed in Chlamydomonas during vegetative growth (and likely even in gametes).  A gene model for this was present in v2, lost in v3, and and recovered with Augustus (first noticed in Au5 update).  This g	Flagella membrane protein, major form.  Only one expressed in Chlamydomonas during vegetative growth (and likely even in gametes).  A gene model for this was present in v2, lost in v3, and and recovered with Augustus (first noticed in Au5 update).  This g
Cre09.g393150.t1.2	Multicopper ferroxidase, iron-deficiency inducible; plasma membrane localized  [PMID: 12481087]. Expression of this gene under iron-deficient conditions was studied by Busch et al. 2008 [PMID: 18363784]. Cis-acting regulatory elements were characterized b
Cre09.g393173.t1.1	A homolog of ELIP (early light-inducible protein) gene which was originally identified as transiently expressed during the early phase of greening in etiolated pea seedlings [PMID: 6692824]. It has three TMH, whose sequences are closely related to LHC pro	A homolog of ELIP (early light-inducible protein) gene which was originally identified as transiently expressed during the early phase of greening in etiolated pea seedlings [PMID: 6692824]. It has three TMH, whose sequences are closely related to LHC pro
Cre09.g393200.t1.2	HSP70C is one of 9 genes encoding HSP70-like proteins in Chlamydomonas; HSP70C is localized to mitochondria; it is inducible by heat shock and light; PMID: 2779571, 16143837
Cre09.g393284.t1.1	Member of a family of proteins related to Volvox carteri RegA, which is a putative transcription repressor (PMID: 9895312) containing a SAND domain (IPR000770 SAND; PF01342). See also: PMID: 16720695 and PMID: 16622701.	Member of a family of proteins related to Volvox carteri RegA, which is a putative transcription repressor (PMID: 9895312) containing a SAND domain (IPR000770 SAND; PF01342). See also: PMID: 16720695 and PMID: 16622701.
Cre09.g393400.t1.2	Tocopherol O-methyltransferase/gamma-tocopherol methyltransferase, chloroplast precursor (EC 2.1.1.95) (TMT)
Cre09.g393450.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre09.g393506.t1.1	Prismane/CO dehydrogenase family	Prismane/CO dehydrogenase family
Cre09.g393543.t1.1	Prismane/CO dehydrogenase family	Prismane/CO dehydrogenase family
Cre09.g393691.t1.1	Diacylglycerol/ceramide/sphingosine kinase.  Homology to ceramide kinase [Mus musculus] and diacylglycerol kinase [Arabidopsis thaliana]	Diacylglycerol/ceramide/sphingosine kinase.  Homology to ceramide kinase [Mus musculus] and diacylglycerol kinase [Arabidopsis thaliana]
Cre09.g393700.t1.1	Matrix metalloproteinase belonging to the M11 peptidase family.  Homology to MMP1 and MMP2
Cre09.g393765.t1.1	Partial sequence similar to Volvox carteri clone A chitinase [PMID: 9596636, Genbank entry AF058716]; contains two LysM-domains which are found in a variety of enzymes involved in bacterial cell wall degradation; the domain may have a general peptidoglyca	Partial sequence similar to Volvox carteri clone A chitinase [PMID: 9596636, Genbank entry AF058716]; contains two LysM-domains which are found in a variety of enzymes involved in bacterial cell wall degradation; the domain may have a general peptidoglyca
Cre09.g393850.t1.1	Putative mitogen-activated protein kinase kinase kinase homolog 2. MOT23; identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre09.g393954.t1.1	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; identified in the flagellar basal body proteome [PMID: 15137946]; upregulated by deflagellation	Conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; identified in the flagellar basal body proteome [PMID: 15137946]; upregulated by deflagellation
Cre09.g394050.t1.2	Conserved expressed protein in the zinc finger family
Cre09.g394100.t1.2	Expressed protein. Sigma1-Adaptin, clathrin adaptor complex subunit, putative member of AP-1 complex
Cre09.g394200.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre09.g394251.t1.1	Central pair associated protein	Central pair associated protein
Cre09.g394325.t1.1	A homolog of ELIP (early light-inducible protein) gene which was originally identified as transiently expressed during the early phase of greening in etiolated pea seedlings [PMID: 6692824]. It has three TMH, whose sequences are closely related to LHC pro	A homolog of ELIP (early light-inducible protein) gene which was originally identified as transiently expressed during the early phase of greening in etiolated pea seedlings [PMID: 6692824]. It has three TMH, whose sequences are closely related to LHC pro
Cre09.g394350.t1.2	Similar to nuclear pore protein NUP155
Cre09.g394450.t1.2	Has guanine nucleotide dissociation inhibitory activity, specific for the GTP form of Ran; also functions to stimulate Ran GTPase activating protein(GAP)-mediated GTP hydrolysis by Ran.  Acclimation to changing CO2 concentrations and light intensities was
Cre09.g394473.t1.1	Low-CO2 inducible protein, containing starch-binding domain of CBM_20 (pfam00686) found in glycoside hydrolases. Because Chlamydomonas cells develop pyrenoids under low-CO2 conditions, which are surrounded by a typical starch sheath, Lci9 may function in 	Low-CO2 inducible protein, containing starch-binding domain of CBM_20 (pfam00686) found in glycoside hydrolases. Because Chlamydomonas cells develop pyrenoids under low-CO2 conditions, which are surrounded by a typical starch sheath, Lci9 may function in 
